%Recollect Version 2.3. Scene/Level: , Session: 23, GameNumber: 5
%CorsiBlocks:Stage,TrailNum,TargetSequence,ResponseSequence,ClearCount,TimeOfPresentation,TimeOfResponse
1,0,20,20,0,1487980489351,1487980495982
1,1,34,34,0,1487980496951,1487980503883
2,0,52,52,0,1487980510018,1487980516017
2,1,36,36,0,1487980516986,1487980523651
2,2,368,368,0,1487980524653,1487980533585
2,3,208,208,0,1487980534553,1487980543085
2,4,2306,2306,0,1487980544054,1487980554186
2,5,5047,5047,0,1487980555188,1487980565720
2,6,41075,41075,0,1487980566689,1487980579287
2,7,31620,31620,0,1487980580255,1487980593054
2,8,281376,281376,0,1487980594024,1487980609756
2,9,816508,816508,0,1487980610757,1487980625357
2,10,4806317,4806317,0,1487980626325,1487980643024
2,11,0851680,0851680,0,1487980644026,1487980663192
2,12,47081536,4807156,0,1487980664194,1487980683926
2,13,25408016,25480816,3,1487980684928,1487980731346
3,0,60,06,1,1487980735215,1487980743513
3,1,24,42,1,1487980744482,1487980752747
4,0,51,15,0,1487980755916,1487980762981
4,1,37,73,0,1487980763983,1487980770782
4,2,630,036,0,1487980771783,1487980779715
4,3,580,085,0,1487980780684,1487980789482
4,4,5683,3865,0,1487980790451,1487980801650
4,5,2841,1482,0,1487980802652,1487980812917
4,6,47812,21874,0,1487980813919,1487980829251
4,7,03415,51430,0,1487980830220,1487980842953
4,8,507613,316705,0,1487980843954,1487980858154
4,9,073280,082370,0,1487980859156,1487980874354
4,10,4083671,1763804,0,1487980875356,1487980891822
4,11,8027308,88037208,0,1487980892823,1487980908823
4,12,52480873,37808452,1,1487980909791,1487980936991
4,13,41807263,36720810,0,1487980937992,1487980966560
