%Recollect Version 2.3. Scene/Level: , Session: 16, GameNumber: 0
%Note: All true/false values are represented as "1" and "0" respectively.
%Damage:1,Player X Position,Player Y Position,Hearts Left,Time (Relative),Time (Absolute)
%LameBackObject:Algorithm Condition,Trial Number,Current N Level,Lure Rate,Is Correct,Stimulus Type,Stimulus Color,Presentation Time (R),Presentation Time (A),Response Time (R),Response Time (A),Expire Time (R),Expire Time (A)
%Possible values for "Color":Red=0,Blue=1,Green=2,Yellow=3,Purple=4,LightBlue=5,Brown=6,White=7,
%Possible values for "Type":NonTarget=0,Target=1,Lure=2,lessThanN=3,
4,1,3,0.3,1,3,7,15.52091,1487362796875,-1,-1,15.02087,1487362796375
4,2,3,0.3,1,3,2,18.55442,1487362799908,-1,-1,18.02103,1487362799377
4,3,3,0.3,1,3,6,21.62135,1487362802975,-1,-1,21.05457,1487362802412
4,4,3,0.3,1,1,7,24.62151,1487362805975,25.95484,1487362807309,24.12141,1487362805478
4,5,3,0.3,1,1,2,27.6216,1487362808975,28.8218,1487362810176,27.12154,1487362808478
4,6,3,0.3,1,0,0,30.68843,1487362812042,-1,-1,30.12177,1487362811479
4,7,3,0.3,1,0,3,33.72195,1487362815076,-1,-1,33.18876,1487362814545
4,8,3,0.3,1,1,2,36.7557,1487362818109,37.55576,1487362818910,36.22246,1487362817579
4,1,4,0.3,1,3,0,55.0899,1487362836443,-1,-1,54.58969,1487362835944
4,2,4,0.3,1,3,7,58.09007,1487362839444,-1,-1,57.58995,1487362838946
4,3,4,0.3,1,3,3,61.12354,1487362842477,-1,-1,60.59019,1487362841947
4,4,4,0.3,1,3,5,64.15701,1487362845511,-1,-1,63.62421,1487362844980
4,5,4,0.3,1,1,0,67.19057,1487362848544,68.124,1487362849478,66.65713,1487362848014
4,6,4,0.3,1,1,7,70.224,1487362851578,71.09072,1487362852445,69.69065,1487362851047
4,7,4,0.3,1,2,0,73.22416,1487362854578,-1,-1,72.72414,1487362854081
4,8,4,0.3,1,0,4,76.22433,1487362857578,-1,-1,75.7243,1487362857080
4,9,4,0.3,1,2,5,79.29121,1487362860645,-1,-1,78.72456,1487362860080
4,10,4,0.3,1,1,7,82.32468,1487362863678,83.49181,1487362864846,81.79133,1487362863147
4,1,5,0.3,1,3,6,100.6592,1487362882013,-1,-1,100.1257,1487362881480
4,2,5,0.3,1,3,2,103.6593,1487362885013,-1,-1,103.1593,1487362884515
4,3,5,0.3,1,3,0,106.6595,1487362888013,-1,-1,106.1593,1487362887517
4,4,5,0.3,1,3,7,109.7261,1487362891080,-1,-1,109.1927,1487362890549
4,5,5,0.3,1,3,1,112.7597,1487362894113,-1,-1,112.2264,1487362893582
4,6,5,0.3,1,0,4,115.7932,1487362897147,-1,-1,115.26,1487362896616
4,7,5,0.3,1,2,7,118.8267,1487362900180,-1,-1,118.2934,1487362899649
4,8,5,0.3,1,2,1,121.8602,1487362903214,-1,-1,121.327,1487362902683
4,9,5,0.3,0,1,7,124.8605,1487362906214,-1,-1,124.3604,1487362905716
4,10,5,0.3,1,2,7,127.8939,1487362909248,-1,-1,127.3606,1487362908717
4,11,5,0.3,0,2,7,130.9274,1487362912281,131.8614,1487362913215,130.394,1487362911751
4,12,5,0.3,1,0,6,133.961,1487362915315,-1,-1,133.4276,1487362914784
4,13,5,0.3,1,0,3,136.9944,1487362918348,-1,-1,136.4611,1487362917817
4,14,5,0.3,0,0,4,140.0279,1487362921382,141.2284,1487362922582,139.4946,1487362920853
4,1,4,0.3,1,3,4,158.3629,1487362939716,-1,-1,157.829,1487362939183
4,2,4,0.3,1,3,6,161.4297,1487362942783,-1,-1,160.8958,1487362942252
4,3,4,0.3,1,3,2,164.496,1487362945850,-1,-1,163.9626,1487362945319
4,4,4,0.3,1,3,3,167.5628,1487362948916,-1,-1,166.9961,1487362948353
4,5,4,0.3,1,0,3,170.5963,1487362951950,-1,-1,170.063,1487362951419
4,6,4,0.3,1,1,6,173.6301,1487362954984,174.7967,1487362956151,173.0965,1487362954454
4,7,4,0.3,1,1,2,176.6967,1487362958050,178.1635,1487362959517,176.1633,1487362957520
4,8,4,0.3,1,2,6,179.7307,1487362961084,-1,-1,179.1968,1487362960554
4,9,4,0.3,1,1,3,182.797,1487362964151,184.7973,1487362966151,182.2636,1487362963620
4,1,5,0.3,1,3,6,201.1647,1487362982518,-1,-1,200.5981,1487362981952
4,2,5,0.3,1,3,3,204.1649,1487362985518,-1,-1,203.6649,1487362985021
4,3,5,0.3,1,3,1,207.1987,1487362988552,-1,-1,206.665,1487362988023
4,4,5,0.3,1,3,4,210.2319,1487362991585,-1,-1,209.7318,1487362991089
4,5,5,0.3,1,3,7,213.2654,1487362994619,-1,-1,212.732,1487362994088
4,6,5,0.3,0,1,6,216.3323,1487362997686,-1,-1,215.7655,1487362997122
4,7,5,0.3,0,2,4,219.3657,1487363000719,220.6325,1487363001986,218.8324,1487363000189
4,8,5,0.3,1,0,6,222.3992,1487363003753,-1,-1,221.8658,1487363003222
4,9,5,0.3,0,1,4,225.4661,1487363006820,-1,-1,224.8997,1487363006256
4,1,4,0.3,1,3,0,243.801,1487363025155,-1,-1,243.2672,1487363024621
4,2,4,0.3,1,3,7,246.8675,1487363028221,-1,-1,246.3339,1487363027690
4,3,4,0.3,1,3,4,249.9344,1487363031288,-1,-1,249.3679,1487363030724
4,4,4,0.3,1,3,1,253.001,1487363034355,-1,-1,252.4349,1487363033792
4,5,4,0.3,1,0,6,256.0685,1487363037422,-1,-1,255.5345,1487363036891
4,6,4,0.3,1,2,1,259.1012,1487363040455,-1,-1,258.5686,1487363039924
4,7,4,0.3,1,0,3,262.1019,1487363043456,-1,-1,261.6014,1487363042960
4,8,4,0.3,1,0,2,265.1684,1487363046522,-1,-1,264.6351,1487363045991
4,9,4,0.3,1,2,4,268.2352,1487363049589,-1,-1,267.6687,1487363049025
4,10,4,0.3,1,1,1,271.2356,1487363052589,272.5021,1487363053856,270.7353,1487363052092
4,11,4,0.3,1,2,1,274.2688,1487363055622,-1,-1,273.7687,1487363055125
4,12,4,0.3,1,0,7,277.3023,1487363058656,-1,-1,276.7689,1487363058125
4,13,4,0.3,1,2,1,280.3358,1487363061689,-1,-1,279.8025,1487363061158
4,14,4,0.3,1,2,2,283.3694,1487363064723,-1,-1,282.836,1487363064192
4,15,4,0.3,1,0,0,286.4363,1487363067790,-1,-1,285.8695,1487363067226
4,16,4,0.3,1,0,5,289.4697,1487363070823,-1,-1,288.9368,1487363070293
4,17,4,0.3,1,1,1,292.5034,1487363073857,293.1033,1487363074457,291.9701,1487363073326
4,18,4,0.3,1,1,2,295.57,1487363076924,296.4703,1487363077825,295.0366,1487363076394
4,1,5,0.3,1,3,5,313.871,1487363095225,-1,-1,313.371,1487363094725
4,2,5,0.3,1,3,4,316.9047,1487363098258,-1,-1,316.3712,1487363097727
4,3,5,0.3,1,3,7,319.938,1487363101292,-1,-1,319.4048,1487363100761
4,4,5,0.3,1,3,1,322.9716,1487363104325,-1,-1,322.4383,1487363103794
4,5,5,0.3,1,3,2,326.005,1487363107359,-1,-1,325.4717,1487363106828
4,6,5,0.3,1,0,6,329.072,1487363110426,-1,-1,328.5052,1487363109863
4,7,5,0.3,1,0,3,332.1725,1487363113526,-1,-1,331.6058,1487363112962
4,8,5,0.3,1,1,7,335.2389,1487363116593,336.4396,1487363117793,334.7055,1487363116062
4,9,5,0.3,1,0,5,338.2724,1487363119626,-1,-1,337.7391,1487363119095
4,10,5,0.3,1,0,0,341.3059,1487363122660,-1,-1,340.7726,1487363122129
4,11,5,0.3,1,2,2,344.3395,1487363125693,-1,-1,343.806,1487363125162
4,12,5,0.3,1,1,3,347.4063,1487363128760,348.2398,1487363129594,346.8396,1487363128196
4,13,5,0.3,1,2,3,350.4398,1487363131793,-1,-1,349.9063,1487363131262
4,14,5,0.3,0,2,0,353.44,1487363134794,355.007,1487363136361,352.9399,1487363134296
4,15,5,0.3,0,2,5,356.4734,1487363137827,357.6068,1487363138961,355.9401,1487363137296
4,16,5,0.3,1,0,7,359.5068,1487363140860,-1,-1,358.9736,1487363140332
4,17,5,0.3,1,2,2,362.5738,1487363143927,-1,-1,362.0071,1487363143364
4,18,5,0.3,1,1,3,365.6073,1487363146961,367.2742,1487363148628,365.0739,1487363146430
4,19,5,0.3,1,1,0,368.6077,1487363149961,369.8742,1487363151228,368.1074,1487363149464
4,20,5,0.3,1,1,5,371.6742,1487363153028,372.8076,1487363154162,371.1409,1487363152497
4,1,6,0.3,1,3,6,390.042,1487363171396,-1,-1,389.5087,1487363170863
4,2,6,0.3,1,3,7,393.0755,1487363174429,-1,-1,392.5422,1487363173900
4,3,6,0.3,1,3,0,396.109,1487363177463,-1,-1,395.5757,1487363176933
4,4,6,0.3,1,3,4,399.1425,1487363180496,-1,-1,398.6092,1487363179965
4,5,6,0.3,1,3,1,402.1427,1487363183496,-1,-1,401.6426,1487363182999
4,6,6,0.3,1,3,3,405.1763,1487363186530,-1,-1,404.6428,1487363185999
4,7,6,0.3,0,2,0,408.2096,1487363189563,409.0097,1487363190364,407.6763,1487363189032
4,8,6,0.3,0,1,7,411.2767,1487363192630,-1,-1,410.7098,1487363192066
4,9,6,0.3,1,2,7,414.3433,1487363195697,-1,-1,413.8099,1487363195166
4,10,6,0.3,1,0,6,417.3435,1487363198697,-1,-1,416.8434,1487363198200
4,11,6,0.3,1,2,4,420.377,1487363201731,-1,-1,419.8437,1487363201201
4,12,6,0.3,0,2,4,423.4105,1487363204764,425.5443,1487363206898,422.8772,1487363204233
4,1,5,0.3,1,3,5,441.745,1487363223099,-1,-1,441.2115,1487363222565
4,2,5,0.3,1,3,3,444.7451,1487363226099,-1,-1,444.245,1487363225602
4,3,5,0.3,1,3,0,447.8119,1487363229166,-1,-1,447.2453,1487363228602
4,4,5,0.3,1,3,7,450.8788,1487363232233,-1,-1,450.3121,1487363231668
4,5,5,0.3,1,3,4,453.9456,1487363235299,-1,-1,453.3791,1487363234735
4,6,5,0.3,1,0,6,456.9791,1487363238333,-1,-1,456.4457,1487363237802
4,7,5,0.3,1,1,3,460.0127,1487363241366,461.2128,1487363242567,459.48,1487363240836
4,8,5,0.3,1,1,0,463.0796,1487363244433,464.1463,1487363245501,462.5128,1487363243870
4,9,5,0.3,1,0,5,466.1464,1487363247500,-1,-1,465.613,1487363246969
4,10,5,0.3,1,2,0,469.2464,1487363250600,-1,-1,468.6798,1487363250036
4,11,5,0.3,0,2,4,472.3133,1487363253668,473.8801,1487363255234,471.7466,1487363253103
4,12,5,0.3,1,0,2,475.38,1487363256734,-1,-1,474.8134,1487363256170
4,13,5,0.3,1,0,7,478.4136,1487363259767,-1,-1,477.8802,1487363259236
4,14,5,0.3,0,2,0,481.4805,1487363262834,483.7475,1487363265101,480.9138,1487363262271
4,15,5,0.3,1,0,1,484.5473,1487363265901,-1,-1,483.9809,1487363265337
4,16,5,0.3,1,0,1,487.5808,1487363268934,-1,-1,487.0475,1487363268404
4,17,5,0.3,1,1,2,490.6143,1487363271968,491.5144,1487363272868,490.081,1487363271438
4,18,5,0.3,1,0,6,493.6479,1487363275002,-1,-1,493.1145,1487363274471
4,19,5,0.3,1,0,5,496.6812,1487363278035,-1,-1,496.148,1487363277506
4,20,5,0.3,1,1,1,499.7483,1487363281102,501.3484,1487363282702,499.1815,1487363280538
4,21,5,0.3,1,2,0,502.815,1487363284169,-1,-1,502.2483,1487363283604
4,22,5,0.3,0,2,5,505.8486,1487363287202,508.1821,1487363289536,505.3152,1487363286671
4,23,5,0.3,1,1,6,508.882,1487363290236,510.5822,1487363291936,508.3487,1487363289705
4,24,5,0.3,0,1,5,511.9489,1487363293303,-1,-1,511.3822,1487363292738
4,25,5,0.3,1,2,5,515.0156,1487363296369,-1,-1,514.4491,1487363295806
4,26,5,0.3,0,1,0,518.0491,1487363299403,-1,-1,517.5158,1487363298872
4,27,5,0.3,1,2,6,521.0499,1487363302403,-1,-1,520.5493,1487363301905
4,28,5,0.3,1,1,6,524.0829,1487363305436,524.8166,1487363306170,523.5503,1487363304906
4,29,5,0.3,1,0,1,527.1164,1487363308470,-1,-1,526.5829,1487363307939
4,30,5,0.3,1,0,1,530.15,1487363311504,-1,-1,529.6165,1487363310974
4,31,5,0.3,1,2,6,533.1835,1487363314537,-1,-1,532.6501,1487363314006
4,32,5,0.3,1,0,7,536.2504,1487363317604,-1,-1,535.7169,1487363317073
4,33,5,0.3,1,2,1,539.2842,1487363320638,-1,-1,538.7837,1487363320140
4,34,5,0.3,1,0,3,542.3506,1487363323704,-1,-1,541.7844,1487363323140
4,35,5,0.3,0,2,6,545.4174,1487363326771,546.6843,1487363328038,544.8508,1487363326207
4,36,5,0.3,1,0,2,548.4843,1487363329838,-1,-1,547.9176,1487363329274
4,37,5,0.3,0,1,7,551.5511,1487363332905,-1,-1,550.9845,1487363332341
4,38,5,0.3,1,1,1,554.5846,1487363335938,555.7847,1487363337139,554.0513,1487363335408
4,39,5,0.3,1,1,3,557.6191,1487363338973,559.5182,1487363340872,557.0848,1487363338442
4,40,5,0.3,1,1,6,560.7188,1487363342072,561.5192,1487363342873,560.1516,1487363341508
4,1,6,0.3,1,3,2,579.086,1487363360440,-1,-1,578.5526,1487363359907
4,2,6,0.3,1,3,5,582.1195,1487363363473,-1,-1,581.5861,1487363362942
4,3,6,0.3,1,3,4,585.1541,1487363366508,-1,-1,584.6198,1487363365976
4,4,6,0.3,1,3,7,588.2534,1487363369607,-1,-1,587.6871,1487363369043
4,5,6,0.3,1,3,3,591.32,1487363372674,-1,-1,590.7867,1487363372143
4,6,6,0.3,1,3,1,594.3203,1487363375674,-1,-1,593.8201,1487363375176
4,7,6,0.3,1,1,2,597.387,1487363378741,598.1537,1487363379508,596.8536,1487363378211
4,8,6,0.3,1,0,6,600.4205,1487363381774,-1,-1,599.8871,1487363381244
4,9,6,0.3,1,0,0,603.4874,1487363384841,-1,-1,602.9214,1487363384277
4,10,6,0.3,1,2,3,606.5541,1487363387908,-1,-1,605.9875,1487363387344
4,11,6,0.3,0,2,1,609.621,1487363390975,611.4548,1487363392809,609.0544,1487363390410
4,12,6,0.3,1,1,1,612.688,1487363394042,613.4547,1487363394809,612.1212,1487363393477
4,13,6,0.3,1,1,2,615.7214,1487363397075,617.0897,1487363398443,615.1881,1487363396544
4,14,6,0.3,1,0,7,618.7883,1487363400142,-1,-1,618.222,1487363399578
4,15,6,0.3,1,0,7,621.8217,1487363403175,-1,-1,621.2884,1487363402644
4,16,6,0.3,1,1,3,624.8887,1487363406242,625.689,1487363407043,624.3219,1487363405679
4,1,7,0.3,1,3,3,643.2565,1487363424610,-1,-1,642.7229,1487363424077
4,2,7,0.3,1,3,5,646.2899,1487363427643,-1,-1,645.7897,1487363427146
4,3,7,0.3,1,3,7,649.3566,1487363430710,-1,-1,648.7899,1487363430146
4,4,7,0.3,1,3,6,652.3574,1487363433711,-1,-1,651.8568,1487363433213
4,5,7,0.3,1,3,1,655.3909,1487363436745,-1,-1,654.8903,1487363436246
4,6,7,0.3,1,3,0,658.457,1487363439811,-1,-1,657.9238,1487363439280
4,7,7,0.3,1,3,4,661.524,1487363442878,-1,-1,660.9573,1487363442313
4,8,7,0.3,1,1,3,664.5575,1487363445911,666.4579,1487363447812,664.0241,1487363445382
4,9,7,0.3,1,0,2,667.5911,1487363448945,-1,-1,667.0583,1487363448414
4,10,7,0.3,0,1,7,670.6245,1487363451978,-1,-1,670.0912,1487363451448
4,11,7,0.3,1,1,6,673.6248,1487363454978,674.5583,1487363455912,673.1246,1487363454481
4,12,7,0.3,1,2,4,676.6915,1487363458045,-1,-1,676.1248,1487363457481
4,13,7,0.3,1,2,4,679.7584,1487363461112,-1,-1,679.1917,1487363460548
4,14,7,0.3,1,0,5,682.8254,1487363464179,-1,-1,682.2587,1487363463615
4,15,7,0.3,0,2,4,685.8588,1487363467212,687.1587,1487363468513,685.3586,1487363466715
4,16,7,0.3,0,2,7,688.9254,1487363470279,690.6926,1487363472046,688.3593,1487363469715
4,17,7,0.3,0,2,2,691.9924,1487363473346,692.9924,1487363474346,691.426,1487363472783
4,1,6,0.3,1,3,3,710.41,1487363491764,-1,-1,709.8435,1487363491198
4,2,6,0.3,1,3,4,713.4104,1487363494764,-1,-1,712.9101,1487363494266
4,3,6,0.3,1,3,0,716.4771,1487363497831,-1,-1,715.9105,1487363497267
4,4,6,0.3,1,3,1,719.5439,1487363500897,-1,-1,718.9773,1487363500334
4,5,6,0.3,1,3,2,722.5773,1487363503931,-1,-1,722.0441,1487363503401
4,6,6,0.3,1,3,6,725.6109,1487363506964,-1,-1,725.0776,1487363506434
4,7,6,0.3,1,0,1,728.6444,1487363509999,-1,-1,728.111,1487363509467
4,8,6,0.3,1,0,5,731.678,1487363513032,-1,-1,731.1451,1487363512502
4,9,6,0.3,0,2,4,734.7115,1487363516065,736.145,1487363517499,734.1785,1487363515535
4,10,6,0.3,1,1,1,737.7458,1487363519099,739.5784,1487363520932,737.2115,1487363518568
4,11,6,0.3,1,1,2,740.8451,1487363522199,742.0789,1487363523433,740.279,1487363521635
4,12,6,0.3,1,1,6,743.8786,1487363525232,744.7119,1487363526066,743.3452,1487363524702
4,1,7,0.3,1,3,4,762.2136,1487363543568,-1,-1,761.6796,1487363543034
4,2,7,0.3,1,3,2,765.2798,1487363546633,-1,-1,764.7465,1487363546104
4,3,7,0.3,1,3,5,768.3466,1487363549700,-1,-1,767.8133,1487363549170
4,4,7,0.3,1,3,3,771.3802,1487363552734,-1,-1,770.8468,1487363552203
4,5,7,0.3,1,3,0,774.447,1487363555801,-1,-1,773.8804,1487363555237
4,6,7,0.3,1,3,6,777.5139,1487363558867,-1,-1,776.9471,1487363558304
4,7,7,0.3,1,3,1,780.5144,1487363561868,-1,-1,780.014,1487363561371
4,8,7,0.3,1,2,5,783.5809,1487363564935,-1,-1,783.0475,1487363564404
4,9,7,0.3,1,0,1,786.6148,1487363567968,-1,-1,786.0811,1487363567437
4,10,7,0.3,0,1,5,789.7144,1487363571068,-1,-1,789.1478,1487363570504
4,11,7,0.3,1,2,5,792.7481,1487363574102,-1,-1,792.2153,1487363573572
4,12,7,0.3,1,0,7,795.7815,1487363577135,-1,-1,795.2482,1487363576604
4,13,7,0.3,1,2,5,798.8484,1487363580202,-1,-1,798.282,1487363579642
4,14,7,0.3,1,2,6,801.882,1487363583236,-1,-1,801.3485,1487363582705
4,15,7,0.3,1,1,5,804.9487,1487363586302,805.9155,1487363587269,804.4153,1487363585772
4,16,7,0.3,0,1,1,808.0156,1487363589369,-1,-1,807.449,1487363588805
4,17,7,0.3,0,0,6,811.0491,1487363592403,811.7494,1487363593103,810.5157,1487363591873
4,18,7,0.3,0,2,1,814.0826,1487363595436,815.0494,1487363596403,813.5493,1487363594906
4,1,6,0.3,1,3,0,832.4169,1487363613771,-1,-1,831.8835,1487363613238
4,2,6,0.3,1,3,7,835.4505,1487363616804,-1,-1,834.9171,1487363616273
4,3,6,0.3,1,3,6,838.4839,1487363619837,-1,-1,837.9506,1487363619307
4,4,6,0.3,1,3,3,841.5508,1487363622904,-1,-1,840.9841,1487363622341
4,5,6,0.3,1,3,1,844.6176,1487363625971,-1,-1,844.051,1487363625407
4,6,6,0.3,1,3,2,847.6844,1487363629038,-1,-1,847.1177,1487363628474
4,7,6,0.3,1,2,6,850.7181,1487363632072,-1,-1,850.1846,1487363631541
4,8,6,0.3,1,1,7,853.7515,1487363635105,854.8518,1487363636206,853.2187,1487363634575
4,9,6,0.3,1,0,2,856.785,1487363638139,-1,-1,856.2516,1487363637608
4,10,6,0.3,1,0,4,859.8185,1487363641172,-1,-1,859.2854,1487363640641
4,11,6,0.3,1,0,4,862.852,1487363644206,-1,-1,862.3188,1487363643675
4,12,6,0.3,0,0,5,865.8855,1487363647239,867.2524,1487363648606,865.3521,1487363646710
4,13,6,0.3,1,1,6,868.9194,1487363650273,869.7194,1487363651073,868.3857,1487363649743
4,14,6,0.3,0,2,4,871.9525,1487363653306,873.1527,1487363654506,871.4197,1487363652776
4,15,6,0.3,0,1,2,875.0193,1487363656373,-1,-1,874.4526,1487363655809
4,16,6,0.3,0,0,6,878.0862,1487363659440,879.3529,1487363660707,877.5201,1487363658876
4,1,5,0.3,1,3,6,896.4539,1487363677807,-1,-1,895.8872,1487363677241
4,2,5,0.3,1,3,3,899.5207,1487363680874,-1,-1,898.9545,1487363680313
4,3,5,0.3,1,3,2,902.5542,1487363683908,-1,-1,902.0208,1487363683377
4,4,5,0.3,1,3,7,905.621,1487363686975,-1,-1,905.0544,1487363686410
4,5,5,0.3,1,3,5,908.6879,1487363690041,-1,-1,908.1212,1487363689478
4,6,5,0.3,1,0,4,911.7214,1487363693075,-1,-1,911.1882,1487363692545
