%Recollect Version 2.3. Scene/Level: , Game Number: 006
%NearTransferObject:GameNumber,BlockNumber,TrialNumber,CurrentNLevel,IsCorrect,StimulusType,Image,PresentationTime,ResponseTime,ExpireTime
%Possible values for "Image":RV=0,Truck=1,FireTruck=2,Ambulance=3,Cab=4,Schoolbus=5,Limo=6,Police=7,Blank=8,
%Possible values for "Type":NonTarget=0,Target=1,Lure=2,lessThanN=3,
6,0,1,1,0,3,6,1486172791380,-1,1486172790847
6,0,2,1,1,0,3,1486172794447,-1,1486172793916
6,0,3,1,1,1,3,1486172797514,1486172798381,1486172796983
6,0,4,1,1,0,5,1486172800548,-1,1486172800018
6,0,5,1,1,1,5,1486172803581,1486172804348,1486172803050
6,0,6,1,1,0,6,1486172806614,-1,1486172806084
6,0,7,1,1,0,2,1486172809648,-1,1486172809117
6,0,8,1,1,0,5,1486172812681,-1,1486172812150
6,0,9,1,1,0,0,1486172815715,-1,1486172815184
6,0,10,1,1,1,0,1486172818748,1486172819615,1486172818217
6,0,11,1,1,0,3,1486172821815,-1,1486172821285
6,1,1,1,1,3,6,1486172840349,-1,1486172839816
6,1,2,1,1,0,5,1486172843383,-1,1486172842853
6,1,3,1,1,0,7,1486172846416,-1,1486172845919
6,1,4,1,1,1,7,1486172849450,1486172850283,1486172848919
6,1,5,1,1,0,3,1486172852517,-1,1486172851986
6,1,6,1,1,0,5,1486172855517,-1,1486172855019
6,1,7,1,1,1,5,1486172858584,1486172859551,1486172858053
6,1,8,1,1,0,3,1486172861617,-1,1486172861087
6,1,9,1,1,1,3,1486172864684,1486172865418,1486172864153
6,1,10,1,1,0,7,1486172867751,-1,1486172867220
6,1,11,1,1,1,7,1486172870785,1486172872052,1486172870254
6,1,12,1,1,0,1,1486172873819,-1,1486172873321
6,1,13,1,1,1,1,1486172876885,1486172877552,1486172876354
6,1,14,1,1,0,3,1486172879918,-1,1486172879388
6,1,15,1,1,0,7,1486172882985,-1,1486172882455
6,1,16,1,1,0,6,1486172886019,-1,1486172885488
6,1,17,1,1,0,1,1486172889085,-1,1486172888556
6,1,18,1,1,0,2,1486172892086,-1,1486172891588
6,1,19,1,1,0,0,1486172895153,-1,1486172894622
6,1,20,1,1,0,4,1486172898219,-1,1486172897689
6,1,21,1,1,1,4,1486172901286,1486172902020,1486172900755
6,2,1,2,1,3,3,1486172944155,-1,1486172943622
6,2,2,2,1,3,7,1486172947190,-1,1486172946658
6,2,3,2,1,1,3,1486172950256,1486172951123,1486172949726
6,2,4,2,1,0,6,1486172953289,-1,1486172952759
6,2,5,2,1,0,4,1486172956290,-1,1486172955792
6,2,6,2,1,1,6,1486172959356,1486172960123,1486172958826
6,2,7,2,1,0,5,1486172962390,-1,1486172961859
6,2,8,2,1,0,1,1486172965423,-1,1486172964893
6,2,9,2,1,0,7,1486172968457,-1,1486172967926
6,2,10,2,1,0,2,1486172971524,-1,1486172970993
6,2,11,2,1,1,7,1486172974590,1486172975424,1486172974060
6,2,12,2,1,0,4,1486172977624,-1,1486172977093
6,3,1,2,1,3,3,1486172996192,-1,1486172995658
6,3,2,2,1,3,4,1486172999226,-1,1486172998694
6,3,3,2,1,0,2,1486173002292,-1,1486173001761
6,3,4,2,1,0,5,1486173005359,-1,1486173004828
6,3,5,2,1,1,2,1486173008426,1486173009259,1486173007895
6,3,6,2,1,1,5,1486173011459,1486173012559,1486173010929
6,3,7,2,1,1,2,1486173014526,1486173016693,1486173013996
6,3,8,2,1,0,6,1486173017593,-1,1486173017062
6,3,9,2,1,0,0,1486173020626,-1,1486173020095
6,3,10,2,1,1,6,1486173023660,1486173024593,1486173023129
6,3,11,2,1,0,5,1486173026727,-1,1486173026196
6,3,12,2,1,0,7,1486173029793,-1,1486173029263
6,3,13,2,1,0,4,1486173032827,-1,1486173032296
6,3,14,2,1,0,1,1486173035861,-1,1486173035330
6,3,15,2,1,1,4,1486173038894,1486173039994,1486173038365
6,3,16,2,0,1,1,1486173041961,-1,1486173041430
6,3,17,2,1,0,7,1486173045028,-1,1486173044497
6,3,18,2,1,0,5,1486173048061,-1,1486173047531
6,3,19,2,1,0,6,1486173051128,-1,1486173050598
6,3,20,2,1,0,3,1486173054161,-1,1486173053631
6,3,21,2,1,0,2,1486173057195,-1,1486173056664
6,3,22,2,0,0,7,1486173060228,1486173061362,1486173059698
6,4,1,3,0,3,7,1486173092864,-1,1486173092330
6,4,2,3,0,3,1,1486173095897,-1,1486173095400
6,4,3,3,0,3,2,1486173098931,-1,1486173098433
6,4,4,3,1,0,6,1486173101964,-1,1486173101467
6,4,5,3,0,0,7,1486173104998,1486173105731,1486173104467
6,4,6,3,1,0,4,1486173108031,-1,1486173107500
6,4,7,3,0,1,6,1486173111065,-1,1486173110534
6,4,8,3,1,0,3,1486173114098,-1,1486173113568
6,4,9,3,1,0,0,1486173117132,-1,1486173116601
6,4,10,3,1,0,5,1486173120199,-1,1486173119667
6,4,11,3,1,0,5,1486173123265,-1,1486173122735
6,4,12,3,1,1,0,1486173126299,1486173127166,1486173125769
6,4,13,3,1,1,5,1486173129299,1486173130533,1486173128803
6,5,1,3,1,3,3,1486173137099,-1,1486173136567
6,5,2,3,1,3,5,1486173140166,-1,1486173139636
6,5,3,3,1,3,2,1486173143200,-1,1486173142669
6,5,4,3,1,1,3,1486173146233,1486173147934,1486173145703
6,5,5,3,1,0,0,1486173149267,-1,1486173148769
