%Recollect Version 2.3. Scene/Level: , Game Number: 007
%HeartsAndFlowers:Stage,TrailNum,Target,TargetPos,ChoicePos,TimeOfPresentation,TimeOfResponse
1,0,1,1,1,1486162568297,1486162569530
1,1,1,0,0,1486162570535,1486162571397
1,2,1,0,0,1486162572398,1486162573131
1,3,1,1,1,1486162574132,1486162574797
2,0,1,0,0,1486162584198,1486162584932
2,1,1,1,1,1486162585932,1486162586565
2,2,1,0,0,1486162587565,1486162588165
2,3,1,0,0,1486162589166,1486162590432
2,4,1,1,1,1486162591432,1486162592098
2,5,1,1,1,1486162593099,1486162594232
2,6,1,1,1,1486162595199,1486162595832
2,7,1,0,0,1486162596832,1486162597499
2,8,1,1,1,1486162598499,1486162599133
2,9,1,0,0,1486162600132,1486162600799
2,10,1,0,0,1486162601766,1486162602399
2,11,1,1,1,1486162603399,1486162604066
3,0,0,0,0,1486162610933,1486162611600
3,1,0,1,0,1486162612600,1486162614066
3,2,0,0,1,1486162615067,1486162615700
3,3,0,1,0,1486162616700,1486162617333
4,0,0,0,1,1486162619217,1486162619883
4,1,0,0,1,1486162620884,1486162621550
4,2,0,0,1,1486162622550,1486162623150
4,3,0,1,0,1486162624151,1486162624817
4,4,0,0,1,1486162625817,1486162626484
4,5,0,1,0,1486162627484,1486162628084
4,6,0,1,0,1486162629084,1486162629751
4,7,0,1,0,1486162630751,1486162631351
4,8,0,0,1,1486162632351,1486162633151
4,9,0,1,0,1486162634118,1486162634751
4,10,0,1,0,1486162635751,1486162636318
4,11,0,0,1,1486162637318,1486162638018
5,0,1,1,1,1486162646002,1486162646635
5,1,0,1,0,1486162647636,1486162648435
5,2,0,0,1,1486162649436,1486162650435
5,3,1,0,0,1486162651436,1486162652368
6,0,1,1,1,1486162655169,1486162656035
6,1,1,0,0,1486162657036,1486162657869
6,2,0,1,0,1486162658869,1486162659736
6,3,1,0,0,1486162660736,1486162661502
6,4,0,0,1,1486162662503,1486162663269
6,5,0,0,1,1486162664269,1486162664903
6,6,0,1,0,1486162665903,1486162666603
6,7,1,1,0,1486162667603,1486162668169
6,8,1,0,0,1486162669171,1486162669936
6,9,1,1,1,1486162670937,1486162671603
6,10,0,1,0,1486162672603,1486162673336
6,11,0,1,0,1486162674337,1486162675036
6,12,0,0,1,1486162676037,1486162676703
6,13,1,1,1,1486162677703,1486162678470
6,14,1,0,0,1486162679470,1486162680170
6,15,1,0,0,1486162681170,1486162681704
6,16,0,1,0,1486162682704,1486162683304
6,17,1,0,0,1486162684304,1486162684870
6,18,0,1,0,1486162685871,1486162686438
6,19,1,0,0,1486162687437,1486162688205
6,20,1,1,1,1486162689205,1486162690004
6,21,1,0,0,1486162691006,1486162691571
6,22,0,1,0,1486162692571,1486162693205
6,23,1,1,0,1486162694204,1486162694737
6,24,0,1,0,1486162695738,1486162696504
6,25,0,0,1,1486162697472,1486162698438
6,26,0,0,1,1486162699439,1486162703738
6,27,1,1,1,1486162704739,1486162705538
6,28,1,0,0,1486162706539,1486162707205
6,29,1,1,1,1486162708205,1486162708938
6,30,0,0,1,1486162709941,1486162710706
6,31,1,1,1,1486162711706,1486162712438
6,32,1,0,0,1486162713439,1486162714173
6,33,0,0,1,1486162715139,1486162715839
6,34,0,0,0,1486162716839,1486162717406
6,35,1,1,0,1486162718406,1486162718939
6,36,0,1,0,1486162719939,1486162720706
6,37,0,0,1,1486162721706,1486162722539
6,38,0,0,1,1486162723540,1486162726873
6,39,1,0,0,1486162727873,1486162728839
6,40,0,1,0,1486162729840,1486162730673
6,41,1,1,1,1486162731673,1486162732540
6,42,1,1,1,1486162733541,1486162734673
6,43,0,0,1,1486162735673,1486162736740
6,44,0,1,0,1486162737740,1486162738441
6,45,0,0,1,1486162739441,1486162740440
6,46,1,0,0,1486162741440,1486162742374
6,47,0,1,0,1486162743340,1486162744107
