%Recollect Version 2.3. Scene/Level: , Session: 22, GameNumber: 0
%Note: All true/false values are represented as "1" and "0" respectively.
%Damage:1,Player X Position,Player Y Position,Hearts Left,Time (Relative),Time (Absolute)
%LameBackObject:Algorithm Condition,Trial Number,Current N Level,Lure Rate,Is Correct,Stimulus Type,Stimulus Color,Presentation Time (R),Presentation Time (A),Response Time (R),Response Time (A),Expire Time (R),Expire Time (A)
%Possible values for "Color":Red=0,Blue=1,Green=2,Yellow=3,Purple=4,LightBlue=5,Brown=6,White=7,
%Possible values for "Type":NonTarget=0,Target=1,Lure=2,lessThanN=3,
5,1,5,0.3,1,3,2,6.057047,1487783767068,-1,-1,5.520678,1487783766533
5,2,5,0.3,1,3,3,9.087332,1487783770099,-1,-1,8.587309,1487783769601
5,3,5,0.3,1,3,6,12.12083,1487783773132,-1,-1,11.58743,1487783772603
5,4,5,0.3,1,3,1,15.12101,1487783776132,-1,-1,14.62097,1487783775635
5,5,5,0.3,1,3,0,18.12118,1487783779132,-1,-1,17.62115,1487783778635
5,6,5,0.3,1,0,4,21.1881,1487783782199,-1,-1,20.62151,1487783781635
5,7,5,0.3,1,0,2,24.18818,1487783785199,-1,-1,23.68816,1487783784702
5,8,5,0.3,1,0,5,27.18836,1487783788200,-1,-1,26.68833,1487783787702
5,9,5,0.3,1,2,6,30.25519,1487783791266,-1,-1,29.68873,1487783790702
5,10,5,0.3,1,1,0,33.25536,1487783794267,34.02246,1487783795034,32.75521,1487783793769
5,11,5,0.3,1,2,0,36.25552,1487783797267,-1,-1,35.7555,1487783796769
5,12,5,0.3,1,0,7,39.28902,1487783800300,-1,-1,38.78886,1487783799803
5,13,5,0.3,1,0,3,42.32249,1487783803334,-1,-1,41.78918,1487783802803
5,14,5,0.3,1,0,7,45.35605,1487783806367,-1,-1,44.82275,1487783805837
5,15,5,0.3,1,0,2,48.35621,1487783809367,-1,-1,47.85609,1487783808871
5,16,5,0.3,1,0,2,51.38971,1487783812401,-1,-1,50.85634,1487783811870
5,17,5,0.3,1,1,7,54.38988,1487783815401,55.2566,1487783816268,53.88985,1487783814904
5,18,5,0.3,1,2,2,57.39006,1487783818401,-1,-1,56.88998,1487783817903
5,19,5,0.3,0,2,3,60.39022,1487783821401,60.95714,1487783821969,59.8902,1487783820904
5,20,5,0.3,1,2,7,63.42374,1487783824435,-1,-1,62.89036,1487783823904
5,21,5,0.3,1,1,2,66.4239,1487783827435,66.95719,1487783827969,65.92379,1487783826938
5,22,5,0.3,1,1,7,69.4574,1487783830469,69.95747,1487783830969,68.92411,1487783829938
5,23,5,0.3,1,2,7,72.45757,1487783833469,-1,-1,71.95753,1487783832972
5,24,5,0.3,1,1,3,75.52502,1487783836536,76.02465,1487783837036,74.9578,1487783835972
5,25,5,0.3,1,1,7,78.55792,1487783839569,79.1246,1487783840136,78.05788,1487783839072
5,26,5,0.3,1,1,2,81.59142,1487783842603,82.22523,1487783843237,81.05822,1487783842072
5,27,5,0.3,1,2,3,84.59158,1487783845603,-1,-1,84.09155,1487783845107
5,28,5,0.3,1,0,4,87.59174,1487783848603,-1,-1,87.09173,1487783848105
5,29,5,0.3,0,1,3,90.6253,1487783851636,-1,-1,90.0919,1487783851106
5,30,5,0.3,1,2,2,93.62556,1487783854637,-1,-1,93.1254,1487783854139
5,31,5,0.3,1,0,6,96.62602,1487783857637,-1,-1,96.12556,1487783857140
5,32,5,0.3,1,0,1,99.6591,1487783860670,-1,-1,99.15907,1487783860173
5,33,5,0.3,1,1,4,102.6593,1487783863670,103.2929,1487783864304,102.1591,1487783863174
5,34,5,0.3,1,0,1,105.6928,1487783866704,-1,-1,105.1594,1487783866173
5,35,5,0.3,1,2,3,108.693,1487783869704,-1,-1,108.1929,1487783869207
5,36,5,0.3,1,0,0,111.7264,1487783872738,-1,-1,111.1932,1487783872207
5,37,5,0.3,1,2,4,114.7266,1487783875738,-1,-1,114.2266,1487783875241
5,38,5,0.3,1,2,3,117.7268,1487783878738,-1,-1,117.2268,1487783878240
5,39,5,0.3,1,1,1,120.7603,1487783881771,121.4939,1487783882505,120.2269,1487783881241
5,40,5,0.3,1,0,7,123.7605,1487783884772,-1,-1,123.2604,1487783884275
5,41,5,0.3,1,0,6,126.7606,1487783887772,-1,-1,126.2606,1487783887274
5,42,5,0.3,1,0,2,129.7942,1487783890805,-1,-1,129.2608,1487783890274
5,43,5,0.3,1,2,7,132.8281,1487783893839,-1,-1,132.2943,1487783893308
5,44,5,0.3,1,1,1,135.8946,1487783896906,136.5945,1487783897606,135.3613,1487783896376
5,45,5,0.3,1,1,7,138.9285,1487783899940,139.4613,1487783900473,138.428,1487783899444
5,1,5,0.3,1,3,0,143.345,1487783904356,-1,-1,142.7782,1487783903790
5,2,5,0.3,1,3,4,146.3784,1487783907390,-1,-1,145.845,1487783906860
5,3,5,0.3,1,3,1,149.4119,1487783910423,-1,-1,148.8785,1487783909892
5,4,5,0.3,1,3,3,152.4456,1487783913457,-1,-1,151.912,1487783912926
5,5,5,0.3,1,3,5,155.5123,1487783916524,-1,-1,154.9789,1487783915993
5,6,5,0.3,1,0,2,158.5134,1487783919525,-1,-1,158.0124,1487783919026
