%Recollect Version 2.3. Scene/Level: , Session: 23, GameNumber: 3
%SymmetrySpan:Stage,TrailNum,SequenceLength,TargetSequence,ResponseSequence,SymmetrySequence,SymmetryResponses,ClearCount,TimeOfSequencePresentation,TimeOfSymmetryPresentation,TimeOfResponsePrompt,TimeOfResponseSubmission
3,0,2,10,10,,,0,1488245165951,,1488245168278,1488245170345
3,1,2,C1,C1,,,0,1488245172351,,1488245174679,1488245176578
3,2,3,FAD,FAD,,,0,1488245178583,,1488245182079,1488245183579
3,3,3,0D7,0D7,,,0,1488245185550,,1488245189046,1488245191379
10,0,0,,,1,1,0,1488245203281,1488245203281,1488245189046,1488245204880
10,1,0,,,0,0,0,1488245206880,1488245206880,1488245189046,1488245208347
10,2,0,,,1,1,0,1488245210314,1488245210314,1488245189046,1488245211480
10,3,0,,,1,1,0,1488245213481,1488245213481,1488245189046,1488245214747
10,4,0,,,1,1,0,1488245216715,1488245216714,1488245189046,1488245218180
10,5,0,,,0,0,0,1488245220181,1488245220181,1488245189046,1488245221214
10,6,0,,,1,0,0,1488245223215,1488245223215,1488245189046,1488245224981
10,7,0,,,0,0,0,1488245226982,1488245226982,1488245189046,1488245230748
10,8,0,,,0,0,0,1488245232749,1488245232749,1488245189046,1488245235415
10,9,0,,,1,1,0,1488245237382,1488245237382,1488245189046,1488245238715
10,10,0,,,0,0,0,1488245240716,1488245240716,1488245189046,1488245241715
10,11,0,,,0,0,0,1488245243683,1488245243683,1488245189046,1488245244582
10,12,0,,,0,0,0,1488245246550,1488245246550,1488245189046,1488245247516
10,13,0,,,1,1,0,1488245249516,1488245249516,1488245189046,1488245250583
10,14,0,,,1,1,0,1488245252583,1488245252583,1488245189046,1488245253683
10,15,0,,,1,1,0,1488245255651,1488245255651,1488245189046,1488245256950
13,0,2,F1,F1,01,01,0,1488245263587,1488245269489,1488245270822,1488245272850
13,1,2,E8,E8,00,00,0,1488245274821,1488245279323,1488245280390,1488245282784
13,2,2,65,65,11,11,0,1488245284789,1488245289289,1488245290391,1488245292451
14,0,3,6D4,6D4,110,110,0,1488245297456,1488245305324,1488245306325,1488245308153
14,1,4,7F12,7F12,0001,0001,0,1488245310158,1488245320325,1488245321626,1488245323554
14,2,4,C6B7,C6B7,0011,0011,0,1488245325525,1488245336159,1488245337393,1488245339187
14,3,2,71,71,10,00,0,1488245341159,1488245345859,1488245346827,1488245349521
14,4,2,21,21,10,10,0,1488245351493,1488245356393,1488245357428,1488245358855
14,5,5,1EB46,1EB46,00010,00010,1,1488245360827,1488245373494,1488245374463,1488245389073
14,6,4,E4B6,E4B6,1111,1011,0,1488245391045,1488245402613,1488245403880,1488245407241
14,7,3,A45,F45,101,101,0,1488245409213,1488245416780,1488245417747,1488245420609
14,8,3,930,930,011,011,0,1488245422581,1488245430180,1488245431782,1488245434010
14,9,5,D72BF,D72B,10001,10001,0,1488245435984,1488245449615,1488245450816,1488245455277
14,10,5,F635E,F635E,00111,00111,0,1488245457283,1488245471083,1488245472216,1488245475612
14,11,2,40,40,11,11,0,1488245477617,1488245482385,1488245483418,1488245485879
