%Recollect Version 2.3. Scene/Level: , Session: 23, GameNumber: 23
%D2:Action,Row,Character,TimeOfResponse
1,0,1,1488245516932
1,0,2,1488245518133
1,0,4,1488245518965
1,0,5,1488245520365
1,0,10,1488245522366
1,0,11,1488245523699
1,0,17,1488245525732
1,0,20,1488245527332
1,0,21,1488245528032
1,0,22,1488245529033
1,0,23,1488245529566
1,0,24,1488245530166
1,0,27,1488245531433
1,0,31,1488245532999
1,0,33,1488245534000
9,0,-1,1488245534668
1,1,1,1488245536567
1,1,3,1488245538135
1,1,4,1488245538834
1,1,7,1488245540166
1,1,8,1488245540933
1,1,19,1488245545534
1,1,23,1488245547434
1,1,25,1488245548634
1,1,27,1488245550235
1,1,31,1488245552034
1,1,35,1488245553967
1,1,37,1488245554467
9,1,-1,1488245555671
-1,1,36,1488245555703
1,2,1,1488245557635
1,2,3,1488245558634
1,2,4,1488245559801
1,2,8,1488245562202
1,2,10,1488245563002
1,2,12,1488245563868
1,2,14,1488245564901
1,2,15,1488245565702
1,2,16,1488245566368
1,2,25,1488245570003
1,2,27,1488245571301
1,2,28,1488245572135
1,2,32,1488245573635
1,2,33,1488245574802
9,2,-1,1488245576671
-1,2,36,1488245576835
1,3,2,1488245580302
1,3,4,1488245581169
1,3,7,1488245582202
1,3,9,1488245582936
1,3,12,1488245584170
1,3,14,1488245585036
1,3,15,1488245586436
1,3,19,1488245587870
1,3,24,1488245590436
1,3,25,1488245591903
1,3,29,1488245593003
1,3,35,1488245595070
1,3,38,1488245597003
9,3,-1,1488245597673
-1,3,39,1488245598170
1,4,1,1488245599371
1,4,4,1488245601337
1,4,7,1488245602704
1,4,10,1488245603903
1,4,11,1488245604404
1,4,12,1488245605537
1,4,15,1488245606971
1,4,17,1488245607837
1,4,19,1488245608604
1,4,22,1488245609438
1,4,23,1488245611372
1,4,24,1488245612004
1,4,27,1488245613738
1,4,30,1488245614938
1,4,32,1488245616037
1,4,34,1488245616804
1,4,37,1488245617838
9,4,-1,1488245618674
-1,4,40,1488245618738
1,5,0,1488245620105
1,5,4,1488245621440
1,5,5,1488245622038
1,5,9,1488245622804
1,5,12,1488245623706
1,5,13,1488245624738
1,5,16,1488245625971
1,5,17,1488245626738
1,5,21,1488245628039
1,5,23,1488245630239
1,5,30,1488245633606
1,5,38,1488245635672
1,5,42,1488245636672
1,5,47,1488245638573
9,5,-1,1488245639673
1,6,1,1488245641839
1,6,2,1488245642839
1,6,4,1488245643639
1,6,8,1488245644273
1,6,11,1488245647340
1,6,14,1488245648574
1,6,16,1488245649274
1,6,18,1488245650139
1,6,19,1488245650706
1,6,20,1488245651173
1,6,22,1488245651739
1,6,24,1488245652840
1,6,27,1488245653674
1,6,34,1488245656073
1,6,35,1488245657141
1,6,36,1488245657940
1,6,38,1488245659640
9,6,-1,1488245660674
1,7,3,1488245663674
1,7,4,1488245665508
1,7,6,1488245666174
1,7,12,1488245668941
1,7,14,1488245669974
1,7,16,1488245670841
1,7,19,1488245672241
1,7,21,1488245673041
1,7,23,1488245673841
1,7,25,1488245674674
1,7,29,1488245677341
1,7,33,1488245678375
1,7,37,1488245679541
-1,7,36,1488245680642
9,7,-1,1488245681677
-1,7,39,1488245681809
1,8,5,1488245686642
1,8,9,1488245688109
1,8,11,1488245689109
1,8,13,1488245689842
1,8,15,1488245690776
1,8,16,1488245691476
1,8,18,1488245692175
1,8,20,1488245693476
1,8,22,1488245694142
1,8,23,1488245695309
1,8,27,1488245696142
1,8,28,1488245697143
1,8,30,1488245697876
1,8,32,1488245698542
1,8,34,1488245699243
1,8,36,1488245700676
9,8,-1,1488245702677
-1,8,38,1488245702809
1,9,1,1488245704410
1,9,2,1488245704943
1,9,8,1488245707143
1,9,9,1488245708576
1,9,10,1488245709276
1,9,11,1488245710076
1,9,17,1488245712945
1,9,19,1488245713877
1,9,22,1488245714844
1,9,24,1488245715843
1,9,30,1488245718944
1,9,33,1488245719811
1,9,35,1488245720543
1,9,36,1488245721277
1,9,39,1488245722579
9,9,-1,1488245723680
-1,9,42,1488245723778
1,10,1,1488245725712
1,10,3,1488245726510
1,10,5,1488245727277
1,10,6,1488245728011
1,10,8,1488245728778
1,10,11,1488245730144
1,10,15,1488245732278
1,10,17,1488245733412
1,10,19,1488245734611
1,10,23,1488245736045
1,10,24,1488245737244
1,10,28,1488245739078
1,10,31,1488245740379
1,10,32,1488245740911
1,10,34,1488245741978
1,10,35,1488245742778
1,10,36,1488245743645
9,10,-1,1488245744679
1,11,0,1488245746379
1,11,3,1488245747345
1,11,4,1488245748245
1,11,5,1488245748879
1,11,6,1488245749679
1,11,7,1488245750212
1,11,13,1488245752780
1,11,14,1488245753312
1,11,17,1488245755013
1,11,19,1488245756013
1,11,21,1488245757313
1,11,22,1488245758146
1,11,25,1488245760413
1,11,30,1488245761379
1,11,37,1488245763279
1,11,39,1488245763846
1,11,42,1488245765513
