%Recollect Version 2.3. Scene/Level: , Session: 23, GameNumber: 5
%CorsiBlocks:Stage,TrailNum,TargetSequence,ResponseSequence,ClearCount,TimeOfPresentation,TimeOfResponse
1,0,20,20,0,1488246077165,1488246084463
1,1,34,34,0,1488246085431,1488246092330
2,0,52,52,0,1488246095165,1488246101230
2,1,36,36,0,1488246102199,1488246108398
2,2,368,368,0,1488246109366,1488246116864
2,3,208,208,0,1488246117833,1488246125298
2,4,2306,2306,0,1488246126267,1488246136567
2,5,5047,5047,0,1488246137534,1488246147433
2,6,41075,41075,0,1488246148435,1488246159700
2,7,31620,31620,0,1488246160669,1488246172334
2,8,281376,281376,0,1488246173303,1488246188736
2,9,816508,816508,0,1488246189704,1488246204603
2,10,4806317,4801637,0,1488246205605,1488246222769
2,11,0851680,4051638,0,1488246223771,1488246240603
3,0,60,06,0,1488246244638,1488246250403
3,1,24,42,0,1488246251406,1488246257171
4,0,51,15,0,1488246260174,1488246266205
4,1,37,73,0,1488246267206,1488246272938
4,2,630,036,0,1488246273941,1488246281705
4,3,580,085,0,1488246282674,1488246290406
4,4,5683,56083,0,1488246291374,1488246302407
4,5,2841,1482,0,1488246303408,1488246313374
4,6,47812,21874,0,1488246314343,1488246327441
4,7,03415,51403,0,1488246328410,1488246339875
4,8,507613,316705,0,1488246340877,1488246355076
4,9,073280,0823740,0,1488246356078,1488246371010
4,10,4083671,1736840,0,1488246372012,1488246390945
4,11,8027308,8037245,0,1488246391947,1488246418213
