%Recollect Version 2.3. Scene/Level: , Session: 23, GameNumber: 7
%HeartsAndFlowers:Stage,TrailNum,Target,TargetPos,ChoicePos,TimeOfPresentation,TimeOfResponse
1,0,1,1,1,1488246981412,1488246985778
1,1,1,1,1,1488246986779,1488246987346
1,2,1,0,0,1488246988345,1488246989046
1,3,1,0,0,1488246990046,1488246990679
2,0,1,1,1,1488246992412,1488246993079
2,1,1,0,0,1488246994079,1488246994879
2,2,1,1,1,1488246995879,1488246996646
2,3,1,1,1,1488246997646,1488246998246
2,4,1,1,1,1488246999246,1488246999846
2,5,1,0,0,1488247000847,1488247001379
2,6,1,0,0,1488247002380,1488247002946
2,7,1,0,0,1488247003946,1488247004446
2,8,1,1,1,1488247005446,1488247006079
2,9,1,0,0,1488247007080,1488247007546
2,10,1,1,1,1488247008546,1488247009113
2,11,1,0,0,1488247010113,1488247010613
3,0,0,1,0,1488247012714,1488247013846
3,1,0,0,1,1488247014847,1488247015646
3,2,0,1,0,1488247016614,1488247017347
3,3,0,0,1,1488247018347,1488247019013
4,0,0,1,0,1488247020730,1488247021531
4,1,0,0,1,1488247022531,1488247023564
4,2,0,1,0,1488247024564,1488247025164
4,3,0,0,1,1488247026164,1488247026764
4,4,0,1,0,1488247027764,1488247028297
4,5,0,0,1,1488247029298,1488247029964
4,6,0,1,0,1488247030965,1488247031498
4,7,0,0,1,1488247032498,1488247033197
4,8,0,1,0,1488247034198,1488247034764
4,9,0,1,0,1488247035765,1488247036464
4,10,0,0,1,1488247037432,1488247038098
4,11,0,0,1,1488247039098,1488247039798
5,0,1,1,1,1488247041682,1488247042681
5,1,0,0,1,1488247043649,1488247044515
5,2,0,1,0,1488247045515,1488247046316
5,3,1,0,0,1488247047282,1488247048548
6,0,1,0,0,1488247050649,1488247051382
6,1,1,0,0,1488247052382,1488247052915
6,2,1,1,1,1488247053916,1488247054649
6,3,0,0,1,1488247055649,1488247056382
6,4,1,1,1,1488247057350,1488247058083
6,5,0,0,1,1488247059083,1488247059816
6,6,0,0,1,1488247060783,1488247061483
6,7,0,1,0,1488247062483,1488247063383
6,8,1,0,0,1488247064383,1488247065316
6,9,1,1,1,1488247066317,1488247066983
6,10,1,0,0,1488247067983,1488247068683
6,11,0,1,0,1488247069683,1488247070583
6,12,1,0,1,1488247071583,1488247072350
6,13,0,1,0,1488247073317,1488247076083
6,14,0,1,0,1488247077084,1488247077784
6,15,0,0,1,1488247078784,1488247079418
6,16,1,1,1,1488247080417,1488247081117
6,17,1,0,0,1488247082118,1488247082918
6,18,0,0,1,1488247083917,1488247084717
6,19,1,1,1,1488247085717,1488247086617
6,20,0,1,0,1488247087618,1488247090185
6,21,0,1,0,1488247091184,1488247091818
6,22,0,0,1,1488247092818,1488247093518
6,23,1,0,0,1488247094518,1488247095251
6,24,1,1,1,1488247096251,1488247096951
6,25,0,1,0,1488247097952,1488247098685
6,26,0,0,1,1488247099686,1488247100318
6,27,0,1,0,1488247101285,1488247101952
6,28,1,1,1,1488247102952,1488247103752
6,29,1,0,0,1488247104752,1488247105552
6,30,0,1,0,1488247106552,1488247107385
6,31,0,0,1,1488247108385,1488247109219
6,32,1,0,0,1488247110219,1488247110885
6,33,0,1,0,1488247111886,1488247112619
6,34,0,0,1,1488247113586,1488247114386
6,35,1,0,0,1488247115387,1488247116152
6,36,1,1,1,1488247117153,1488247118019
6,37,0,0,1,1488247118987,1488247119853
6,38,0,0,1,1488247120853,1488247121919
6,39,1,1,1,1488247122920,1488247123787
6,40,1,1,1,1488247124786,1488247125520
6,41,1,1,1,1488247126521,1488247129453
6,42,0,0,1,1488247130453,1488247131220
6,43,0,1,0,1488247132220,1488247132953
6,44,1,1,1,1488247133920,1488247134720
6,45,1,0,0,1488247135687,1488247136387
6,46,1,0,0,1488247137387,1488247137953
6,47,0,1,0,1488247138954,1488247139655
