%Recollect Version 2.3. Scene/Level: , Game Number: 004
%D2:Row,lastInteractedCharacter,Ht,Ms,FA,CR,Sequence,Responses
0,6,1,3,0,3,accndbmhobfdamnafficbcbagbhekbacgacidgfdlecbaaml,100000000000000000000000000000000000000000000000
1,13,4,3,0,7,cjcimeabnkkbaabeekbcdackagcbohcnjhabglajbkenegab,100000100000110000000000000000000000000000000000
2,22,8,5,0,10,onfcbjmfbacaablnmgabccbjncfgmdacnmhabdbcppahcmeh,000010001101110000100010000000000000000000000000
3,19,2,8,3,7,pbhclbagkjamcjgmaabbhigccmhpincmakpakbcnbccbngha,001000110000001000010000000000000000000000000000
4,10,2,3,1,5,laphgejccbafbbmdclcaahfblabcghcboafpcafgbdklmlcf,010100000010000000000000000000000000000000000000
5,47,0,22,1,25,lbipgkepacacgfhbkhalahpcbhlbecafnbaicmcbabhcoagn,000000000000000000000000000000000000000000000010
6,41,3,15,4,20,cnebahoncipdobapaclbgafchblhebbhdkcaclhahoabalcn,000000000000000110000000011000001000000101000000
7,21,2,8,0,12,fnnajcbaghdbikccglbdaalbcfhbaheagbccbapcpekjbmkm,000000000000000000001100000000000000000000000000
8,21,2,10,1,9,fjccbaboakmckcgbbheadaddbkicfepocddbaadbefccganp,000000000000000000011100000000000000000000000000
9,-1,0,0,0,0,aleofocchahmhoojbhpnbbacekcemobfacbaaocbkdabcadj,000000000000000000000000000000000000000000000000
10,34,0,16,1,18,agcgbboceaibcmciaondjgiabicalcpaoedkdkbegbamacbg,000000000000000000000000000000000010000000000000
11,47,3,19,4,22,lcmbjnnmbhkapcaoabpodajjcbcnhmbldajcecmabbapibco,000000000000000000000000000001000010000101101001
