%Recollect Version 2.3. Scene/Level: , Game Number: 006
%NearTransferObject:GameNumber,BlockNumber,TrialNumber,CurrentNLevel,IsCorrect,StimulusType,Image,PresentationTime,ResponseTime,ExpireTime
%Possible values for "Image":Bear=0,Sheep=1,Duck=2,Elephant=3,Turtle=4,Owl=5,Goat=6,Seal=7,Blank=8,
%Possible values for "Type":NonTarget=0,Target=1,Lure=2,lessThanN=3,
6,0,1,1,0,3,3,1486145613188,-1,1486145612655
6,0,2,1,1,0,4,1486145616255,-1,1486145615724
6,0,3,1,1,0,0,1486145619288,-1,1486145618762
6,0,4,1,1,1,0,1486145622322,1486145623055,1486145621824
6,0,5,1,1,0,5,1486145625389,-1,1486145624858
6,0,6,1,1,0,2,1486145628455,-1,1486145627924
6,0,7,1,0,0,3,1486145631489,1486145632223,1486145630958
6,0,8,1,1,0,0,1486145634556,-1,1486145634024
6,0,9,1,1,1,0,1486145637589,1486145638256,1486145637058
6,0,10,1,0,1,0,1486145640622,-1,1486145640090
6,0,11,1,1,0,3,1486145643656,-1,1486145643125
6,1,1,1,1,3,3,1486145648123,-1,1486145647590
6,1,2,1,1,0,5,1486145651156,-1,1486145650626
6,1,3,1,1,0,6,1486145654191,-1,1486145653693
6,1,4,1,1,1,6,1486145657257,1486145657891,1486145656726
6,1,5,1,1,1,6,1486145660324,1486145661024,1486145659793
6,1,6,1,1,0,2,1486145663358,-1,1486145662859
6,1,7,1,1,1,2,1486145666424,1486145667124,1486145665893
6,1,8,1,1,0,0,1486145669491,-1,1486145668960
6,1,9,1,1,0,3,1486145672524,-1,1486145671994
6,1,10,1,1,0,1,1486145675591,-1,1486145675060
6,1,11,1,1,0,6,1486145678625,-1,1486145678094
6,1,12,1,0,0,3,1486145681692,1486145683258,1486145681160
6,1,13,1,0,1,3,1486145684725,-1,1486145684227
6,1,14,1,1,0,0,1486145687792,-1,1486145687261
6,1,15,1,1,0,7,1486145690859,-1,1486145690328
6,1,16,1,1,1,7,1486145693892,1486145694526,1486145693361
6,1,17,1,1,0,5,1486145696926,-1,1486145696395
6,1,18,1,1,0,4,1486145699993,-1,1486145699462
6,1,19,1,1,1,4,1486145702993,1486145703493,1486145702495
6,1,20,1,1,0,7,1486145706060,-1,1486145705528
6,1,21,1,1,0,5,1486145709094,-1,1486145708596
6,2,1,2,1,3,2,1486145720827,-1,1486145720295
6,2,2,2,1,3,1,1486145723894,-1,1486145723363
6,2,3,2,1,0,0,1486145726928,-1,1486145726430
6,2,4,2,1,0,7,1486145729994,-1,1486145729463
6,2,5,2,1,1,0,1486145733028,1486145733761,1486145732497
6,2,6,2,1,0,5,1486145736095,-1,1486145735564
6,2,7,2,1,1,0,1486145739128,1486145739628,1486145738599
6,2,8,2,1,0,4,1486145742195,-1,1486145741664
6,2,9,2,1,0,7,1486145745196,-1,1486145744697
6,2,10,2,1,0,2,1486145748262,-1,1486145747731
6,2,11,2,1,0,0,1486145751296,-1,1486145750798
6,2,12,2,1,1,2,1486145754362,1486145754963,1486145753831
6,3,1,2,1,3,5,1486145758563,-1,1486145758030
6,3,2,2,1,3,0,1486145761596,-1,1486145761065
6,3,3,2,1,0,6,1486145764597,-1,1486145764099
6,3,4,2,1,0,7,1486145767663,-1,1486145767132
6,3,5,2,1,0,3,1486145770730,-1,1486145770200
6,3,6,2,1,0,2,1486145773797,-1,1486145773266
6,3,7,2,1,1,3,1486145776830,1486145777597,1486145776299
6,3,8,2,0,1,2,1486145779897,-1,1486145779367
6,3,9,2,1,0,4,1486145782964,-1,1486145782433
6,3,10,2,1,0,1,1486145786031,-1,1486145785499
6,3,11,2,1,0,7,1486145789098,-1,1486145788567
6,3,12,2,1,0,5,1486145792131,-1,1486145791600
6,3,13,2,1,1,7,1486145795199,1486145795732,1486145794667
6,3,14,2,1,0,6,1486145798231,-1,1486145797733
6,3,15,2,1,0,1,1486145801266,-1,1486145800767
6,3,16,2,1,0,3,1486145804332,-1,1486145803801
6,3,17,2,1,1,1,1486145807399,1486145808099,1486145806868
6,3,18,2,0,1,3,1486145810465,-1,1486145809935
6,3,19,2,1,0,0,1486145813499,-1,1486145812969
6,3,20,2,1,0,2,1486145816566,-1,1486145816035
6,3,21,2,1,0,1,1486145819600,-1,1486145819102
6,3,22,2,1,1,2,1486145822666,1486145823633,1486145822135
6,4,1,3,1,3,3,1486145829533,-1,1486145829001
6,4,2,3,1,3,1,1486145832534,-1,1486145832037
6,4,3,3,1,3,0,1486145835600,-1,1486145835069
6,4,4,3,1,0,0,1486145838634,-1,1486145838104
6,4,5,3,1,1,1,1486145841701,1486145842901,1486145841170
6,4,6,3,1,0,4,1486145844767,-1,1486145844237
6,4,7,3,1,0,4,1486145847801,-1,1486145847303
6,4,8,3,1,0,7,1486145850868,-1,1486145850338
6,4,9,3,1,0,0,1486145853901,-1,1486145853370
6,4,10,3,1,1,4,1486145856935,1486145858068,1486145856404
