%Recollect Version 2.3; iPad: ; User: RLB140; Session: 2
%Span:2,Continent,Difficulty,Game Number,Highest Span Length Achieved,Current Span Length
%NBack:4,Game Number,Scene/Level Played,Highest N Level Achieved,Current N Level
%MultiObject:8,Continent,Difficulty,Game Number,Highest Number of Concurrent Bugs,Current Number of Concurrent Bugs
%LameBack:32,Algorithm,Session,GameNumber,Accuracy,EndingNLevel,HighestNLevel,BayesianEstimates
32,4,2,1,0.8,2,4,algoNotBayesian
32,4,2,1,1,3,4,algoNotBayesian
32,4,2,1,0.3333333,4,4,algoNotBayesian
32,4,2,1,1,3,4,algoNotBayesian
32,4,2,1,0.625,4,4,algoNotBayesian
32,4,2,1,0.3333333,5,5,algoNotBayesian
32,4,2,1,1,4,5,algoNotBayesian
32,4,2,1,0,5,5,algoNotBayesian
32,4,2,1,0,4,5,algoNotBayesian
32,4,2,1,0.5833333,3,5,algoNotBayesian
32,4,2,1,0.4285714,4,5,algoNotBayesian
32,4,2,1,0.25,3,5,algoNotBayesian
32,4,2,1,1,2,5,algoNotBayesian
32,4,2,1,1,3,5,algoNotBayesian
32,4,2,1,0,4,5,algoNotBayesian
32,4,2,1,1,3,5,algoNotBayesian
32,4,2,1,1,4,5,algoNotBayesian
32,4,2,1,0.3636364,5,5,algoNotBayesian
32,4,2,1,1,4,5,algoNotBayesian
32,4,2,1,0.4285714,5,5,algoNotBayesian
32,4,2,1,0.75,4,5,algoNotBayesian
32,4,2,1,0.3333333,5,5,algoNotBayesian
32,4,3,0,1,3,5,algoNotBayesian
32,4,3,0,0.3333333,4,5,algoNotBayesian
32,4,3,0,0.6666667,3,5,algoNotBayesian
32,4,3,0,0.4,4,5,algoNotBayesian
32,4,3,0,1,3,5,algoNotBayesian
32,4,3,0,0.6666667,4,5,algoNotBayesian
32,4,3,0,0.4,5,5,algoNotBayesian
32,4,3,0,0.4285714,4,5,algoNotBayesian
32,4,3,0,0.6666667,3,5,algoNotBayesian
32,4,3,0,0.6428571,4,5,algoNotBayesian
32,4,3,0,0.375,5,5,algoNotBayesian
32,4,3,0,0.1666667,4,5,algoNotBayesian
32,4,3,0,1,3,5,algoNotBayesian
32,4,3,0,0.8,4,5,algoNotBayesian
32,4,3,0,1,5,5,algoNotBayesian
32,4,3,0,0.4444444,6,6,algoNotBayesian
32,4,3,0,0.4545455,5,6,algoNotBayesian
32,4,3,0,0.25,4,6,algoNotBayesian
