%Recollect Version 2.3. Scene/Level: , Game Number: 004
%D2:Action,Row,Character,TimeOfResponse
1,0,0,1486415417581
1,0,2,1486415422849
1,0,3,1486415423515
1,0,4,1486415425482
1,0,5,1486415426115
1,0,8,1486415427648
1,0,9,1486415429549
1,0,11,1486415430182
-1,0,10,1486415431415
-1,0,10,1486415432849
-1,0,10,1486415433516
2,0,11,1486415434282
9,0,-1,1486415435051
1,1,0,1486415441383
1,1,1,1486415443283
1,1,2,1486415445216
1,1,3,1486415445950
1,1,4,1486415446483
1,1,5,1486415446882
1,1,6,1486415447316
1,1,7,1486415447817
1,1,8,1486415448116
1,1,9,1486415448416
1,1,10,1486415448950
1,1,11,1486415449316
1,1,13,1486415449583
2,1,13,1486415449884
1,1,12,1486415450183
1,1,14,1486415451050
1,1,15,1486415451650
1,1,16,1486415452350
-1,1,13,1486415452916
-1,1,14,1486415453451
1,1,17,1486415454251
1,1,18,1486415454817
1,1,20,1486415455384
2,1,20,1486415455850
9,1,-1,1486415456051
-1,1,19,1486415456283
1,2,1,1486415461051
-1,2,0,1486415461784
-1,2,0,1486415462818
-1,2,0,1486415464717
-1,2,0,1486415465151
2,2,1,1486415465684
1,2,0,1486415466417
1,2,1,1486415467184
1,2,4,1486415469585
1,2,5,1486415470151
1,2,6,1486415470617
1,2,7,1486415472085
1,2,11,1486415473618
1,2,14,1486415474351
1,2,16,1486415475785
2,2,16,1486415476318
9,2,-1,1486415477057
1,3,1,1486415479785
-1,3,0,1486415480985
-1,3,0,1486415481786
1,3,3,1486415482785
1,3,4,1486415483918
1,3,6,1486415484486
-1,3,5,1486415485452
1,3,7,1486415486885
1,3,10,1486415487818
1,3,11,1486415488552
1,3,13,1486415489252
1,3,14,1486415489852
1,3,15,1486415490352
1,3,16,1486415490985
1,3,17,1486415492019
1,3,18,1486415492619
1,3,21,1486415493520
2,3,21,1486415494352
1,3,22,1486415494952
1,3,23,1486415495652
1,3,24,1486415496119
1,3,25,1486415496952
1,3,26,1486415497319
9,3,-1,1486415498087
-1,3,29,1486415498252
1,4,0,1486415501219
1,4,2,1486415502953
1,4,3,1486415503619
1,4,7,1486415504687
1,4,8,1486415505320
1,4,11,1486415506053
-1,4,9,1486415506886
-1,4,9,1486415507886
1,4,15,1486415509153
2,4,15,1486415509553
1,4,14,1486415510154
1,4,15,1486415510886
1,4,17,1486415511787
1,4,18,1486415512387
1,4,20,1486415513953
1,4,24,1486415515187
-1,4,23,1486415515754
-1,4,19,1486415516820
9,4,-1,1486415519088
1,5,1,1486415521387
1,5,2,1486415522620
1,5,3,1486415523288
1,5,4,1486415524055
1,5,6,1486415524722
1,5,10,1486415525422
1,5,12,1486415526087
1,5,13,1486415526721
1,5,14,1486415527354
1,5,15,1486415528055
1,5,18,1486415529554
-1,5,17,1486415530421
1,5,19,1486415531854
1,5,20,1486415532322
1,5,23,1486415533288
1,5,24,1486415533755
1,5,26,1486415534288
-1,5,25,1486415535055
1,5,28,1486415535721
2,5,28,1486415536388
1,5,27,1486415536988
1,5,30,1486415537822
-1,5,29,1486415538388
-1,5,29,1486415539455
9,5,-1,1486415540089
1,6,0,1486415542422
1,6,1,1486415544288
1,6,7,1486415545556
1,6,8,1486415546290
1,6,12,1486415548456
1,6,15,1486415550055
1,6,22,1486415552289
1,6,27,1486415553057
1,6,29,1486415553889
1,6,36,1486415554722
1,6,47,1486415556556
9,6,-1,1486415561091
1,7,0,1486415564589
1,7,8,1486415566790
1,7,9,1486415567590
1,7,12,1486415568590
1,7,13,1486415570857
1,7,14,1486415571290
1,7,18,1486415572024
1,7,22,1486415572990
-1,7,19,1486415573624
1,7,24,1486415574990
1,7,25,1486415575425
1,7,28,1486415576491
1,7,30,1486415577257
1,7,36,1486415579558
1,7,40,1486415580425
2,7,40,1486415581391
9,7,-1,1486415582094
-1,7,39,1486415582224
1,8,0,1486415585357
1,8,4,1486415586424
-1,8,1,1486415592958
1,8,25,1486415595491
-1,8,5,1486415596826
-1,8,5,1486415597525
-1,8,6,1486415598325
1,8,31,1486415598959
1,8,39,1486415600059
1,8,43,1486415600492
1,8,45,1486415600891
1,8,47,1486415601291
-1,8,42,1486415601992
-1,8,41,1486415602458
-1,8,39,1486415602758
-1,8,31,1486415603058
9,8,-1,1486415603093
1,9,19,1486415603425
1,9,20,1486415606892
-1,9,19,1486415607525
1,9,22,1486415608292
1,9,26,1486415608992
1,9,28,1486415609425
1,9,29,1486415609859
1,9,31,1486415610293
1,9,34,1486415610725
1,9,35,1486415611092
1,9,37,1486415611426
1,9,38,1486415611693
1,9,40,1486415612026
1,9,41,1486415612259
1,9,45,1486415612892
1,9,47,1486415613226
-1,9,44,1486415618827
-1,9,46,1486415619093
9,9,-1,1486415624094
1,10,3,1486415626360
1,10,4,1486415627394
1,10,5,1486415627760
1,10,7,1486415628094
1,10,10,1486415628394
1,10,12,1486415628760
1,10,15,1486415629094
1,10,18,1486415629460
1,10,20,1486415629760
1,10,23,1486415630127
1,10,25,1486415630460
1,10,28,1486415630794
1,10,29,1486415631126
1,10,33,1486415631494
-1,10,32,1486415631860
1,10,34,1486415632194
1,10,36,1486415632527
1,10,37,1486415632860
1,10,38,1486415633193
1,10,39,1486415633494
