%Recollect Version 2.3. Scene/Level: , Session: 23, GameNumber: 1
%MatrixReasoning:Stage,ProblemNumber,CurrentResponse,CorrectResponse,NavigationDirection,TimeOfResponse
2,0,7,7,0,1488320586148
2,1,1,1,0,1488320590148
2,2,0,2,0,1488320594482
2,2,2,2,0,1488320599683
2,0,1,1,0,1488320609883
2,0,1,1,1,1488320611816
2,1,2,2,0,1488320613917
2,1,2,2,1,1488320615517
2,2,4,4,0,1488320620817
2,2,4,4,1,1488320622150
2,3,6,6,0,1488320628118
2,3,6,6,1,1488320630884
2,4,7,7,0,1488320636084
2,4,7,7,1,1488320636918
2,5,1,1,0,1488320645618
2,5,1,1,1,1488320651185
2,6,3,3,0,1488320685520
2,6,3,3,1,1488320685954
2,7,4,4,0,1488320692387
2,7,4,4,1,1488320693121
2,8,4,7,0,1488320697221
2,8,7,7,0,1488320702589
2,8,7,7,1,1488320704688
2,9,4,4,0,1488320718189
2,9,4,4,1,1488320722623
2,10,3,3,0,1488320728656
2,10,3,3,1,1488320729356
2,11,7,7,0,1488320737657
2,11,7,7,1,1488320739191
2,12,1,1,0,1488320751891
2,12,1,1,1,1488320752958
2,13,6,6,0,1488320757491
2,13,6,6,1,1488320762058
2,14,0,4,0,1488320801594
2,14,0,4,1,1488320807561
2,15,4,4,0,1488320838229
2,15,4,4,1,1488320838862
2,16,5,5,0,1488320848930
2,16,5,5,1,1488320860264
2,17,0,0,0,1488320878531
2,17,0,0,1,1488320879231
2,18,3,3,0,1488320896066
2,18,3,3,1,1488320900432
2,19,2,2,0,1488320913033
2,19,2,2,1,1488320915233
2,20,5,5,0,1488320927701
2,20,5,5,1,1488320929501
2,21,7,0,0,1488320939901
2,21,0,0,0,1488320942802
2,21,0,0,1,1488320944335
2,22,5,5,0,1488320959370
2,22,5,5,1,1488320964804
2,23,5,5,0,1488320982471
2,23,5,5,1,1488320996338
2,24,1,1,0,1488321034040
2,24,1,1,1,1488321043307
2,25,0,0,0,1488321051908
2,25,0,0,1,1488321053441
2,26,5,5,0,1488321072776
2,26,5,5,1,1488321073409
2,27,3,3,0,1488321105400
2,27,3,3,1,1488321109867
2,28,6,6,0,1488321125668
2,28,6,6,1,1488321129501
2,29,1,1,0,1488321167037
2,29,1,1,1,1488321168370
2,30,2,2,0,1488321181738
2,30,2,2,1,1488321187638
2,31,0,0,0,1488321209341
2,31,0,0,1,1488321210039
2,32,2,2,0,1488321242808
2,32,2,2,1,1488321244041
2,33,0,0,0,1488321259342
2,33,0,0,1,1488321268610
2,34,6,6,0,1488321285577
2,34,6,6,1,1488321292677
2,35,6,3,0,1488321346347
2,35,3,3,0,1488321347714
2,35,3,3,1,1488321348114
2,36,5,0,0,1488321357881
2,36,5,0,1,1488321361114
2,37,2,2,0,1488321367848
2,37,2,2,1,1488321370881
2,38,3,3,0,1488321398517
2,38,3,3,1,1488321400883
2,39,4,4,0,1488321433552
2,39,4,4,1,1488321435119
2,40,6,6,0,1488321447819
2,40,6,6,1,1488321449952
2,41,7,7,0,1488321472788
