%Recollect Version 2.3. Scene/Level: , Game Number: 004
%D2:Action,Row,Character,TimeOfResponse
1,0,0,1487963151315
1,0,3,1487963152382
1,0,5,1487963153148
1,0,9,1487963154783
1,0,10,1487963155616
1,0,12,1487963156449
1,0,13,1487963156882
1,0,15,1487963157948
1,0,16,1487963159015
1,0,18,1487963160482
1,0,20,1487963161416
1,0,24,1487963162915
1,0,25,1487963163449
1,0,26,1487963164049
1,0,28,1487963165083
1,0,29,1487963165682
1,0,31,1487963166716
1,0,35,1487963168451
1,0,36,1487963168916
9,0,-1,1487963169952
-1,0,38,1487963170017
-1,0,38,1487963170716
1,1,0,1487963173216
1,1,2,1487963173883
1,1,7,1487963176383
1,1,9,1487963177217
1,1,13,1487963178416
1,1,17,1487963179850
1,1,18,1487963180417
1,1,19,1487963180951
1,1,20,1487963181817
1,1,22,1487963182683
1,1,23,1487963183384
1,1,24,1487963184017
1,1,25,1487963184650
1,1,30,1487963186584
1,1,33,1487963187550
-1,1,32,1487963188318
-1,1,32,1487963189184
-1,1,32,1487963189851
-1,1,32,1487963190284
-1,1,32,1487963190851
9,1,-1,1487963190950
1,2,0,1487963192851
1,2,2,1487963193684
1,2,4,1487963194617
1,2,5,1487963195151
1,2,7,1487963195918
1,2,10,1487963197151
1,2,13,1487963198784
1,2,18,1487963201019
1,2,20,1487963201985
1,2,21,1487963202784
1,2,23,1487963203685
1,2,25,1487963204485
1,2,26,1487963205051
1,2,28,1487963206019
1,2,34,1487963208152
1,2,36,1487963209152
1,2,37,1487963209486
1,2,40,1487963210885
1,2,41,1487963211353
9,2,-1,1487963211954
-1,2,42,1487963212285
1,3,0,1487963214219
1,3,4,1487963215086
1,3,5,1487963215686
1,3,10,1487963217820
1,3,12,1487963218952
1,3,14,1487963220186
1,3,16,1487963221219
1,3,19,1487963222219
1,3,21,1487963223153
1,3,24,1487963224152
1,3,26,1487963225119
1,3,27,1487963225686
1,3,31,1487963227519
1,3,32,1487963228253
1,3,34,1487963229121
1,3,35,1487963229820
1,3,38,1487963231320
1,3,40,1487963232386
9,3,-1,1487963232955
-1,3,42,1487963233287
