%Recollect Version 2.3. Scene/Level: , Game Number: 001
%Note: All true/false values are represented as "1" and "0" respectively.
%Damage:1,Player X Position,Player Y Position,Hearts Left,Time (Relative),Time (Absolute)
%LameBackObject:Algorithm Condition,Trial Number,Current N Level,Lure Rate,Is Correct,Stimulus Type,Stimulus Color,Presentation Time (R),Presentation Time (A),Response Time (R),Response Time (A),Expire Time (R),Expire Time (A)
%Possible values for "Color":Red=0,Blue=1,Green=2,Yellow=3,Purple=4,LightBlue=5,Brown=6,White=7,
%Possible values for "Type":NonTarget=0,Target=1,Lure=2,lessThanN=3,
7,1,2,0.3,1,3,2,15.55442,1487892996062,-1,-1,15.0214,1487892995529
7,2,2,0.3,1,3,1,18.55468,1487892999062,-1,-1,18.05456,1487892998565
7,3,2,0.3,1,0,0,21.58811,1487893002096,-1,-1,21.05473,1487893001565
7,4,2,0.3,1,2,0,24.65502,1487893005163,-1,-1,24.08887,1487893004599
7,5,2,0.3,1,1,0,27.6551,1487893008163,29.35553,1487893009863,27.15503,1487893007667
7,6,2,0.3,1,0,2,30.68891,1487893011196,-1,-1,30.15524,1487893010666
7,7,2,0.3,1,0,1,33.75544,1487893014263,-1,-1,33.22209,1487893013732
7,8,2,0.3,1,2,1,36.75619,1487893017264,-1,-1,36.25551,1487893016766
7,9,2,0.3,1,1,1,39.78912,1487893020297,41.02254,1487893021530,39.2891,1487893019801
7,10,2,0.3,1,2,0,42.78929,1487893023297,-1,-1,42.28918,1487893022799
7,11,2,0.3,1,1,1,45.78946,1487893026297,47.28955,1487893027797,45.28942,1487893025799
7,12,2,0.3,1,0,3,48.82296,1487893029331,-1,-1,48.28979,1487893028800
7,13,2,0.3,1,1,1,51.82321,1487893032331,52.68986,1487893033198,51.32311,1487893031834
7,14,2,0.3,1,2,1,54.85662,1487893035364,-1,-1,54.3233,1487893034834
7,15,2,0.3,1,0,0,57.85682,1487893038364,-1,-1,57.35678,1487893037867
7,16,2,0.3,1,0,2,60.857,1487893041365,-1,-1,60.35687,1487893040867
7,17,2,0.3,1,0,3,63.89056,1487893044398,-1,-1,63.35712,1487893043868
7,18,2,0.3,0,2,3,66.95731,1487893047465,68.25732,1487893048766,66.3913,1487893046901
7,19,2,0.3,1,0,0,69.95749,1487893050465,-1,-1,69.45746,1487893049969
7,20,2,0.3,1,2,0,72.95766,1487893053465,-1,-1,72.45763,1487893052968
7,21,2,0.3,1,1,0,75.99117,1487893056499,77.0246,1487893057532,75.4583,1487893055968
7,22,2,0.3,1,1,0,78.99149,1487893059499,80.02497,1487893060533,78.49138,1487893059002
