%Recollect Version 2.3. Scene/Level: , Session: 21, GameNumber: 7
%HeartsAndFlowers:Stage,TrailNum,Target,TargetPos,ChoicePos,TimeOfPresentation,TimeOfResponse
1,0,1,1,1,1487813141797,1487813142530
1,1,1,1,1,1487813143532,1487813144164
1,2,1,0,0,1487813145164,1487813145797
1,3,1,0,0,1487813146798,1487813147464
2,0,1,1,1,1487813150232,1487813150764
2,1,1,1,1,1487813151765,1487813152299
2,2,1,0,0,1487813153298,1487813153965
2,3,1,0,0,1487813154966,1487813155565
2,4,1,0,0,1487813156565,1487813157198
2,5,1,1,1,1487813158198,1487813158731
2,6,1,1,1,1487813159732,1487813160298
2,7,1,0,0,1487813161298,1487813161898
2,8,1,1,1,1487813162865,1487813163498
2,9,1,0,0,1487813164499,1487813165065
2,10,1,0,0,1487813166066,1487813166632
2,11,1,1,1,1487813167632,1487813168099
3,0,0,1,0,1487813172732,1487813173333
3,1,0,0,1,1487813174333,1487813174932
3,2,0,1,0,1487813175899,1487813176566
3,3,0,0,1,1487813177567,1487813178200
4,0,0,1,0,1487813180983,1487813181516
4,1,0,0,1,1487813182483,1487813183049
4,2,0,0,1,1487813184050,1487813184750
4,3,0,1,0,1487813185750,1487813186350
4,4,0,1,0,1487813187317,1487813187883
4,5,0,1,0,1487813188850,1487813189484
4,6,0,0,1,1487813190485,1487813191217
4,7,0,0,1,1487813192217,1487813192850
4,8,0,0,1,1487813193850,1487813194417
4,9,0,1,0,1487813195417,1487813196017
4,10,0,1,0,1487813197017,1487813197717
4,11,0,0,1,1487813198717,1487813199351
5,0,1,1,1,1487813203101,1487813203967
5,1,0,0,1,1487813204968,1487813205734
5,2,1,0,0,1487813206735,1487813207967
5,3,0,1,0,1487813208968,1487813210168
6,0,1,1,1,1487813213068,1487813213735
6,1,1,0,0,1487813214735,1487813215735
6,2,0,0,1,1487813216736,1487813217668
6,3,0,0,1,1487813218669,1487813219468
6,4,0,1,0,1487813220469,1487813221335
6,5,1,1,1,1487813222335,1487813223068
6,6,1,0,0,1487813224035,1487813225002
6,7,0,1,0,1487813225969,1487813227069
6,8,0,0,1,1487813228069,1487813228803
6,9,1,1,1,1487813229802,1487813230602
6,10,0,0,1,1487813231602,1487813232336
6,11,0,1,0,1487813233336,1487813234237
6,12,1,0,0,1487813235203,1487813236069
6,13,1,0,0,1487813237069,1487813237836
6,14,0,1,0,1487813238836,1487813239903
6,15,1,1,1,1487813240903,1487813241836
6,16,1,1,1,1487813242837,1487813243703
6,17,1,0,0,1487813244670,1487813245603
6,18,0,0,1,1487813246603,1487813247304
6,19,0,1,0,1487813248303,1487813249037
6,20,1,0,0,1487813250037,1487813250937
6,21,1,0,0,1487813251937,1487813252603
6,22,0,0,1,1487813253606,1487813254403
6,23,1,1,1,1487813255404,1487813256304
6,24,0,0,1,1487813257304,1487813258637
6,25,1,1,1,1487813259637,1487813260305
6,26,0,1,0,1487813261304,1487813262137
6,27,0,0,1,1487813263137,1487813264071
6,28,0,0,1,1487813265071,1487813265804
6,29,1,0,0,1487813266771,1487813267504
6,30,1,1,1,1487813268504,1487813269272
6,31,1,0,0,1487813270272,1487813271071
6,32,0,1,0,1487813272071,1487813272904
6,33,0,1,0,1487813273905,1487813274771
6,34,1,0,0,1487813275772,1487813276405
6,35,0,0,1,1487813277405,1487813278271
6,36,1,1,1,1487813279274,1487813280007
6,37,1,0,0,1487813281005,1487813282105
6,38,0,0,1,1487813283106,1487813283772
6,39,0,1,0,1487813284772,1487813285539
6,40,0,0,1,1487813286539,1487813287472
6,41,1,1,1,1487813288472,1487813289338
6,42,0,1,0,1487813290306,1487813291239
6,43,0,1,0,1487813292239,1487813293039
6,44,1,0,0,1487813294039,1487813294939
6,45,1,1,1,1487813295939,1487813296839
6,46,1,1,1,1487813297839,1487813298607
6,47,0,1,0,1487813299606,1487813300439
