%Recollect Version 2.3. Scene/Level: , Game Number: 003
%SymmetrySpan:Stage,TrailNum,SequenceLength,TargetSequence,ResponseSequence,SymmetrySequence,SymmetryResponses,ClearCount,TimeOfSequencePresentation,TimeOfSymmetryPresentation,TimeOfResponsePrompt,TimeOfResponseSubmission
3,0,2,AF,AF,,,0,1486153766404,,1486153768767,1486153772767
3,1,2,35,35,,,0,1486153774771,,1486153777101,1486153779534
3,2,3,3A4,3A4,,,0,1486153781539,,1486153785035,1486153787101
3,3,3,8FA,8FA,,,0,1486153789073,,1486153792601,1486153794870
10,0,0,,,1,1,0,1486153860409,1486153860407,1486153792601,1486153863772
10,1,0,,,1,1,0,1486153865773,1486153865773,1486153792601,1486153870272
10,2,0,,,0,0,0,1486153872273,1486153872273,1486153792601,1486153874940
10,3,0,,,1,1,0,1486153876940,1486153876940,1486153792601,1486153880206
10,4,0,,,0,0,0,1486153882207,1486153882207,1486153792601,1486153884040
10,5,0,,,0,0,0,1486153886040,1486153886040,1486153792601,1486153888440
10,6,0,,,0,0,0,1486153890441,1486153890441,1486153792601,1486153893240
10,7,0,,,1,1,0,1486153895208,1486153895208,1486153792601,1486153897607
10,8,0,,,0,0,0,1486153899574,1486153899574,1486153792601,1486153901208
10,9,0,,,0,0,0,1486153903208,1486153903208,1486153792601,1486153906841
10,10,0,,,1,1,0,1486153908842,1486153908842,1486153792601,1486153911841
10,11,0,,,1,1,0,1486153913809,1486153913809,1486153792601,1486153916909
10,12,0,,,0,0,0,1486153918910,1486153918910,1486153792601,1486153921142
10,13,0,,,0,0,0,1486153923143,1486153923143,1486153792601,1486153927677
10,14,0,,,0,0,0,1486153929677,1486153929676,1486153792601,1486153931510
10,15,0,,,0,1,0,1486153933510,1486153933510,1486153792601,1486153936109
13,0,2,1B,5B,01,01,0,1486154004567,1486154011402,1486154013635,1486154016964
13,1,2,B1,B5,10,Z0,0,1486154018969,1486154027336,1486154030870,1486154034098
13,2,2,A7,A7,00,00,0,1486154036103,1486154041304,1486154043037,1486154044799
14,0,4,3FEB,3FEB,1011,1011,0,1486154059504,1486154075505,1486154078773,1486154082501
14,1,3,013,013,011,001,0,1486154084505,1486154094139,1486154097007,1486154099435
14,2,3,CA6,CB6,000,000,0,1486154101440,1486154112573,1486154114241,1486154116403
14,3,5,62C09,B1749,10010,1Z001,0,1486154118374,1486154139809,1486154144176,1486154149471
14,4,2,82,82,10,10,0,1486154151476,1486154157777,1486154159012,1486154162106
14,5,3,F67,B29,010,111,0,1486154164110,1486154174977,1486154178312,1486154183741
14,6,5,39106,3B169,01111,01111,0,1486154185711,1486154204880,1486154207746,1486154212608
14,7,4,2FEC,1BE9,1010,1010,0,1486154214579,1486154229480,1486154230816,1486154236076
14,8,4,4C98,4C98,1110,1110,0,1486154238048,1486154252815,1486154255383,1486154257745
14,9,5,53D96,53DB6,00010,00010,0,1486154259716,1486154276383,1486154277583,1486154283646
14,10,2,C3,C3,00,00,0,1486154285651,1486154290284,1486154292752,1486154295646
14,11,2,EC,EC,11,11,0,1486154297651,1486154303786,1486154306052,1486154307980
