%Recollect Version 2.3. Scene/Level: , Session: 16, GameNumber: 0
%Note: All true/false values are represented as "1" and "0" respectively.
%Damage:1,Player X Position,Player Y Position,Hearts Left,Time (Relative),Time (Absolute)
%LameBackObject:Algorithm Condition,Trial Number,Current N Level,Lure Rate,Is Correct,Stimulus Type,Stimulus Color,Presentation Time (R),Presentation Time (A),Response Time (R),Response Time (A),Expire Time (R),Expire Time (A)
%Possible values for "Color":Red=0,Blue=1,Green=2,Yellow=3,Purple=4,LightBlue=5,Brown=6,White=7,
%Possible values for "Type":NonTarget=0,Target=1,Lure=2,lessThanN=3,
8,1,2,0.3,1,3,0,8.62035,1487701773225,-1,-1,8.086914,1487701772692
8,2,2,0.3,1,3,1,11.65377,1487701776259,-1,-1,11.12048,1487701775729
8,3,2,0.3,1,0,3,14.68727,1487701779292,-1,-1,14.1539,1487701778762
8,4,2,0.3,1,2,3,17.75411,1487701782360,-1,-1,17.1879,1487701781796
8,5,2,0.3,1,1,3,20.75465,1487701785360,21.35448,1487701785960,20.25425,1487701784863
8,6,2,0.3,1,0,2,23.78785,1487701788393,-1,-1,23.28775,1487701787896
8,7,2,0.3,1,1,3,26.82137,1487701791426,27.92144,1487701792526,26.32126,1487701790929
8,8,2,0.3,1,0,0,29.85479,1487701794460,-1,-1,29.32151,1487701793929
8,9,2,0.3,1,2,0,32.85496,1487701797460,-1,-1,32.35493,1487701796963
8,10,2,0.3,1,1,0,35.92183,1487701800527,37.28856,1487701801894,35.3551,1487701799963
8,11,2,0.3,0,1,0,38.92225,1487701803527,-1,-1,38.42194,1487701803029
8,12,2,0.3,1,0,2,41.98881,1487701806594,-1,-1,41.45545,1487701806063
8,13,2,0.3,1,2,2,45.02257,1487701809628,-1,-1,44.48894,1487701809096
8,14,2,0.3,1,0,1,48.08915,1487701812694,-1,-1,47.55578,1487701812163
8,15,2,0.3,1,2,1,51.08941,1487701815694,-1,-1,50.58937,1487701815198
8,16,2,0.3,1,0,3,54.15678,1487701818762,-1,-1,53.58955,1487701818197
8,17,2,0.3,1,2,3,57.223,1487701821828,-1,-1,56.68962,1487701821297
8,18,2,0.3,1,1,3,60.25642,1487701824861,60.85673,1487701825462,59.72331,1487701824330
8,19,2,0.3,1,1,3,63.28999,1487701827895,63.85672,1487701828462,62.75665,1487701827365
8,20,2,0.3,1,0,0,66.32352,1487701830928,-1,-1,65.79015,1487701830398
8,21,2,0.3,1,2,0,69.32367,1487701833929,-1,-1,68.82365,1487701833431
8,22,2,0.3,1,0,2,72.35817,1487701836963,-1,-1,71.8239,1487701836431
8,1,2,0.3,1,3,0,76.50742,1487701841113,-1,-1,76.00732,1487701840613
8,2,2,0.3,1,3,1,79.2742,1487701843879,-1,-1,78.7742,1487701843382
