%Recollect Version 2.3. Scene/Level: , Session: 23, GameNumber: 2
%LetterNumberSpan:TrailNum,Sequence,LetterInput,NumberInput,TimeOfPresentationStart,TimeOfPresentationEnd,TimeOfResponse
0,6F,F,6,1488237881614,1488237884616,1488237899888
1,G4,G,4,1488237901415,1488237904417,1488237908482
2,3W5,W,35,1488237910016,1488237914518,1488237919504
3,T7L,LT,7,1488237921033,1488237925535,1488237933817
4,1JA,AJ,1,1488237935351,1488237939852,1488237948913
0,F4,F,4,1488237954335,1488237957304,1488237962588
1,1J,J,1,1488237964119,1488237967120,1488237976121
2,A7,A,7,1488237977654,1488237980655,1488237987397
3,L1H,HL,1,1488237988921,1488237993422,1488238005355
4,T2S,ST,2,1488238006888,1488238011390,1488238020415
5,K43,K,34,1488238021939,1488238026441,1488238032573
6,R5B2,BR,25,1488238034106,1488238040108,1488238057666
7,N3L9,LN,39,1488238059195,1488238065198,1488238077015
8,5V8P,PV,58,1488238078546,1488238084547,1488238102905
9,4M7S1,MS,147,1488238104431,1488238111932,1488238123515
10,L3E1D,DEL,13,1488238125048,1488238132550,1488238158975
11,9M6K2,KM,269,1488238160501,1488238168002,1488238186791
12,D1B5R9,DMR,15,1488238188319,1488238197321,1488238220055
13,G9T2A5,GMT,259,1488238221587,1488238230589,1488238258172
14,3W5A1G,AGNW,135,1488238259706,1488238268709,1488238299692
