%Recollect Version 2.3. Scene/Level: , Session: 21, GameNumber: 6
%NearTransferObject:GameNumber,BlockNumber,TrialNumber,CurrentNLevel,IsCorrect,StimulusType,Image,PresentationTime,ResponseTime,ExpireTime
%Possible values for "Image":RV=0,Truck=1,FireTruck=2,Ambulance=3,Cab=4,Schoolbus=5,Limo=6,Police=7,Blank=8,
%Possible values for "Type":NonTarget=0,Target=1,Lure=2,lessThanN=3,
6,0,1,1,0,3,2,1488403211999,-1,1488403211466
6,0,2,1,1,0,5,1488403215033,-1,1488403214536
6,0,3,1,1,1,5,1488403218099,1488403219099,1488403217568
6,0,4,1,1,0,4,1488403221166,-1,1488403220636
6,0,5,1,1,0,7,1488403224199,-1,1488403223669
6,0,6,1,1,0,6,1488403227233,-1,1488403226737
6,0,7,1,1,1,6,1488403230300,1488403231300,1488403229770
6,0,8,1,1,0,4,1488403233366,-1,1488403232836
6,0,9,1,1,0,7,1488403236400,-1,1488403235870
6,0,10,1,1,0,6,1488403239467,-1,1488403238936
6,0,11,1,1,1,6,1488403242534,1488403243235,1488403242003
6,1,1,1,1,3,0,1488403249767,-1,1488403249235
6,1,2,1,1,0,4,1488403252801,-1,1488403252272
6,1,3,1,1,1,4,1488403255834,1488403257235,1488403255304
6,1,4,1,1,0,0,1488403258869,-1,1488403258337
6,1,5,1,1,1,0,1488403261935,1488403262668,1488403261406
6,1,6,1,1,0,4,1488403264968,-1,1488403264438
6,1,7,1,1,0,2,1488403268002,-1,1488403267471
6,1,8,1,1,0,1,1488403271069,-1,1488403270538
6,1,9,1,1,1,1,1488403274102,1488403275136,1488403273571
6,1,10,1,1,0,5,1488403277136,-1,1488403276605
6,1,11,1,1,0,6,1488403280169,-1,1488403279639
6,1,12,1,1,0,7,1488403283170,-1,1488403282673
6,1,13,1,1,1,7,1488403286236,1488403287170,1488403285706
6,1,14,1,1,0,2,1488403289303,-1,1488403288772
6,1,15,1,1,0,5,1488403292303,-1,1488403291806
6,1,16,1,1,1,5,1488403295337,1488403296304,1488403294841
6,1,17,1,1,0,0,1488403298370,-1,1488403297873
6,1,18,1,1,0,6,1488403301437,-1,1488403300906
6,1,19,1,1,0,5,1488403304470,-1,1488403303973
6,1,20,1,1,0,1,1488403307537,-1,1488403307007
6,1,21,1,1,1,1,1488403310571,1488403311405,1488403310041
6,2,1,2,1,3,7,1488403337072,-1,1488403336539
6,2,2,2,1,3,3,1488403340139,-1,1488403339609
6,2,3,2,1,0,0,1488403343173,-1,1488403342642
6,2,4,2,1,0,2,1488403346173,-1,1488403345677
6,2,5,2,1,0,1,1488403349240,-1,1488403348709
6,2,6,2,1,1,2,1488403352273,1488403353475,1488403351743
6,2,7,2,1,1,1,1488403355274,1488403356240,1488403354778
6,2,8,2,1,0,7,1488403358340,-1,1488403357809
6,2,9,2,1,0,5,1488403361407,-1,1488403360877
6,2,10,2,1,1,7,1488403364440,1488403366141,1488403363910
6,2,11,2,1,0,3,1488403367507,-1,1488403366978
6,2,12,2,1,0,4,1488403370574,-1,1488403370044
6,3,1,2,1,3,2,1488403375808,-1,1488403375275
6,3,2,2,1,3,6,1488403378875,-1,1488403378345
6,3,3,2,1,0,0,1488403381908,-1,1488403381377
6,3,4,2,1,0,4,1488403384942,-1,1488403384412
6,3,5,2,1,1,0,1488403388008,1488403388742,1488403387478
6,3,6,2,1,1,4,1488403391042,1488403391643,1488403390512
