%Recollect Version 2.3. Scene/Level: , Game Number: 002
%LetterNumberSpan:TrailNum,Sequence,LetterInput,NumberInput,TimeOfPresentationStart,TimeOfPresentationEnd,TimeOfResponse
0,6F,F,6,1486414177636,1486414180638,1486414194882
1,G4,G,4,1486414196404,1486414199405,1486414207668
2,3W5,W,53,1486414209187,1486414213690,1486414225589
3,T7L,L,1,1486414228589,1486414233091,1486414244373
4,1JA,AJ,1,1486414247407,1486414251909,1486414266941
0,F4,F,4,1486414275875,1486414278877,1486414284408
1,1J,J,1,1486414285942,1486414288943,1486414296514
2,A7,A,7,1486414298043,1486414301044,1486414308143
3,L1H,HL,1,1486414309677,1486414314178,1486414334823
4,T2S,ST,2,1486414336345,1486414340846,1486414364076
5,K43,K,34,1486414365596,1486414370098,1486414392029
6,R5B2,BR,25,1486414393548,1486414399550,1486414421700
7,N3L9,LF,39,1486414423233,1486414429235,1486414448434
8,5V8P,PV,58,1486414449968,1486414455969,1486414483603
9,4M7S1,MS,147,1486414485136,1486414492639,1486414517494
10,L3E1D,LP,313,1486414519022,1486414526523,1486414566325
11,9M6K2,KM,269,1486414567851,1486414575353,1486414594263
12,D1B5R9,BR,15,1486414595787,1486414604788,1486414630187
13,G9T2A5,AG,125,1486414631705,1486414640707,1486414669974
14,3W5A1G,AGW,135,1486414671507,1486414680509,1486414715460
15,B6H7A5K,AB,56,1486414716993,1486414727495,1486414758112
16,8H4R1C2,CHR,148,1486414759629,1486414770131,1486414838952
17,C7B5N9Y,BHY,7,1486414840484,1486414850985,1486414873985
