%Recollect Version 2.3. Scene/Level: , Session: 22, GameNumber: 22
%D2:Action,Row,Character,TimeOfResponse
1,0,1,1488400090219
1,0,4,1488400092086
1,0,5,1488400092987
1,0,7,1488400093886
1,0,8,1488400095020
1,0,10,1488400097487
1,0,12,1488400098453
1,0,13,1488400099254
1,0,15,1488400100221
1,0,16,1488400100987
1,0,18,1488400102354
1,0,20,1488400103354
1,0,23,1488400105221
1,0,26,1488400106287
1,0,27,1488400108021
1,0,28,1488400108320
9,0,-1,1488400109154
1,1,0,1488400110548
1,1,1,1488400111378
1,1,2,1488400111644
1,1,4,1488400112574
1,1,8,1488400114236
1,1,9,1488400114902
1,1,11,1488400116402
1,1,13,1488400117036
1,1,14,1488400118103
1,1,16,1488400118336
-1,1,15,1488400119169
-1,1,15,1488400119736
1,1,18,1488400120836
1,1,20,1488400121936
1,1,27,1488400125171
1,1,28,1488400126070
1,1,29,1488400126270
1,1,31,1488400127269
1,1,32,1488400128003
1,1,33,1488400128436
1,1,36,1488400129503
9,1,-1,1488400130138
1,2,3,1488400132570
1,2,4,1488400133237
1,2,5,1488400133670
1,2,6,1488400134204
1,2,7,1488400134870
1,2,9,1488400135704
1,2,11,1488400136870
1,2,12,1488400137403
1,2,14,1488400139005
1,2,16,1488400139404
1,2,17,1488400141004
1,2,20,1488400142337
1,2,22,1488400142904
1,2,25,1488400144638
1,2,27,1488400145071
1,2,29,1488400145971
1,2,30,1488400147005
9,2,-1,1488400151139
1,3,0,1488400152638
1,3,1,1488400152971
1,3,3,1488400153738
1,3,4,1488400154171
1,3,5,1488400154672
1,3,6,1488400155171
1,3,10,1488400157271
1,3,12,1488400157971
1,3,16,1488400159506
1,3,18,1488400159905
-1,3,17,1488400160671
1,3,21,1488400162405
1,3,24,1488400163339
1,3,26,1488400164972
1,3,28,1488400165372
1,3,32,1488400166838
1,3,35,1488400168539
1,3,40,1488400170573
-1,3,39,1488400171539
9,3,-1,1488400172140
1,4,0,1488400173539
1,4,1,1488400173872
1,4,5,1488400175274
1,4,9,1488400176439
1,4,14,1488400177973
1,4,16,1488400178806
1,4,17,1488400179439
1,4,19,1488400180339
1,4,22,1488400181340
1,4,23,1488400181739
1,4,25,1488400182706
1,4,29,1488400183773
1,4,31,1488400185040
1,4,32,1488400185940
