%Recollect Version 2.3. Scene/Level: , Session: 1, GameNumber: 0
%Note: All true/false values are represented as "1" and "0" respectively.
%Damage:1,Player X Position,Player Y Position,Hearts Left,Time (Relative),Time (Absolute)
%LameBackObject:Algorithm Condition,Trial Number,Current N Level,Lure Rate,Is Correct,Stimulus Type,Stimulus Color,Presentation Time (R),Presentation Time (A),Response Time (R),Response Time (A),Expire Time (R),Expire Time (A)
%Possible values for "Color":Red=0,Blue=1,Green=2,Yellow=3,Purple=4,LightBlue=5,Brown=6,White=7,
%Possible values for "Type":NonTarget=0,Target=1,Lure=2,lessThanN=3,
6,1,4,0.3,1,3,7,8.086792,1486501518450,-1,-1,7.553589,1486501517918
6,2,4,0.3,1,3,6,11.15344,1486501521517,-1,-1,10.62,1486501520986
6,3,4,0.3,1,3,2,14.18713,1486501524551,-1,-1,13.65369,1486501524020
6,4,4,0.3,1,3,4,17.28723,1486501527651,-1,-1,16.7207,1486501527088
6,5,4,0.3,1,2,6,20.3208,1486501530684,-1,-1,19.78748,1486501530154
6,6,4,0.3,0,2,2,23.38745,1486501533751,24.55457,1486501534918,22.85413,1486501533220
6,7,4,0.3,0,2,6,26.42102,1486501536784,28.15466,1486501538518,25.8877,1486501536254
6,8,4,0.3,1,0,0,29.48816,1486501539852,-1,-1,28.92114,1486501539288
6,9,4,0.3,1,1,6,32.55469,1486501542918,33.18811,1486501543552,32.02136,1486501542387
6,10,4,0.3,1,1,2,35.58862,1486501545952,36.52161,1486501546885,35.05481,1486501545421
6,11,4,0.3,0,2,0,38.65503,1486501549018,39.5553,1486501549919,38.12158,1486501548488
6,12,4,0.3,1,0,7,41.72192,1486501552085,-1,-1,41.15515,1486501551522
6,13,4,0.3,1,0,3,44.78894,1486501555152,-1,-1,44.22205,1486501554588
6,14,4,0.3,1,1,2,47.85596,1486501558219,48.62231,1486501558986,47.32214,1486501557688
6,15,4,0.3,1,0,4,50.95642,1486501561320,-1,-1,50.38904,1486501560756
6,16,4,0.3,1,0,5,54.02258,1486501564386,-1,-1,53.48926,1486501563856
6,17,4,0.3,1,1,3,57.08936,1486501567453,57.78943,1486501568153,56.52271,1486501566889
6,18,4,0.3,1,0,0,60.15686,1486501570520,-1,-1,59.5896,1486501569956
6,19,4,0.3,1,1,4,63.25647,1486501573620,64.15649,1486501574520,62.69019,1486501573057
6,20,4,0.3,1,1,5,66.32324,1486501576687,68.05737,1486501578421,65.75671,1486501576123
6,21,4,0.3,0,2,0,69.3573,1486501579721,71.55762,1486501581921,68.82385,1486501579190
6,22,4,0.3,1,0,6,72.45703,1486501582820,-1,-1,71.89026,1486501582256
6,23,4,0.3,1,0,2,75.5238,1486501585887,-1,-1,74.99036,1486501585357
6,24,4,0.3,0,2,0,78.55798,1486501588921,79.25757,1486501589621,78.02393,1486501588391
6,1,5,0.3,1,3,3,88.82458,1486501599188,-1,-1,88.25854,1486501598623
6,2,5,0.3,1,3,0,91.89136,1486501602255,-1,-1,91.32495,1486501601691
6,3,5,0.3,1,3,4,94.92542,1486501605289,-1,-1,94.39148,1486501604757
6,4,5,0.3,1,3,5,98.02502,1486501608388,-1,-1,97.4585,1486501607825
6,5,5,0.3,1,3,6,101.0588,1486501611422,-1,-1,100.5251,1486501610891
6,6,5,0.3,1,1,3,104.1588,1486501614522,104.7588,1486501615122,103.592,1486501613958
6,7,5,0.3,1,2,5,107.1923,1486501617556,-1,-1,106.6594,1486501617027
6,8,5,0.3,1,1,4,110.259,1486501620622,111.7592,1486501622123,109.6926,1486501620058
6,9,5,0.3,1,0,7,113.3264,1486501623690,-1,-1,112.7592,1486501623126
6,10,5,0.3,1,1,6,116.4261,1486501626789,117.1927,1486501627556,115.8595,1486501626225
6,11,5,0.3,1,0,1,119.4929,1486501629856,-1,-1,118.9264,1486501629293
6,12,5,0.3,1,0,1,122.5266,1486501632890,-1,-1,121.993,1486501632360
6,13,5,0.3,0,0,0,125.5939,1486501635957,126.427,1486501636791,125.0599,1486501635426
6,14,5,0.3,0,0,0,128.6935,1486501639057,130.6937,1486501641057,128.1273,1486501638493
6,15,5,0.3,1,1,6,131.7941,1486501642157,132.7605,1486501643124,131.2275,1486501641594
6,16,5,0.3,1,0,5,134.8273,1486501645191,-1,-1,134.327,1486501644694
6,17,5,0.3,1,2,6,137.8939,1486501648257,-1,-1,137.3274,1486501647694
6,18,5,0.3,1,0,2,140.9276,1486501651291,-1,-1,140.394,1486501650760
6,19,5,0.3,1,1,0,144.0276,1486501654391,144.5615,1486501654925,143.4609,1486501653827
6,20,5,0.3,1,2,0,147.0612,1486501657425,-1,-1,146.5278,1486501656894
6,21,5,0.3,1,0,4,150.1281,1486501660491,-1,-1,149.5613,1486501659927
6,22,5,0.3,0,2,0,153.1948,1486501663558,154.6282,1486501664992,152.6282,1486501662995
6,23,5,0.3,1,1,2,156.229,1486501666592,157.2954,1486501667659,155.6949,1486501666061
6,24,5,0.3,1,2,2,159.2952,1486501669659,-1,-1,158.7618,1486501669128
6,25,5,0.3,0,2,4,162.3289,1486501672692,163.5955,1486501673959,161.7959,1486501672162
6,1,6,0.3,1,3,7,171.4291,1486501681793,-1,-1,170.8961,1486501681260
6,2,6,0.3,1,3,0,174.496,1486501684859,-1,-1,173.9298,1486501684297
6,3,6,0.3,1,3,6,177.53,1486501687893,-1,-1,176.9962,1486501687362
6,4,6,0.3,1,3,4,180.5964,1486501690960,-1,-1,180.063,1486501690429
6,5,6,0.3,1,3,3,183.6299,1486501693993,-1,-1,183.0966,1486501693463
6,6,6,0.3,1,3,5,186.6968,1486501697060,-1,-1,186.13,1486501696497
6,7,6,0.3,1,0,5,189.7301,1486501700094,-1,-1,189.197,1486501699563
6,8,6,0.3,1,1,0,192.7306,1486501703094,193.7305,1486501704094,192.2303,1486501702597
6,9,6,0.3,1,2,0,195.7639,1486501706127,-1,-1,195.2307,1486501705598
6,10,6,0.3,1,0,1,198.7975,1486501709161,-1,-1,198.264,1486501708630
6,11,6,0.3,0,1,3,201.8309,1486501712194,-1,-1,201.2976,1486501711663
6,12,6,0.3,1,1,5,204.8977,1486501715261,206.3979,1486501716762,204.3311,1486501714698
6,13,6,0.3,0,2,0,207.9313,1486501718295,209.098,1486501719462,207.3978,1486501717764
6,14,6,0.3,1,0,7,210.998,1486501721361,-1,-1,210.4314,1486501720798
6,15,6,0.3,1,0,6,214.0649,1486501724428,-1,-1,213.4982,1486501723864
6,16,6,0.3,1,1,1,217.1317,1486501727495,218.2317,1486501728595,216.5651,1486501726931
6,17,6,0.3,0,2,0,220.1658,1486501730529,221.3655,1486501731729,219.6318,1486501729998
6,18,6,0.3,0,1,5,223.2322,1486501733596,-1,-1,222.6987,1486501733065
6,19,6,0.3,1,2,3,226.299,1486501736662,-1,-1,225.7656,1486501736134
6,20,6,0.3,1,1,7,229.3665,1486501739730,230.1991,1486501740563,228.7992,1486501739166
6,21,6,0.3,1,0,4,232.4329,1486501742796,-1,-1,231.8993,1486501742265
6,22,6,0.3,0,2,5,235.4995,1486501745863,236.5002,1486501746864,234.9659,1486501745332
6,23,6,0.3,0,2,5,238.5664,1486501748930,239.4675,1486501749831,237.9996,1486501748366
6,24,6,0.3,0,0,6,241.6332,1486501751997,242.4673,1486501752831,241.0665,1486501751433
6,25,6,0.3,0,0,1,244.6667,1486501755030,245.8667,1486501756230,244.1333,1486501754500
6,26,6,0.3,0,0,1,247.7335,1486501758097,249.1676,1486501759531,247.2004,1486501757567
6,1,6,0.3,1,3,2,258.1674,1486501768531,-1,-1,257.6007,1486501767965
6,2,6,0.3,1,3,7,261.2012,1486501771565,-1,-1,260.6675,1486501771034
6,3,6,0.3,1,3,6,264.301,1486501774664,-1,-1,263.7344,1486501774100
6,4,6,0.3,1,3,0,267.3346,1486501777698,-1,-1,266.8013,1486501777168
6,5,6,0.3,1,3,5,270.4014,1486501780765,-1,-1,269.8347,1486501780201
6,6,6,0.3,1,3,4,273.4352,1486501783799,-1,-1,272.9016,1486501783268
6,7,6,0.3,1,1,2,276.5023,1486501786866,277.0352,1486501787399,275.969,1486501786335
6,8,6,0.3,1,0,2,279.5686,1486501789932,-1,-1,279.0353,1486501789401
6,9,6,0.3,0,2,7,282.6355,1486501792999,283.6357,1486501794000,282.0691,1486501792435
6,10,6,0.3,0,1,0,285.6689,1486501796032,-1,-1,285.1356,1486501795504
6,11,6,0.3,1,2,2,288.6698,1486501799033,-1,-1,288.1691,1486501798535
6,12,6,0.3,0,0,1,291.736,1486501802099,292.6027,1486501802966,291.2026,1486501801569
6,13,6,0.3,1,1,2,294.8032,1486501805167,295.7362,1486501806100,294.2362,1486501804602
6,14,6,0.3,0,2,7,297.8696,1486501808233,298.6696,1486501809033,297.3363,1486501807702
6,15,6,0.3,1,1,7,300.9364,1486501811300,301.77,1486501812134,300.3699,1486501810737
6,16,6,0.3,1,0,3,304.0034,1486501814367,-1,-1,303.4368,1486501813803
6,17,6,0.3,1,0,3,307.0702,1486501817434,-1,-1,306.5369,1486501816903
6,18,6,0.3,1,1,1,310.137,1486501820500,310.8704,1486501821234,309.5703,1486501819936
6,19,6,0.3,0,0,0,313.1707,1486501823534,314.1042,1486501824468,312.6371,1486501823003
6,20,6,0.3,1,2,2,316.2374,1486501826601,-1,-1,315.704,1486501826071
6,21,6,0.3,1,2,2,319.2709,1486501829634,-1,-1,318.7377,1486501829104
6,22,6,0.3,1,0,6,322.3378,1486501832702,-1,-1,321.771,1486501832137
6,23,6,0.3,1,0,6,325.4045,1486501835768,-1,-1,324.8711,1486501835237
6,24,6,0.3,0,2,2,328.4713,1486501838835,329.1714,1486501839536,327.9047,1486501838271
6,25,6,0.3,1,1,0,331.5382,1486501841902,332.2719,1486501842635,331.0048,1486501841370
6,26,6,0.3,1,0,5,334.5718,1486501844935,-1,-1,334.0385,1486501844406
6,1,6,0.3,1,3,5,339.0052,1486501849369,-1,-1,338.4387,1486501848803
6,2,6,0.3,1,3,7,342.0388,1486501852402,-1,-1,341.506,1486501851872
6,3,6,0.3,1,3,6,345.0396,1486501855403,-1,-1,344.5389,1486501854905
6,4,6,0.3,1,3,0,348.1058,1486501858469,-1,-1,347.5728,1486501857939
6,5,6,0.3,1,3,1,351.1393,1486501861503,-1,-1,350.606,1486501860972
6,6,6,0.3,1,3,4,354.1733,1486501864537,-1,-1,353.6398,1486501864007
6,7,6,0.3,1,2,7,357.2729,1486501867636,-1,-1,356.7064,1486501867072
6,8,6,0.3,1,0,3,360.3398,1486501870703,-1,-1,359.7731,1486501870139
6,9,6,0.3,1,1,6,363.4067,1486501873770,363.9406,1486501874304,362.84,1486501873206
6,10,6,0.3,1,2,1,366.4736,1486501876837,-1,-1,365.9402,1486501876306
6,11,6,0.3,1,1,1,369.5736,1486501879937,370.4406,1486501880804,369.0071,1486501879373
6,12,6,0.3,1,0,5,372.6411,1486501883004,-1,-1,372.0739,1486501882440
6,13,6,0.3,0,0,0,375.7074,1486501886071,376.6742,1486501887038,375.1412,1486501885508
6,14,6,0.3,0,1,3,378.708,1486501889071,-1,-1,378.2075,1486501888573
6,15,6,0.3,0,0,5,381.8077,1486501892171,382.5747,1486501892938,381.241,1486501891607
6,16,6,0.3,1,1,1,384.8748,1486501895238,386.6416,1486501897006,384.3079,1486501894674
6,17,6,0.3,0,2,5,387.9417,1486501898305,388.7081,1486501899072,387.3752,1486501897742
6,18,6,0.3,0,0,6,391.0415,1486501901405,392.1749,1486501902539,390.4749,1486501900841
6,19,6,0.3,1,1,0,394.0751,1486501904438,394.9087,1486501905272,393.5416,1486501903907
6,20,6,0.3,0,2,1,397.1088,1486501907472,398.5085,1486501908872,396.5752,1486501906941
6,21,6,0.3,1,0,4,400.1754,1486501910539,-1,-1,399.6089,1486501909975
6,22,6,0.3,0,2,3,403.2422,1486501913606,403.9425,1486501914306,402.6755,1486501913043
6,23,6,0.3,0,0,7,406.3091,1486501916672,406.7424,1486501917106,405.7423,1486501916110
6,24,6,0.3,1,1,6,409.3425,1486501919706,409.8425,1486501920206,408.8098,1486501919176
6,25,6,0.3,0,2,4,412.3767,1486501922740,413.1763,1486501923540,411.8428,1486501922209
6,26,6,0.3,0,0,7,415.4097,1486501925773,415.9097,1486501926273,414.9094,1486501925275
6,1,6,0.3,1,3,5,426.277,1486501936640,-1,-1,425.7438,1486501936108
6,2,6,0.3,1,3,6,429.3438,1486501939708,-1,-1,428.7771,1486501939144
