%Recollect Version 2.3. Scene/Level: , Session: 21, GameNumber: 21
%D2:Action,Row,Character,TimeOfResponse
-1,10,23,1488389959210
1,0,0,1488389964879
1,0,9,1488389966811
1,0,20,1488389969679
-1,0,19,1488389970178
-1,0,19,1488389970679
-1,0,19,1488389971180
-1,0,19,1488389971579
-1,0,19,1488389971913
-1,0,19,1488389972246
-1,0,19,1488389972545
-1,0,19,1488389972812
-1,0,19,1488389973079
-1,0,18,1488389973279
-1,0,19,1488389973545
-1,0,19,1488389973779
-1,0,19,1488389973978
-1,0,19,1488389974212
1,0,36,1488389975312
9,0,-1,1488389979847
1,1,7,1488389988714
2,1,7,1488389989480
1,1,7,1488389990446
2,1,7,1488389991013
9,1,-1,1488390000848
1,2,13,1488390003715
2,2,13,1488390004747
9,2,-1,1488390021850
1,3,5,1488390025015
1,3,8,1488390027215
1,3,12,1488390028515
1,3,25,1488390034182
-1,3,24,1488390035182
-1,3,24,1488390035682
1,3,30,1488390040849
2,3,30,1488390041150
1,3,29,1488390041450
2,3,29,1488390041716
1,3,29,1488390041983
1,3,30,1488390042216
9,3,-1,1488390042850
-1,3,32,1488390043482
-1,3,31,1488390043783
1,4,0,1488390044783
1,4,1,1488390045083
1,4,3,1488390045549
1,4,4,1488390045716
-1,4,3,1488390046149
-1,4,2,1488390046349
-1,4,2,1488390046516
1,4,6,1488390046816
1,4,8,1488390047216
1,4,10,1488390047416
1,4,11,1488390047584
1,4,12,1488390047783
1,4,14,1488390048150
1,4,15,1488390048316
2,4,15,1488390048516
1,4,16,1488390048716
1,4,17,1488390048882
2,4,17,1488390049049
1,4,18,1488390049249
1,4,19,1488390049449
2,4,19,1488390049616
1,4,20,1488390049783
1,4,21,1488390049982
1,4,22,1488390050182
1,4,23,1488390050349
1,4,24,1488390050549
1,4,25,1488390050715
1,4,26,1488390050882
1,4,27,1488390051116
1,4,28,1488390051282
1,4,29,1488390051482
1,4,30,1488390051649
1,4,31,1488390051815
1,4,33,1488390052216
2,4,33,1488390052382
1,4,34,1488390052582
1,4,35,1488390052983
1,4,36,1488390053183
1,4,37,1488390053382
1,4,38,1488390053582
1,4,39,1488390053951
1,4,41,1488390054549
2,4,41,1488390054716
1,4,41,1488390054916
2,4,41,1488390055083
1,4,43,1488390055249
1,4,44,1488390055450
2,4,44,1488390055649
1,4,45,1488390055849
2,4,45,1488390056016
1,4,46,1488390056216
1,4,47,1488390056383
-1,4,40,1488390060384
-1,4,41,1488390060618
-1,4,42,1488390061250
-1,4,42,1488390061484
-1,4,42,1488390062017
-1,4,45,1488390062384
-1,4,45,1488390062684
-1,4,45,1488390063184
9,4,-1,1488390063852
1,5,0,1488390065218
1,5,1,1488390065384
1,5,2,1488390065551
1,5,3,1488390065750
2,5,3,1488390065884
1,5,4,1488390066050
1,5,5,1488390066250
1,5,6,1488390066417
1,5,7,1488390066583
1,5,8,1488390066750
2,5,8,1488390066917
1,5,9,1488390067116
1,5,10,1488390067283
2,5,10,1488390067483
1,5,11,1488390067650
1,5,12,1488390067816
2,5,12,1488390067983
1,5,13,1488390068150
2,5,13,1488390068350
1,5,14,1488390068517
1,5,15,1488390068683
2,5,15,1488390068850
1,5,16,1488390069050
2,5,16,1488390069217
1,5,17,1488390069417
1,5,18,1488390069616
2,5,18,1488390069783
1,5,20,1488390070117
1,5,21,1488390070283
2,5,21,1488390070451
1,5,22,1488390070617
1,5,23,1488390070818
1,5,24,1488390071017
2,5,24,1488390071217
1,5,25,1488390071450
1,5,26,1488390071584
2,5,26,1488390071783
1,5,27,1488390072017
1,5,28,1488390072384
1,5,29,1488390072583
1,5,30,1488390072717
1,5,31,1488390072951
2,5,31,1488390073151
1,5,33,1488390073318
1,5,34,1488390073517
2,5,34,1488390073751
1,5,35,1488390074184
1,5,36,1488390074384
2,5,36,1488390074550
1,5,37,1488390074750
1,5,38,1488390074950
1,5,39,1488390075150
1,5,40,1488390075350
2,5,40,1488390075484
1,5,41,1488390075717
2,5,41,1488390075917
1,5,42,1488390076117
1,5,43,1488390076317
1,5,44,1488390076517
1,5,45,1488390076717
1,5,46,1488390076917
1,5,47,1488390078351
9,5,-1,1488390084853
1,6,0,1488390085052
2,6,0,1488390085518
1,6,2,1488390085718
2,6,2,1488390085919
1,6,0,1488390086352
1,6,1,1488390086552
1,6,4,1488390087118
1,6,5,1488390087285
1,6,6,1488390087485
1,6,7,1488390087685
1,6,8,1488390087852
1,6,9,1488390088018
1,6,10,1488390088186
1,6,11,1488390088385
1,6,12,1488390088752
1,6,13,1488390088951
1,6,14,1488390089118
1,6,15,1488390089285
1,6,16,1488390089685
1,6,17,1488390089851
1,6,18,1488390090085
1,6,19,1488390090251
1,6,21,1488390090618
1,6,22,1488390090818
2,6,22,1488390091018
1,6,23,1488390091252
1,6,24,1488390091418
1,6,25,1488390091618
1,6,26,1488390091818
1,6,27,1488390092018
1,6,29,1488390092451
2,6,29,1488390092685
1,6,30,1488390092885
1,6,33,1488390093318
1,6,34,1488390093551
1,6,36,1488390093752
1,6,38,1488390094151
1,6,39,1488390094351
1,6,40,1488390094551
1,6,41,1488390094751
1,6,42,1488390094952
1,6,44,1488390095318
1,6,46,1488390095552
1,6,47,1488390095918
-1,7,2,1488390097119
-1,7,0,1488390097752
-1,7,1,1488390097953
-1,7,2,1488390098152
-1,7,3,1488390098352
-1,7,5,1488390098520
-1,6,32,1488390099686
-1,6,32,1488390099919
-1,6,31,1488390100186
-1,6,32,1488390100587
