%Recollect Version 2.3. Scene/Level: , Game Number: 002
%LetterNumberSpan:TrailNum,Sequence,LetterInput,NumberInput,TimeOfPresentationStart,TimeOfPresentationEnd,TimeOfResponse
0,6F,F,6,1486143834675,1486143837676,1486143846034
1,G4,,4,1486143847559,1486143850560,1486143859579
2,3W5,W,35,1486143862643,1486143867111,1486143872846
3,T7L,TL,7,1486143874377,1486143878879,1486143884544
4,1JA,JA,1,1486143887544,1486143892046,1486143897664
0,L2,L,2,1486143904663,1486143907664,1486143914437
1,6P,P,6,1486143915963,1486143918964,1486143922582
2,B5,B,5,1486143924113,1486143927115,1486143930684
3,F7L,L,7,1486143932214,1486143936710,1486143940038
4,R4D,DR,4,1486143941565,1486143946067,1486143951855
5,H18,H,18,1486143953383,1486143957884,1486143963133
6,T9A3,AT,39,1486143964667,1486143970668,1486143981033
7,V1J5,JV,15,1486143982551,1486143988553,1486143996424
8,7N4L,LN,47,1486143997952,1486144003954,1486144014299
9,8D6G1,DG,168,1486144015819,1486144023321,1486144036387
10,K2C7S,CKS,27,1486144037921,1486144045422,1486144064441
11,5P3Y9,PY,359,1486144065972,1486144073474,1486144090294
12,M4E7Q2,EQ,247,1486144091824,1486144103076,1486144121810
13,W8H5F3,HFW,358,1486144123342,1486144132344,1486144150165
14,6G9A2S,WSW,698,1486144151694,1486144160696,1486144187926
