%Recollect Version 2.3. Scene/Level: , Game Number: 004
%D2:Row,lastInteractedCharacter,Ht,Ms,FA,CR,Sequence,Responses
0,23,6,3,0,15,ofndhfpcbcgaeigopbiaibabcakcabcmdglmahebpcobacnb,000000010100000001000111000000000000000000000000
1,24,9,1,0,15,hajbcniojofcndjabfbchakbgcnoeapacjaljbcbgeebfcac,010110000001000110110100000000000000000000000000
2,30,11,4,0,16,agacbjpckbdbocdladmfacoonbajcpbcndonijbaabkdomab,101010010101010000001000011000100000000000000000
3,30,10,5,1,15,dhgcbkplkabiecaalibcdhacnbjacmbbjooamcbbjfockahj,000100000010011100110011010001000000000000000000
4,29,16,1,0,13,hckgbakacbocbabhhofclaahpbaibcfjpjfjdiceaanncmkb,010011011101111000010110010011000000000000000000
5,24,8,3,1,13,bbjafiekkndacmcdnocaicablbnbcdjbncamacpoaanbhhnd,110010000001101000100101000000000000000000000000
6,22,10,0,0,13,bjaaeofncflchmbpgbgbaecclhealocbghajabmccalfmacm,101100001001001001011010000000000000000000000000
7,35,16,2,0,18,macmbimmbadeicccoeiambadjjbbchojcaabkocmldiajfbc,011010001100011100010110001110000101000000000000
8,33,14,0,0,20,gcnikacbbeapnmichakcbololagbejcjoaclabbdbfpegbca,010001111010000101011000010100100100000000000000
9,27,11,1,0,16,baldpcacbomkbnohbkehomacadfcocpbambajmcccgaedafi,110001011000100010000011100100000000000000000000
10,26,14,0,0,13,oacbgljdahnbciocaabpblcdcafeabbhchkjjabjikplbcji,011100001001100111101010110000000000000000000000
11,34,18,0,0,17,clbakgcoebfoaejbnkbahncceoafaagbccbibpcafpkcodgl,101100100100100100110011001011011110000000000000
