%Recollect Version 2.3. Scene/Level: , Session: 5, GameNumber: 0
%Note: All true/false values are represented as "1" and "0" respectively.
%Damage:1,Player X Position,Player Y Position,Hearts Left,Time (Relative),Time (Absolute)
%LameBackObject:Algorithm Condition,Trial Number,Current N Level,Lure Rate,Is Correct,Stimulus Type,Stimulus Color,Presentation Time (R),Presentation Time (A),Response Time (R),Response Time (A),Expire Time (R),Expire Time (A)
%Possible values for "Color":Red=0,Blue=1,Green=2,Yellow=3,Purple=4,LightBlue=5,Brown=6,White=7,
%Possible values for "Type":NonTarget=0,Target=1,Lure=2,lessThanN=3,
8,1,2,0.3,1,3,5,3.920898,1486682698774,-1,-1,3.354126,1486682698209
8,2,2,0.3,1,3,0,6.987183,1486682701841,-1,-1,6.453857,1486682701310
8,3,2,0.3,1,0,7,10.05408,1486682704907,-1,-1,9.487671,1486682704344
8,4,2,0.3,1,0,6,13.12097,1486682707974,-1,-1,12.55432,1486682707410
8,5,2,0.3,1,1,7,16.15454,1486682711008,16.75476,1486682711608,15.62109,1486682710479
8,6,2,0.3,1,0,1,19.18835,1486682714042,-1,-1,18.65466,1486682713510
8,7,2,0.3,1,1,7,22.25488,1486682717108,22.88831,1486682717742,21.72144,1486682716577
8,8,2,0.3,1,0,4,25.32166,1486682720175,-1,-1,24.78833,1486682719644
8,9,2,0.3,1,0,3,28.35522,1486682723209,-1,-1,27.82178,1486682722678
8,10,2,0.3,1,0,6,31.42236,1486682726276,-1,-1,30.88855,1486682725745
8,11,2,0.3,1,2,6,34.52222,1486682729375,-1,-1,33.95544,1486682728811
8,12,2,0.3,1,0,5,37.58899,1486682732442,-1,-1,37.02234,1486682731878
8,13,2,0.3,1,1,6,40.65613,1486682735509,41.28931,1486682736143,40.08911,1486682734945
8,14,2,0.3,1,2,6,43.75647,1486682738610,-1,-1,43.18933,1486682738046
8,15,2,0.3,1,1,6,46.78955,1486682741643,47.3562,1486682742210,46.25659,1486682741114
8,16,2,0.3,1,1,6,49.82324,1486682744677,50.38977,1486682745243,49.28967,1486682744145
8,17,2,0.3,1,2,7,52.89038,1486682747744,-1,-1,52.35645,1486682747212
8,18,2,0.3,1,2,7,55.95679,1486682750810,-1,-1,55.42322,1486682750279
8,19,2,0.3,1,2,6,58.99023,1486682753843,-1,-1,58.45813,1486682753314
8,20,2,0.3,1,1,7,62.05701,1486682756910,62.65723,1486682757511,61.49036,1486682756347
8,21,2,0.3,1,2,7,65.09106,1486682759944,-1,-1,64.5575,1486682759415
8,22,2,0.3,1,0,2,68.19067,1486682763044,-1,-1,67.62402,1486682762480
8,1,2,0.3,1,3,2,74.32434,1486682769178,-1,-1,73.82434,1486682768678
8,2,2,0.3,1,3,0,77.09119,1486682771945,-1,-1,76.59119,1486682771449
8,3,2,0.3,1,0,5,79.85803,1486682774711,-1,-1,79.35791,1486682774214
8,4,2,0.3,1,0,1,82.62488,1486682777478,-1,-1,82.12549,1486682776983
8,5,2,0.3,1,1,5,85.39172,1486682780245,85.92517,1486682780779,84.8916,1486682779748
8,6,2,0.3,1,2,5,88.15857,1486682783012,-1,-1,87.65845,1486682782515
8,7,2,0.3,1,2,1,90.92542,1486682785779,-1,-1,90.42529,1486682785281
8,8,2,0.3,1,1,5,93.69214,1486682788545,94.25916,1486682789113,93.19214,1486682788048
8,9,2,0.3,1,2,5,96.45898,1486682791312,-1,-1,95.95898,1486682790816
8,10,2,0.3,1,2,1,99.22583,1486682794079,-1,-1,98.72583,1486682793582
8,11,2,0.3,1,2,1,101.9927,1486682796846,-1,-1,101.4927,1486682796349
8,12,2,0.3,1,0,0,104.7596,1486682799613,-1,-1,104.2594,1486682799115
8,13,2,0.3,1,0,3,107.5262,1486682802380,-1,-1,107.0262,1486682801882
8,14,2,0.3,1,1,0,110.2931,1486682805146,110.9933,1486682805847,109.7932,1486682804650
8,15,2,0.3,1,2,0,113.0599,1486682807913,-1,-1,112.5599,1486682807416
8,16,2,0.3,1,1,0,115.8274,1486682810681,116.5603,1486682811414,115.3267,1486682810183
8,17,2,0.3,1,1,0,118.5935,1486682813447,119.2272,1486682814081,118.0941,1486682812950
8,18,2,0.3,1,0,2,121.3604,1486682816214,-1,-1,120.8604,1486682815716
8,19,2,0.3,1,0,1,124.1273,1486682818981,-1,-1,123.6272,1486682818484
8,20,2,0.3,1,1,2,126.8943,1486682821748,127.494,1486682822348,126.3939,1486682821251
8,21,2,0.3,1,0,3,129.6609,1486682824514,-1,-1,129.1608,1486682824017
8,22,2,0.3,1,0,7,132.4276,1486682827281,-1,-1,131.9275,1486682826783
8,1,2,0.3,1,3,6,143.7949,1486682838648,-1,-1,143.3619,1486682838217
8,2,2,0.3,1,3,7,146.2617,1486682841115,-1,-1,145.829,1486682840685
8,3,2,0.3,1,1,6,148.7286,1486682843582,149.2955,1486682844149,148.2952,1486682843152
8,4,2,0.3,1,1,7,151.1954,1486682846049,151.7622,1486682846616,150.762,1486682845618
8,5,2,0.3,1,0,1,153.6622,1486682848516,-1,-1,153.2288,1486682848085
8,6,2,0.3,1,2,1,156.129,1486682850982,-1,-1,155.6958,1486682850552
8,7,2,0.3,1,1,1,158.5961,1486682853449,159.0964,1486682853950,158.1625,1486682853019
8,8,2,0.3,1,1,1,161.0627,1486682855916,161.5963,1486682856450,160.6293,1486682855486
8,9,2,0.3,1,0,0,163.5295,1486682858383,-1,-1,163.0961,1486682857952
8,10,2,0.3,1,2,0,165.9962,1486682860850,-1,-1,165.563,1486682860420
8,11,2,0.3,1,2,1,168.463,1486682863316,-1,-1,168.0303,1486682862886
8,12,2,0.3,1,0,3,170.9298,1486682865783,-1,-1,170.4963,1486682865352
8,13,2,0.3,1,1,1,173.3966,1486682868250,174.1304,1486682868985,172.9634,1486682867820
8,14,2,0.3,1,0,5,175.8635,1486682870717,-1,-1,175.4301,1486682870287
8,15,2,0.3,1,2,3,178.3302,1486682873184,-1,-1,177.8977,1486682872753
8,16,2,0.3,1,2,1,180.797,1486682875650,-1,-1,180.3636,1486682875220
8,17,2,0.3,1,2,1,183.2639,1486682878117,-1,-1,182.8306,1486682877687
8,18,2,0.3,1,1,1,185.7307,1486682880584,186.2974,1486682881151,185.2974,1486682880153
8,19,2,0.3,1,0,5,188.1976,1486682883051,-1,-1,187.7642,1486682882621
8,20,2,0.3,1,0,4,190.6648,1486682885518,-1,-1,190.2308,1486682885088
8,21,2,0.3,1,0,3,193.131,1486682887984,-1,-1,192.6978,1486682887554
8,22,2,0.3,1,0,6,195.5979,1486682890451,-1,-1,195.1644,1486682890020
8,1,2,0.3,1,3,6,204.9324,1486682899786,-1,-1,204.5317,1486682899386
8,2,2,0.3,1,3,3,207.1656,1486682902019,-1,-1,206.7651,1486682901622
8,3,2,0.3,1,0,7,209.3987,1486682904252,-1,-1,208.9987,1486682903855
8,4,2,0.3,1,1,3,211.6327,1486682906486,212.099,1486682906953,211.2321,1486682906088
8,5,2,0.3,1,2,3,213.8656,1486682908719,-1,-1,213.4656,1486682908322
8,6,2,0.3,1,1,3,216.0991,1486682910952,216.666,1486682911520,215.699,1486682910555
8,7,2,0.3,1,0,1,218.3325,1486682913186,-1,-1,217.9326,1486682912790
8,8,2,0.3,1,0,7,220.5659,1486682915419,-1,-1,220.166,1486682915022
8,9,2,0.3,1,1,1,222.7994,1486682917653,223.7664,1486682918620,222.3994,1486682917256
8,10,2,0.3,1,2,1,225.033,1486682919886,-1,-1,224.6335,1486682919490
8,11,2,0.3,1,1,1,227.2667,1486682922120,227.8663,1486682922720,226.8666,1486682921723
8,12,2,0.3,1,0,4,229.4998,1486682924353,-1,-1,229.0997,1486682923957
8,13,2,0.3,1,1,1,231.7334,1486682926587,232.2666,1486682927120,231.3334,1486682926189
8,14,2,0.3,1,2,1,233.9667,1486682928820,-1,-1,233.5667,1486682928422
8,15,2,0.3,1,2,4,236.2002,1486682931053,-1,-1,235.8002,1486682930656
8,16,2,0.3,1,0,5,238.4337,1486682933287,-1,-1,238.0336,1486682932889
8,17,2,0.3,1,1,4,240.6671,1486682935520,241.7004,1486682936554,240.2671,1486682935123
8,18,2,0.3,1,0,7,242.9005,1486682937754,-1,-1,242.5005,1486682937358
8,19,2,0.3,1,2,5,245.134,1486682939987,-1,-1,244.7343,1486682939590
8,20,2,0.3,1,0,2,247.368,1486682942221,-1,-1,246.9674,1486682941823
8,21,2,0.3,1,2,2,249.601,1486682944454,-1,-1,249.2009,1486682944057
8,22,2,0.3,1,0,6,251.8344,1486682946688,-1,-1,251.4344,1486682946290
8,1,2,0.3,1,3,0,260.5017,1486682955355,-1,-1,260.1683,1486682955022
8,2,2,0.3,1,3,3,262.5017,1486682957355,-1,-1,262.1683,1486682957024
8,3,2,0.3,1,0,4,264.5017,1486682959355,-1,-1,264.1685,1486682959025
8,4,2,0.3,1,0,0,266.5018,1486682961355,-1,-1,266.1686,1486682961024
8,5,2,0.3,1,0,5,268.502,1486682963355,-1,-1,268.1686,1486682963024
8,6,2,0.3,1,2,5,270.5022,1486682965356,-1,-1,270.1686,1486682965026
8,7,2,0.3,1,1,5,272.5022,1486682967356,273.0356,1486682967889,272.1692,1486682967025
8,8,2,0.3,1,2,0,274.5022,1486682969356,-1,-1,274.1703,1486682969026
8,9,2,0.3,1,2,0,276.5024,1486682971356,-1,-1,276.1691,1486682971026
8,10,2,0.3,1,0,3,278.5026,1486682973356,-1,-1,278.1692,1486682973026
8,11,2,0.3,1,2,3,280.5027,1486682975356,-1,-1,280.1693,1486682975027
8,12,2,0.3,1,1,3,282.5028,1486682977356,283.0696,1486682977923,282.1694,1486682977025
8,13,2,0.3,1,1,3,284.5029,1486682979356,285.1031,1486682979957,284.1696,1486682979027
8,14,2,0.3,1,0,0,286.5031,1486682981356,-1,-1,286.1698,1486682981028
8,15,2,0.3,1,0,2,288.5032,1486682983356,-1,-1,288.1699,1486682983027
8,16,2,0.3,1,0,6,290.5032,1486682985356,-1,-1,290.1699,1486682985028
8,17,2,0.3,1,1,2,292.5033,1486682987357,293.137,1486682987990,292.17,1486682987026
8,18,2,0.3,1,1,6,294.5034,1486682989357,295.0371,1486682989891,294.17,1486682989026
8,19,2,0.3,1,2,6,296.5038,1486682991357,-1,-1,296.1702,1486682991026
8,20,2,0.3,1,1,6,298.5039,1486682993357,299.1371,1486682993991,298.1703,1486682993027
8,21,2,0.3,1,2,2,300.5039,1486682995357,-1,-1,300.1704,1486682995026
8,22,2,0.3,1,0,4,302.5038,1486682997357,-1,-1,302.1705,1486682997028
8,1,2,0.3,1,3,2,313.3379,1486683008191,-1,-1,313.0046,1486683007859
8,2,2,0.3,1,3,7,315.1714,1486683010025,-1,-1,314.8379,1486683009694
8,3,2,0.3,1,1,2,317.0046,1486683011858,317.6716,1486683012525,316.6714,1486683011528
8,4,2,0.3,1,2,2,318.8381,1486683013692,-1,-1,318.5048,1486683013361
8,5,2,0.3,1,0,4,320.6716,1486683015525,-1,-1,320.3383,1486683015196
8,6,2,0.3,1,2,4,322.5051,1486683017358,-1,-1,322.1716,1486683017028
8,7,2,0.3,1,2,2,324.3385,1486683019192,-1,-1,324.0051,1486683018862
8,8,2,0.3,1,1,4,326.1719,1486683021025,326.7722,1486683021627,325.8385,1486683020695
8,9,2,0.3,1,2,4,328.0052,1486683022859,-1,-1,327.672,1486683022529
8,10,2,0.3,1,0,3,329.8387,1486683024692,-1,-1,329.5062,1486683024365
8,11,2,0.3,1,1,4,331.6722,1486683026526,332.3057,1486683027159,331.339,1486683026195
8,12,2,0.3,1,1,3,333.5056,1486683028359,334.0725,1486683028926,333.1722,1486683028028
8,13,2,0.3,1,0,2,335.3391,1486683030192,-1,-1,335.0057,1486683029862
8,14,2,0.3,1,0,1,337.1725,1486683032026,-1,-1,336.8398,1486683031696
8,15,2,0.3,1,0,6,339.006,1486683033859,-1,-1,338.6727,1486683033530
8,16,2,0.3,1,0,5,340.8394,1486683035693,-1,-1,340.5061,1486683035362
8,17,2,0.3,1,1,6,342.673,1486683037526,343.2729,1486683038127,342.3394,1486683037195
8,18,2,0.3,1,0,3,344.5062,1486683039360,-1,-1,344.1731,1486683039029
8,19,2,0.3,1,1,6,346.3397,1486683041193,346.9406,1486683041794,346.0063,1486683040863
8,20,2,0.3,1,2,6,348.1731,1486683043026,-1,-1,347.8398,1486683042696
8,21,2,0.3,1,2,3,350.0066,1486683044860,-1,-1,349.6733,1486683044531
8,22,2,0.3,1,0,7,351.84,1486683046693,-1,-1,351.5067,1486683046363
8,1,2,0.3,1,3,0,361.8739,1486683056727,-1,-1,361.5739,1486683056428
8,2,2,0.3,1,3,6,363.5073,1486683058361,-1,-1,363.2073,1486683058064
8,3,2,0.3,1,2,6,365.141,1486683059994,-1,-1,364.8408,1486683059698
8,4,2,0.3,1,2,1,366.7742,1486683061628,-1,-1,366.4741,1486683061330
8,5,2,0.3,1,2,1,368.4076,1486683063261,-1,-1,368.1075,1486683062963
8,6,2,0.3,1,2,6,370.0416,1486683064895,-1,-1,369.7417,1486683064597
8,7,2,0.3,1,0,4,371.6744,1486683066528,-1,-1,371.3745,1486683066230
8,8,2,0.3,1,0,7,373.308,1486683068161,-1,-1,373.0078,1486683067864
8,9,2,0.3,1,0,3,374.9413,1486683069795,-1,-1,374.6414,1486683069499
8,10,2,0.3,1,0,5,376.5751,1486683071428,-1,-1,376.2748,1486683071131
8,11,2,0.3,1,2,5,378.2081,1486683073061,-1,-1,377.9081,1486683072764
8,12,2,0.3,1,1,5,379.8417,1486683074695,380.3752,1486683075229,379.5416,1486683074398
8,13,2,0.3,1,0,1,381.475,1486683076328,-1,-1,381.175,1486683076031
8,14,2,0.3,1,1,5,383.1084,1486683077962,383.5753,1486683078429,382.8085,1486683077667
8,15,2,0.3,1,1,1,384.7418,1486683079595,385.3092,1486683080163,384.4419,1486683079298
8,16,2,0.3,1,0,3,386.3754,1486683081229,-1,-1,386.0753,1486683080931
8,17,2,0.3,1,1,1,388.0093,1486683082863,388.5422,1486683083396,387.7087,1486683082565
8,18,2,0.3,1,1,3,389.6421,1486683084495,390.2091,1486683085063,389.3422,1486683084199
8,19,2,0.3,1,0,2,391.2756,1486683086129,-1,-1,390.9757,1486683085832
8,20,2,0.3,1,1,3,392.9091,1486683087762,393.4092,1486683088263,392.6089,1486683087465
8,21,2,0.3,1,0,5,394.5425,1486683089396,-1,-1,394.2426,1486683089098
8,22,2,0.3,1,2,2,396.1759,1486683091029,-1,-1,395.8759,1486683090732
8,1,2,0.3,1,3,1,406.2764,1486683101130,-1,-1,406.0098,1486683100864
8,2,2,0.3,1,3,0,407.7432,1486683102596,-1,-1,407.4764,1486683102334
8,3,2,0.3,1,2,0,409.21,1486683104063,-1,-1,408.9432,1486683103800
8,4,2,0.3,1,2,5,410.6766,1486683105530,-1,-1,410.41,1486683105266
8,5,2,0.3,1,2,5,412.1436,1486683106997,-1,-1,411.8767,1486683106732
8,6,2,0.3,1,1,5,413.6101,1486683108463,414.1107,1486683108964,413.3441,1486683108200
8,7,2,0.3,1,2,0,415.0769,1486683109930,-1,-1,414.8102,1486683109666
8,8,2,0.3,1,0,3,416.5437,1486683111397,-1,-1,416.277,1486683111134
8,9,2,0.3,1,1,0,418.0104,1486683112864,418.5106,1486683113364,417.7438,1486683112600
8,10,2,0.3,1,1,3,419.4772,1486683114330,420.0107,1486683114864,419.2104,1486683114066
8,11,2,0.3,1,2,3,420.944,1486683115797,-1,-1,420.6772,1486683115533
8,12,2,0.3,1,0,5,422.4106,1486683117264,-1,-1,422.1445,1486683117001
8,13,2,0.3,1,2,5,423.8774,1486683118731,-1,-1,423.6107,1486683118468
8,14,2,0.3,1,0,0,425.3447,1486683120198,-1,-1,425.0775,1486683119933
8,15,2,0.3,1,1,5,426.8109,1486683121665,427.3457,1486683122199,426.5443,1486683121400
8,16,2,0.3,1,1,0,428.2777,1486683123131,428.811,1486683123665,428.011,1486683122867
8,17,2,0.3,1,0,7,429.7445,1486683124598,-1,-1,429.4777,1486683124334
8,18,2,0.3,1,0,2,431.2112,1486683126064,-1,-1,430.9451,1486683125801
8,19,2,0.3,1,0,6,432.678,1486683127531,-1,-1,432.4111,1486683127269
8,20,2,0.3,1,1,2,434.1447,1486683128998,434.9446,1486683129798,433.8779,1486683128734
8,21,2,0.3,1,0,4,435.6127,1486683130466,-1,-1,435.3447,1486683130201
8,22,2,0.3,1,0,1,437.0781,1486683131931,-1,-1,436.8114,1486683131667
8,1,2,0.3,1,3,3,443.6118,1486683138465,-1,-1,443.3784,1486683138233
8,2,2,0.3,1,3,1,444.9456,1486683139799,-1,-1,444.7119,1486683139570
8,3,2,0.3,1,2,1,446.2787,1486683141132,-1,-1,446.0454,1486683140902
8,4,2,0.3,1,2,3,447.6124,1486683142466,-1,-1,447.3793,1486683142235
8,5,2,0.3,1,0,6,448.9454,1486683143799,-1,-1,448.7122,1486683143568
8,6,2,0.3,1,0,7,450.2788,1486683145132,-1,-1,450.0455,1486683144902
8,7,2,0.3,1,1,6,451.6123,1486683146466,452.2126,1486683147066,451.3792,1486683146236
8,8,2,0.3,1,1,7,452.9467,1486683147800,453.4124,1486683148266,452.7128,1486683147569
8,9,2,0.3,1,0,2,454.2792,1486683149132,-1,-1,454.0458,1486683148902
8,10,2,0.3,1,2,6,455.6127,1486683150466,-1,-1,455.3792,1486683150235
8,11,2,0.3,1,1,2,456.9459,1486683151799,457.6462,1486683152500,456.7126,1486683151568
8,12,2,0.3,1,2,2,458.2799,1486683153133,-1,-1,458.046,1486683152904
8,13,2,0.3,1,0,1,459.6128,1486683154466,-1,-1,459.3796,1486683154236
8,14,2,0.3,1,1,2,460.9462,1486683155799,461.4462,1486683156300,460.7131,1486683155568
8,15,2,0.3,1,0,3,462.2795,1486683157133,-1,-1,462.0461,1486683156902
8,16,2,0.3,1,0,6,463.6132,1486683158466,-1,-1,463.3798,1486683158236
8,17,2,0.3,1,1,3,464.9464,1486683159800,465.5132,1486683160367,464.7131,1486683159569
8,18,2,0.3,1,2,2,466.2798,1486683161133,-1,-1,466.0465,1486683160904
8,19,2,0.3,1,0,0,467.6132,1486683162466,-1,-1,467.3799,1486683162236
8,20,2,0.3,1,1,2,468.9467,1486683163800,469.4799,1486683164333,468.7134,1486683163569
8,21,2,0.3,1,2,2,470.28,1486683165133,-1,-1,470.0474,1486683164903
8,22,2,0.3,1,0,6,471.6135,1486683166467,-1,-1,471.3801,1486683166236
8,1,2,0.3,1,3,5,481.214,1486683176067,-1,-1,480.9806,1486683175835
8,2,2,0.3,1,3,6,482.4474,1486683177301,-1,-1,482.2146,1486683177070
8,3,2,0.3,1,0,1,483.6808,1486683178534,-1,-1,483.4474,1486683178304
8,4,2,0.3,1,1,6,484.9142,1486683179767,485.4143,1486683180268,484.6808,1486683179537
8,5,2,0.3,1,1,1,486.1476,1486683181001,486.7142,1486683181568,485.9146,1486683180770
8,6,2,0.3,1,0,0,487.381,1486683182234,-1,-1,487.1476,1486683182004
8,7,2,0.3,1,2,6,488.6145,1486683183468,-1,-1,488.381,1486683183237
8,8,2,0.3,1,2,6,489.848,1486683184700,-1,-1,489.6144,1486683184469
8,9,2,0.3,1,1,6,491.0813,1486683185928,491.6146,1486683186459,490.8479,1486683185698
8,10,2,0.3,1,0,1,492.3153,1486683187157,-1,-1,492.0813,1486683186927
8,11,2,0.3,1,2,1,493.548,1486683188385,-1,-1,493.3147,1486683188156
8,12,2,0.3,1,0,5,494.7813,1486683189613,-1,-1,494.5481,1486683189383
8,13,2,0.3,1,0,2,496.0148,1486683190842,-1,-1,495.7815,1486683190613
8,14,2,0.3,1,2,2,497.248,1486683192076,-1,-1,497.0149,1486683191845
8,15,2,0.3,1,1,2,498.4816,1486683193309,499.0149,1486683193843,498.2483,1486683193078
8,16,2,0.3,1,1,2,499.7151,1486683194543,500.2152,1486683195043,499.4817,1486683194313
8,17,2,0.3,1,1,2,500.9484,1486683195776,501.4819,1486683196310,500.7158,1486683195546
8,18,2,0.3,1,2,6,502.1818,1486683197009,-1,-1,501.9485,1486683196779
8,19,2,0.3,1,0,7,503.4153,1486683198243,-1,-1,503.1824,1486683198012
