%Recollect Version 2.3. Scene/Level: , Game Number: 007
%HeartsAndFlowers:Stage,TrailNum,Target,TargetPos,ChoicePos,TimeOfPresentation,TimeOfResponse
1,0,1,0,0,1486146319500,1486146320733
1,1,1,1,1,1486146321701,1486146322433
1,2,1,1,1,1486146323434,1486146324067
1,3,1,0,0,1486146325067,1486146325735
2,0,1,0,0,1486146327901,1486146328667
2,1,1,1,1,1486146329668,1486146330401
2,2,1,0,0,1486146331367,1486146331935
2,3,1,1,1,1486146332934,1486146333701
2,4,1,1,1,1486146334702,1486146335434
2,5,1,1,1,1486146336435,1486146337034
2,6,1,0,0,1486146338035,1486146338668
2,7,1,0,0,1486146339668,1486146340268
2,8,1,0,0,1486146341235,1486146341701
2,9,1,1,1,1486146342669,1486146343568
2,10,1,1,1,1486146344569,1486146345269
2,11,1,0,0,1486146346269,1486146347268
3,0,0,0,1,1486146356502,1486146357302
3,1,0,1,0,1486146358302,1486146359002
3,2,0,0,1,1486146360003,1486146360636
3,3,0,1,0,1486146361637,1486146362202
4,0,0,1,0,1486146374220,1486146374920
4,1,0,0,1,1486146375887,1486146376887
4,2,0,0,1,1486146377887,1486146378587
4,3,0,1,0,1486146379587,1486146380154
4,4,0,0,1,1486146381154,1486146381720
4,5,0,1,0,1486146382721,1486146383254
4,6,0,0,1,1486146384254,1486146384820
4,7,0,0,1,1486146385821,1486146386687
4,8,0,0,1,1486146387688,1486146388321
4,9,0,1,0,1486146389321,1486146389887
4,10,0,1,0,1486146390888,1486146391421
4,11,0,1,0,1486146392421,1486146392887
5,0,1,0,0,1486146395921,1486146396854
5,1,1,1,1,1486146397855,1486146398588
5,2,0,0,1,1486146399588,1486146400288
5,3,0,1,0,1486146401289,1486146401955
6,0,1,1,1,1486146403789,1486146405122
6,1,0,0,1,1486146406122,1486146407055
6,2,1,1,1,1486146408055,1486146409089
6,3,0,1,0,1486146410089,1486146411022
6,4,1,0,0,1486146412023,1486146412855
6,5,1,0,0,1486146413856,1486146414622
6,6,1,0,0,1486146415622,1486146416289
6,7,0,1,0,1486146417256,1486146418189
6,8,1,1,1,1486146419190,1486146420155
6,9,0,1,0,1486146421157,1486146421989
6,10,0,0,1,1486146422989,1486146424022
6,11,0,0,1,1486146425023,1486146425756
6,12,1,0,0,1486146426756,1486146427656
6,13,1,1,1,1486146428656,1486146429456
6,14,1,0,0,1486146430457,1486146431090
6,15,0,1,0,1486146432090,1486146432890
6,16,1,0,0,1486146433890,1486146434756
6,17,0,1,0,1486146435757,1486146436823
6,18,0,0,1,1486146437791,1486146438657
6,19,1,1,1,1486146439657,1486146440591
6,20,0,0,1,1486146441590,1486146442757
6,21,0,0,1,1486146443757,1486146444590
6,22,0,1,0,1486146445591,1486146446357
6,23,1,1,1,1486146447357,1486146448224
6,24,1,1,1,1486146449224,1486146449991
6,25,0,0,1,1486146450991,1486146451891
6,26,1,0,0,1486146452858,1486146453625
6,27,1,1,1,1486146454625,1486146455324
6,28,0,0,1,1486146456291,1486146456991
6,29,0,1,0,1486146457991,1486146458558
6,30,1,1,1,1486146459558,1486146460391
6,31,0,1,0,1486146461392,1486146462191
6,32,0,0,1,1486146463192,1486146464491
6,33,0,0,1,1486146465492,1486146466225
6,34,1,0,0,1486146467193,1486146467959
6,35,0,1,0,1486146468959,1486146469858
6,36,1,1,1,1486146470859,1486146471825
6,37,1,1,1,1486146472826,1486146473625
6,38,1,0,0,1486146474626,1486146475726
6,39,0,1,0,1486146476692,1486146477559
6,40,0,0,1,1486146478559,1486146479926
6,41,1,1,1,1486146480927,1486146481826
6,42,0,1,0,1486146482827,1486146483694
6,43,1,0,0,1486146484693,1486146485559
6,44,0,0,1,1486146486560,1486146487426
6,45,0,1,0,1486146488426,1486146489126
6,46,1,0,0,1486146490093,1486146490893
6,47,1,0,0,1486146491860,1486146492693
