%Recollect Version 2.3. Scene/Level: , Game Number: 007
%HeartsAndFlowers:Stage,TrailNum,Target,TargetPos,ChoicePos,TimeOfPresentation,TimeOfResponse
1,0,1,0,0,1486146349456,1486146350323
1,1,1,1,1,1486146351323,1486146352023
1,2,1,0,0,1486146353023,1486146353623
1,3,1,1,1,1486146354624,1486146355257
2,0,1,0,0,1486146359290,1486146360024
2,1,1,1,1,1486146361024,1486146361590
2,2,1,0,0,1486146362590,1486146363157
2,3,1,0,0,1486146364157,1486146364757
2,4,1,0,0,1486146365724,1486146366291
2,5,1,1,1,1486146367292,1486146367857
2,6,1,1,1,1486146368858,1486146369457
2,7,1,1,1,1486146370458,1486146370991
2,8,1,0,0,1486146371991,1486146372591
2,9,1,1,1,1486146373591,1486146374024
2,10,1,0,0,1486146375024,1486146375524
2,11,1,1,1,1486146376525,1486146376992
3,0,0,1,0,1486146385892,1486146386826
3,1,0,1,0,1486146387826,1486146388692
3,2,0,0,1,1486146389692,1486146390425
3,3,0,0,1,1486146391425,1486146392159
4,0,0,1,0,1486146395276,1486146396175
4,1,0,0,1,1486146397176,1486146397809
4,2,0,1,0,1486146398809,1486146399542
4,3,0,0,1,1486146400543,1486146401142
4,4,0,1,0,1486146402143,1486146402676
4,5,0,1,0,1486146403676,1486146404209
4,6,0,0,1,1486146405177,1486146405776
4,7,0,0,1,1486146406743,1486146407410
4,8,0,1,0,1486146408410,1486146408909
4,9,0,0,1,1486146409910,1486146410410
4,10,0,0,1,1486146411410,1486146412010
4,11,0,1,0,1486146413010,1486146413510
5,0,1,0,0,1486146417711,1486146418377
5,1,1,1,1,1486146419377,1486146420043
5,2,0,1,0,1486146421044,1486146421878
5,3,0,0,1,1486146422878,1486146423444
6,0,1,0,0,1486146428611,1486146429511
6,1,0,0,1,1486146430511,1486146431211
6,2,0,0,1,1486146432212,1486146432911
6,3,1,1,1,1486146433911,1486146434611
6,4,1,1,1,1486146435611,1486146436111
6,5,0,1,0,1486146437111,1486146437711
6,6,1,0,0,1486146438711,1486146439444
6,7,0,1,0,1486146440445,1486146441211
6,8,0,0,1,1486146442212,1486146442779
6,9,1,1,0,1486146443779,1486146444245
6,10,1,0,0,1486146445245,1486146445945
6,11,1,1,1,1486146446946,1486146447612
6,12,0,0,1,1486146448613,1486146449345
6,13,0,0,1,1486146450345,1486146450912
6,14,0,1,0,1486146451912,1486146452646
6,15,1,0,0,1486146453647,1486146454279
6,16,0,0,1,1486146455246,1486146455912
6,17,1,0,0,1486146456912,1486146457646
6,18,1,1,1,1486146458646,1486146459346
6,19,0,0,1,1486146460346,1486146461046
6,20,1,0,0,1486146462047,1486146462746
6,21,0,1,0,1486146463746,1486146464379
6,22,0,1,0,1486146465380,1486146465979
6,23,0,1,0,1486146466980,1486146467513
6,24,1,0,0,1486146468513,1486146469313
6,25,0,1,0,1486146470313,1486146470913
6,26,1,1,1,1486146471880,1486146472480
6,27,1,0,0,1486146473447,1486146474113
6,28,0,1,0,1486146475114,1486146475946
6,29,1,1,1,1486146476947,1486146477581
6,30,0,0,1,1486146478581,1486146479313
6,31,1,0,0,1486146480314,1486146481014
6,32,1,0,0,1486146482014,1486146482680
6,33,1,1,1,1486146483681,1486146484280
6,34,0,1,0,1486146485281,1486146485881
6,35,0,0,1,1486146486881,1486146487547
6,36,0,0,1,1486146488548,1486146489147
6,37,1,0,0,1486146490148,1486146490881
6,38,0,1,0,1486146491848,1486146492547
6,39,0,0,1,1486146493516,1486146494214
6,40,1,0,0,1486146495215,1486146495914
6,41,1,1,1,1486146496915,1486146497648
6,42,1,1,1,1486146498648,1486146499348
6,43,0,1,0,1486146500348,1486146500981
6,44,0,0,1,1486146501982,1486146502581
6,45,1,1,1,1486146503582,1486146504348
6,46,1,1,1,1486146505349,1486146505982
6,47,0,1,0,1486146506982,1486146507682
