%Recollect Version 2.3. Scene/Level: , Game Number: 004
%D2:Action,Row,Character,TimeOfResponse
1,0,2,1486150057426
1,0,3,1486150057993
1,0,5,1486150059593
1,0,8,1486150061193
1,0,11,1486150062661
1,0,12,1486150063459
1,0,15,1486150064960
1,0,18,1486150066194
1,0,21,1486150068793
1,0,24,1486150071228
1,0,28,1486150072628
1,0,29,1486150073361
1,0,30,1486150074195
9,0,-1,1486150074428
1,1,0,1486150076627
1,1,2,1486150077295
1,1,5,1486150078827
1,1,6,1486150079294
1,1,7,1486150079827
1,1,10,1486150081228
1,1,11,1486150081828
1,1,14,1486150083094
1,1,16,1486150084194
1,1,17,1486150085228
1,1,20,1486150086228
1,1,23,1486150088228
1,1,26,1486150089228
1,1,30,1486150090362
1,1,31,1486150091295
1,1,32,1486150093062
1,1,36,1486150094662
9,1,-1,1486150095430
1,2,1,1486150097062
1,2,2,1486150097661
1,2,3,1486150098328
1,2,5,1486150103062
1,2,6,1486150104263
1,2,7,1486150104828
1,2,9,1486150106096
1,2,11,1486150106829
1,2,12,1486150107695
1,2,13,1486150108196
1,2,15,1486150109562
1,2,17,1486150110929
1,2,20,1486150112163
1,2,22,1486150113196
1,2,24,1486150114296
1,2,25,1486150114997
9,2,-1,1486150116430
1,3,0,1486150118464
1,3,4,1486150120131
1,3,7,1486150121496
1,3,9,1486150123096
1,3,10,1486150124596
1,3,12,1486150126531
1,3,19,1486150130797
1,3,20,1486150131297
1,3,24,1486150133630
1,3,26,1486150134797
1,3,29,1486150135964
2,3,29,1486150136230
1,3,28,1486150136797
9,3,-1,1486150137431
1,4,1,1486150139897
1,4,3,1486150141365
1,4,4,1486150141698
1,4,5,1486150142164
1,4,7,1486150143164
1,4,9,1486150144631
1,4,17,1486150147832
1,4,18,1486150149465
1,4,20,1486150150065
1,4,21,1486150150998
1,4,22,1486150151265
1,4,24,1486150153732
1,4,25,1486150154065
1,4,27,1486150155466
1,4,30,1486150156698
9,4,-1,1486150158434
-1,4,31,1486150158465
1,5,1,1486150160032
1,5,2,1486150160633
1,5,3,1486150161865
1,5,5,1486150163433
1,5,9,1486150166132
1,5,12,1486150167466
1,5,13,1486150169066
1,5,15,1486150169967
1,5,16,1486150170866
1,5,22,1486150174100
1,5,23,1486150175166
1,5,25,1486150176333
1,5,26,1486150176699
1,5,30,1486150179000
1,5,31,1486150179300
9,5,-1,1486150179434
1,6,0,1486150180900
1,6,3,1486150182200
1,6,6,1486150184033
1,6,8,1486150184801
1,6,12,1486150186400
1,6,13,1486150186934
1,6,14,1486150187433
1,6,18,1486150189168
1,6,23,1486150191769
1,6,25,1486150192601
1,6,29,1486150194602
1,6,31,1486150195667
1,6,33,1486150196734
1,6,34,1486150197834
1,6,35,1486150198967
1,6,36,1486150199402
9,6,-1,1486150200435
-1,6,38,1486150200668
1,7,1,1486150202236
1,7,5,1486150203435
1,7,6,1486150204434
1,7,7,1486150204901
1,7,11,1486150206571
1,7,14,1486150208535
1,7,17,1486150209902
1,7,19,1486150211635
1,7,26,1486150213969
1,7,27,1486150214568
1,7,33,1486150216469
1,7,34,1486150217302
1,7,35,1486150219768
1,7,38,1486150221002
9,7,-1,1486150221436
1,8,1,1486150223302
1,8,2,1486150224169
1,8,9,1486150226903
1,8,11,1486150228037
1,8,14,1486150229036
1,8,16,1486150230303
1,8,17,1486150231270
1,8,18,1486150231669
1,8,21,1486150232870
1,8,23,1486150233869
1,8,24,1486150235003
1,8,25,1486150235336
1,8,26,1486150236136
1,8,27,1486150236870
1,8,28,1486150237703
1,8,31,1486150239471
1,8,33,1486150240871
9,8,-1,1486150242437
1,9,0,1486150244103
1,9,2,1486150244703
1,9,5,1486150246137
1,9,8,1486150247470
1,9,11,1486150249104
1,9,12,1486150250238
1,9,16,1486150252372
1,9,19,1486150253737
1,9,22,1486150255538
1,9,23,1486150256737
1,9,25,1486150257437
-1,9,24,1486150258738
1,9,27,1486150260938
1,9,28,1486150261738
1,9,30,1486150262839
9,9,-1,1486150263438
1,10,0,1486150264938
1,10,2,1486150265671
1,10,7,1486150268072
1,10,8,1486150269105
1,10,9,1486150269438
1,10,10,1486150270373
1,10,11,1486150271406
1,10,18,1486150275039
1,10,19,1486150275939
1,10,20,1486150276405
1,10,21,1486150277273
1,10,26,1486150279472
1,10,31,1486150282206
1,10,32,1486150282639
1,10,33,1486150283472
9,10,-1,1486150284448
1,11,1,1486150285906
1,11,2,1486150286939
1,11,3,1486150287540
1,11,5,1486150288606
1,11,7,1486150289373
2,11,7,1486150290506
1,11,6,1486150291273
1,11,9,1486150293006
1,11,11,1486150294707
1,11,16,1486150296540
1,11,18,1486150297608
1,11,19,1486150298373
1,11,22,1486150300073
1,11,23,1486150301107
1,11,28,1486150303074
1,11,29,1486150304107
