%Recollect Version 2.3. Scene/Level: , Game Number: 005
%CorsiBlocks:Stage,TrailNum,TargetSequence,ResponseSequence,ClearCount,TimeOfPresentation,TimeOfResponse
1,0,20,20,0,1486155367182,1486155374147
1,1,34,34,0,1486155375149,1486155382514
2,0,52,52,0,1486155390983,1486155397648
2,1,36,36,0,1486155398651,1486155405849
2,2,368,368,0,1486155406851,1486155415283
2,3,208,208,0,1486155416251,1486155424917
2,4,2306,2306,0,1486155425885,1486155436551
2,5,5047,5047,0,1486155437520,1486155448018
2,6,41075,41075,0,1486155448987,1486155461752
2,7,31620,31620,0,1486155462754,1486155475253
2,8,281376,281376,0,1486155476222,1486155490856
2,9,816508,816508,0,1486155491822,1486155507421
2,10,4806317,4806317,0,1486155508424,1486155527722
2,11,0851680,0851680,0,1486155528691,1486155548424
2,12,47081536,47081536,0,1486155549392,1486155569375
2,13,25408016,25408016,0,1486155570343,1486155593010
2,14,315706824,315708624,0,1486155594011,1486155616711
2,15,427601358,427601358,0,1486155617713,1486155644112
3,0,60,06,0,1486155651181,1486155657980
3,1,24,42,0,1486155658982,1486155665280
4,0,51,15,0,1486155668682,1486155675414
4,1,37,73,0,1486155676416,1486155682381
4,2,630,036,0,1486155683383,1486155691415
4,3,580,085,0,1486155692383,1486155700982
4,4,5683,3865,0,1486155701951,1486155712350
4,5,2841,1482,0,1486155713318,1486155723817
4,6,47812,21874,0,1486155724819,1486155737552
4,7,03415,51430,0,1486155738553,1486155754819
4,8,507613,316705,0,1486155755821,1486155770219
4,9,073280,082370,0,1486155771222,1486155785954
4,10,4083671,1763804,0,1486155786955,1486155810088
4,11,8027308,8037208,0,1486155811090,1486155831056
4,12,52480873,37808425,0,1486155832025,1486155854157
4,13,41807263,36217804,0,1486155855126,1486155874959
4,14,672183054,450387612,0,1486155875962,1486155895989
4,15,734127416,614712377,0,1486155896958,1486155935826
