%Recollect Version 2.3. Scene/Level: , Game Number: 008
%Note: All true/false values are represented as "1" and "0" respectively.
%Damage:1,Player X Position,Player Y Position,Hearts Left,Time (Relative),Time (Absolute)
%LameBackObject:Algorithm Condition,Trial Number,Current N Level,Lure Rate,Is Correct,Stimulus Type,Stimulus Color,Presentation Time (R),Presentation Time (A),Response Time (R),Response Time (A),Expire Time (R),Expire Time (A)
%Possible values for "Color":Red=0,Blue=1,Green=2,Yellow=3,Purple=4,LightBlue=5,Brown=6,White=7,
%Possible values for "Type":NonTarget=0,Target=1,Lure=2,lessThanN=3,
7,1,1,0.3,1,3,1,45.05573,1486427175186,-1,-1,44.55561,1486427174686
7,2,1,0.3,1,2,3,48.12257,1486427178252,-1,-1,47.55636,1486427177691
7,3,1,0.3,1,1,3,51.15607,1486427181286,51.85666,1486427181987,50.62303,1486427180755
7,4,1,0.3,1,0,1,54.15643,1486427184286,-1,-1,53.65621,1486427183789
7,5,1,0.3,1,0,0,57.22308,1486427187353,-1,-1,56.68966,1486427186822
7,6,1,0.3,1,2,1,60.22325,1486427190353,-1,-1,59.72323,1486427189856
7,7,1,0.3,1,0,3,63.25685,1486427193387,-1,-1,62.72339,1486427192857
7,8,1,0.3,1,0,2,66.29027,1486427196420,-1,-1,65.7569,1486427195890
7,9,1,0.3,1,1,2,69.29061,1486427199421,69.99048,1486427200121,68.7904,1486427198923
7,10,1,0.3,1,2,1,72.32393,1486427202454,-1,-1,71.8239,1486427201957
7,11,1,0.3,1,1,1,75.35744,1486427205487,75.92483,1486427206055,74.82408,1486427204957
7,12,1,0.3,1,0,2,78.39094,1486427208521,-1,-1,77.85759,1486427207990
7,13,1,0.3,1,0,3,81.39114,1486427211521,-1,-1,80.89108,1486427211024
7,14,1,0.3,1,2,2,84.39128,1486427214521,-1,-1,83.89125,1486427214025
7,15,1,0.3,1,2,3,87.42478,1486427217555,-1,-1,86.89233,1486427217025
7,16,1,0.3,1,1,3,90.45851,1486427220588,91.05841,1486427221189,89.92516,1486427220057
7,17,1,0.3,1,0,0,93.49182,1486427223622,-1,-1,92.99176,1486427223124
7,18,1,0.3,1,1,0,96.49198,1486427226622,97.19201,1486427227322,95.99194,1486427226125
7,19,1,0.3,1,1,0,99.52545,1486427229655,100.1255,1486427230256,98.9921,1486427229124
7,20,1,0.3,1,2,1,102.5601,1486427232690,-1,-1,102.0256,1486427232158
7,21,1,0.3,1,0,2,105.6258,1486427235756,-1,-1,105.0924,1486427235224
