%Recollect Version 2.3. Scene/Level: , Game Number: 006
%NearTransferObject:GameNumber,BlockNumber,TrialNumber,CurrentNLevel,IsCorrect,StimulusType,Image,PresentationTime,ResponseTime,ExpireTime
%Possible values for "Image":Bear=0,Sheep=1,Duck=2,Elephant=3,Turtle=4,Owl=5,Goat=6,Seal=7,Blank=8,
%Possible values for "Type":NonTarget=0,Target=1,Lure=2,lessThanN=3,
6,0,1,1,0,3,2,1486415741647,-1,1486415741114
6,0,2,1,1,0,5,1486415744714,-1,1486415744184
6,0,3,1,1,0,7,1486415747747,-1,1486415747249
6,0,4,1,1,0,1,1486415750814,-1,1486415750283
6,0,5,1,1,0,2,1486415753847,-1,1486415753316
6,0,6,1,1,1,2,1486415756914,1486415757815,1486415756384
6,0,7,1,1,0,3,1486415759949,-1,1486415759417
6,0,8,1,1,1,3,1486415763014,1486415763948,1486415762484
6,0,9,1,1,0,7,1486415766081,-1,1486415765550
6,0,10,1,1,0,5,1486415769115,-1,1486415768584
6,0,11,1,1,1,5,1486415772148,1486415773115,1486415771618
6,1,1,1,1,3,1,1486415778182,-1,1486415777649
6,1,2,1,1,0,2,1486415781215,-1,1486415780685
6,1,3,1,1,0,6,1486415784216,-1,1486415783718
6,1,4,1,1,0,0,1486415787282,-1,1486415786752
6,1,5,1,1,0,1,1486415790316,-1,1486415789786
6,1,6,1,1,1,1,1486415793349,1486415794250,1486415792819
6,1,7,1,0,1,1,1486415796383,-1,1486415795852
6,1,8,1,1,0,2,1486415799417,-1,1486415798919
6,1,9,1,1,1,2,1486415802450,1486415803217,1486415801952
6,1,10,1,1,0,1,1486415805484,-1,1486415804988
6,1,11,1,1,0,3,1486415808550,-1,1486415808019
6,1,12,1,1,1,3,1486415811584,1486415812584,1486415811054
6,1,13,1,1,1,3,1486415814618,1486415815551,1486415814120
6,1,14,1,1,0,7,1486415817684,-1,1486415817153
6,1,15,1,1,1,7,1486415820751,1486415821585,1486415820220
6,1,16,1,1,0,1,1486415823785,-1,1486415823254
6,1,17,1,1,0,0,1486415826818,-1,1486415826287
6,1,18,1,1,0,3,1486415829851,-1,1486415829321
6,1,19,1,1,0,4,1486415832885,-1,1486415832355
6,1,20,1,1,0,0,1486415835919,-1,1486415835388
6,1,21,1,1,0,3,1486415838985,-1,1486415838455
6,2,1,2,1,3,4,1486415848286,-1,1486415847754
6,2,2,2,1,3,7,1486415851286,-1,1486415850788
6,2,3,2,1,1,4,1486415854353,1486415855287,1486415853823
6,2,4,2,1,0,3,1486415857353,-1,1486415856856
6,2,5,2,1,0,1,1486415860420,-1,1486415859889
6,2,6,2,1,0,6,1486415863453,-1,1486415862923
6,2,7,2,1,0,7,1486415866488,-1,1486415865957
6,2,8,2,1,1,6,1486415869554,1486415870288,1486415869023
6,2,9,2,1,0,5,1486415872588,-1,1486415872056
6,2,10,2,1,0,3,1486415875655,-1,1486415875123
6,2,11,2,1,0,1,1486415878721,-1,1486415878190
6,2,12,2,1,1,3,1486415881788,1486415882555,1486415881257
6,3,1,2,1,3,7,1486415898122,-1,1486415897590
6,3,2,2,1,3,1,1486415901156,-1,1486415900625
6,3,3,2,1,1,7,1486415904189,1486415905057,1486415903658
6,3,4,2,0,1,1,1486415907223,-1,1486415906692
6,3,5,2,1,0,2,1486415910289,-1,1486415909759
6,3,6,2,1,1,1,1486415913323,1486415914657,1486415912792
6,3,7,2,1,1,2,1486415916390,1486415917623,1486415915859
6,3,8,2,1,0,5,1486415919456,-1,1486415918926
6,3,9,2,1,0,4,1486415922457,-1,1486415921959
6,3,10,2,1,0,6,1486415925524,-1,1486415924994
6,3,11,2,1,0,0,1486415928591,-1,1486415928060
6,3,12,2,1,1,6,1486415931657,1486415932591,1486415931127
6,3,13,2,0,0,4,1486415934725,1486415935924,1486415934193
6,3,14,2,1,0,7,1486415937791,-1,1486415937260
6,3,15,2,1,0,3,1486415940858,-1,1486415940327
6,3,16,2,1,0,5,1486415943891,-1,1486415943360
6,3,17,2,1,0,6,1486415946959,-1,1486415946427
6,3,18,2,1,0,4,1486415950025,-1,1486415949494
6,3,19,2,1,0,3,1486415953058,-1,1486415952528
6,3,20,2,1,0,0,1486415956092,-1,1486415955563
6,3,21,2,1,0,7,1486415959126,-1,1486415958629
6,3,22,2,1,1,0,1486415962159,1486415963026,1486415961661
6,4,1,3,1,3,1,1486415975294,-1,1486415974794
6,4,2,3,1,3,4,1486415978360,-1,1486415977829
6,4,3,3,1,3,3,1486415981393,-1,1486415980863
6,4,4,3,1,1,1,1486415984394,1486415985294,1486415983897
6,4,5,3,1,1,4,1486415987427,1486415988127,1486415986929
6,4,6,3,1,0,2,1486415990461,-1,1486415989963
6,4,7,3,1,0,0,1486415993527,-1,1486415992997
6,4,8,3,1,1,4,1486415996561,1486415997261,1486415996030
6,4,9,3,1,0,5,1486415999595,-1,1486415999064
6,4,10,3,1,0,5,1486416002628,-1,1486416002097
6,4,11,3,1,0,1,1486416005661,-1,1486416005131
6,4,12,3,1,0,1,1486416008695,-1,1486416008164
6,4,13,3,1,0,7,1486416011729,-1,1486416011231
6,5,1,3,1,3,2,1486416016762,-1,1486416016230
6,5,2,3,1,3,5,1486416019829,-1,1486416019299
6,5,3,3,1,3,6,1486416022862,-1,1486416022365
6,5,4,3,1,0,4,1486416025929,-1,1486416025399
6,5,5,3,1,0,7,1486416028963,-1,1486416028433
6,5,6,3,1,0,3,1486416032030,-1,1486416031499
6,5,7,3,1,1,4,1486416035063,1486416035864,1486416034532
6,5,8,3,0,1,7,1486416038097,-1,1486416037566
6,5,9,3,1,0,6,1486416041130,-1,1486416040599
6,5,10,3,1,0,0,1486416044164,-1,1486416043633
6,5,11,3,1,1,7,1486416047164,1486416047997,1486416046667
6,5,12,3,0,0,4,1486416050231,1486416051032,1486416049700
6,5,13,3,0,0,4,1486416053297,1486416054198,1486416052767
6,5,14,3,0,0,6,1486416056364,1486416057098,1486416055833
6,5,15,3,1,1,4,1486416059399,1486416060198,1486416058867
6,5,16,3,1,0,0,1486416062465,-1,1486416061934
6,5,17,3,1,1,6,1486416065498,1486416066732,1486416064968
6,5,18,3,1,1,4,1486416068565,1486416069532,1486416068034
6,5,19,3,1,0,1,1486416071598,-1,1486416071067
6,5,20,3,1,0,3,1486416074665,-1,1486416074135
6,5,21,3,0,0,7,1486416077699,1486416079399,1486416077168
6,5,22,3,1,0,0,1486416080732,-1,1486416080201
6,5,23,3,0,0,4,1486416083766,1486416085266,1486416083237
6,6,1,1,0,3,1,1486416091300,-1,1486416090767
6,6,2,1,1,0,4,1486416094333,-1,1486416093802
6,6,3,1,1,1,4,1486416097367,1486416098167,1486416096835
6,6,4,1,1,0,1,1486416100400,-1,1486416099902
6,6,5,1,1,0,7,1486416103434,-1,1486416102936
6,6,6,1,1,1,7,1486416106500,1486416107234,1486416105970
6,6,7,1,1,0,5,1486416109534,-1,1486416109004
6,6,8,1,1,1,5,1486416112568,1486416113368,1486416112036
6,6,9,1,1,1,5,1486416115634,1486416116435,1486416115103
6,6,10,1,1,0,4,1486416118635,-1,1486416118137
6,6,11,1,1,0,1,1486416121702,-1,1486416121171
6,6,12,1,1,1,1,1486416124735,1486416125635,1486416124204
6,6,13,1,1,0,3,1486416127802,-1,1486416127271
6,6,14,1,1,0,2,1486416130836,-1,1486416130339
6,6,15,1,1,0,7,1486416133902,-1,1486416133371
6,6,16,1,1,0,3,1486416136969,-1,1486416136439
6,6,17,1,1,0,2,1486416140036,-1,1486416139505
6,6,18,1,1,0,6,1486416143070,-1,1486416142538
6,6,19,1,1,0,4,1486416146103,-1,1486416145572
6,6,20,1,1,1,4,1486416149136,1486416149903,1486416148606
6,6,21,1,1,0,3,1486416152170,-1,1486416151639
6,7,1,2,1,3,5,1486416157770,-1,1486416157271
6,7,2,2,1,3,4,1486416160837,-1,1486416160306
6,7,3,2,0,2,4,1486416163904,1486416165104,1486416163373
6,7,4,2,1,0,0,1486416166970,-1,1486416166440
6,7,5,2,1,2,0,1486416170005,-1,1486416169473
6,7,6,2,1,1,0,1486416173071,1486416173771,1486416172540
6,7,7,2,1,0,2,1486416176104,-1,1486416175573
6,7,8,2,1,2,2,1486416179138,-1,1486416178607
6,7,9,2,1,0,5,1486416182205,-1,1486416181674
6,7,10,2,1,2,5,1486416185271,-1,1486416184740
6,7,11,2,1,0,1,1486416188305,-1,1486416187774
6,7,12,2,1,1,5,1486416191372,1486416192439,1486416190841
6,7,13,2,1,0,2,1486416194405,-1,1486416193876
6,7,14,2,0,1,5,1486416197439,-1,1486416196908
6,7,15,2,1,0,3,1486416200473,-1,1486416199975
6,7,16,2,1,2,3,1486416203539,-1,1486416203009
6,7,17,2,1,0,6,1486416206573,-1,1486416206042
6,7,18,2,0,1,3,1486416209606,-1,1486416209075
6,7,19,2,1,0,0,1486416212640,-1,1486416212110
6,7,20,2,0,1,3,1486416215706,-1,1486416215176
6,7,21,2,1,1,0,1486416218740,1486416219840,1486416218210
6,7,22,2,0,2,0,1486416221807,1486416222940,1486416221276
6,8,1,3,0,3,1,1486416240341,-1,1486416239841
6,8,2,3,0,3,4,1486416243408,-1,1486416242877
6,8,3,3,0,3,0,1486416246475,-1,1486416245944
6,8,4,3,0,1,1,1486416249542,-1,1486416249011
6,8,5,3,1,0,3,1486416252576,-1,1486416252044
6,8,6,3,0,0,3,1486416255642,1486416256509,1486416255112
6,8,7,3,0,2,0,1486416258676,1486416259309,1486416258146
6,8,8,3,1,0,6,1486416261743,-1,1486416261212
6,8,9,3,1,0,6,1486416264810,-1,1486416264279
6,8,10,3,1,1,0,1486416267876,1486416268710,1486416267345
6,8,11,3,0,1,6,1486416270943,-1,1486416270412
6,8,12,3,1,0,7,1486416273976,-1,1486416273480
6,8,13,3,0,2,6,1486416277043,1486416278577,1486416276512
6,8,14,3,0,2,0,1486416280077,1486416281177,1486416279546
6,8,15,3,1,0,0,1486416283144,-1,1486416282613
6,8,16,3,1,0,5,1486416286211,-1,1486416285682
6,8,17,3,1,0,5,1486416289277,-1,1486416288747
6,8,18,3,0,2,5,1486416292344,1486416293411,1486416291813
