%Recollect Version 2.3. Scene/Level: , Game Number: 007
%HeartsAndFlowers:Stage,TrailNum,Target,TargetPos,ChoicePos,TimeOfPresentation,TimeOfResponse
1,0,1,1,1,1486409493139,1486409494805
1,1,1,0,0,1486409495773,1486409496506
1,2,1,0,0,1486409497506,1486409498238
1,3,1,1,1,1486409499239,1486409500038
2,0,1,0,0,1486409511773,1486409512540
2,1,1,0,0,1486409513540,1486409514040
2,2,1,0,0,1486409515006,1486409516040
2,3,1,1,1,1486409517040,1486409517573
2,4,1,1,1,1486409518574,1486409519106
2,5,1,0,0,1486409520107,1486409520574
2,6,1,1,1,1486409521540,1486409522007
2,7,1,0,0,1486409523007,1486409523474
2,8,1,1,1,1486409524440,1486409524940
2,9,1,1,1,1486409525907,1486409526407
2,10,1,1,1,1486409527407,1486409527873
2,11,1,0,0,1486409528874,1486409529340
3,0,0,1,0,1486409535308,1486409535907
3,1,0,1,0,1486409536908,1486409537408
3,2,0,0,1,1486409538376,1486409538941
3,3,0,0,1,1486409539908,1486409540474
4,0,0,1,0,1486409543591,1486409544091
4,1,0,1,0,1486409545091,1486409545624
4,2,0,0,1,1486409546591,1486409547024
4,3,0,1,0,1486409548025,1486409548558
4,4,0,1,0,1486409549559,1486409550058
4,5,0,0,1,1486409551058,1486409551558
4,6,0,0,1,1486409552526,1486409552992
4,7,0,0,1,1486409553959,1486409554392
4,8,0,1,0,1486409555359,1486409555892
4,9,0,0,1,1486409556892,1486409557392
4,10,0,1,0,1486409558392,1486409558860
4,11,0,0,1,1486409559826,1486409560359
5,0,1,0,0,1486409568676,1486409569309
5,1,0,0,1,1486409570310,1486409571043
5,2,1,1,1,1486409572044,1486409572943
5,3,0,1,0,1486409573943,1486409574643
6,0,1,0,0,1486409582577,1486409583343
6,1,0,0,1,1486409584344,1486409585077
6,2,1,0,0,1486409586077,1486409587010
6,3,1,1,1,1486409588011,1486409588677
6,4,1,0,0,1486409589678,1486409590310
6,5,0,0,1,1486409591278,1486409592111
6,6,1,1,1,1486409593111,1486409593811
6,7,1,1,1,1486409594811,1486409595544
6,8,0,0,1,1486409596511,1486409597178
6,9,0,1,0,1486409598178,1486409598977
6,10,0,0,1,1486409599945,1486409600511
6,11,1,0,0,1486409601511,1486409602278
6,12,0,0,1,1486409603278,1486409604178
6,13,1,1,1,1486409605178,1486409605878
6,14,0,1,0,1486409606878,1486409607578
6,15,0,0,1,1486409608545,1486409609212
6,16,0,0,1,1486409610178,1486409610911
6,17,1,1,1,1486409611879,1486409612379
6,18,0,1,0,1486409613379,1486409614078
6,19,1,0,0,1486409615079,1486409615879
6,20,0,0,1,1486409616846,1486409617512
6,21,1,0,0,1486409618479,1486409619379
6,22,0,1,0,1486409620346,1486409621079
6,23,0,1,0,1486409622046,1486409622779
6,24,0,1,0,1486409623779,1486409624346
6,25,1,0,0,1486409625346,1486409626112
6,26,1,0,0,1486409627113,1486409627846
6,27,1,1,1,1486409628813,1486409629446
6,28,0,1,0,1486409630413,1486409631080
6,29,0,0,1,1486409632080,1486409632779
6,30,1,0,0,1486409633747,1486409634513
6,31,0,0,1,1486409635480,1486409636213
6,32,0,1,0,1486409637213,1486409637980
6,33,0,0,1,1486409638947,1486409639680
6,34,1,1,1,1486409640647,1486409641280
6,35,0,0,1,1486409642280,1486409643113
6,36,1,1,1,1486409644080,1486409644680
6,37,0,1,0,1486409645680,1486409646380
6,38,1,0,0,1486409647381,1486409648114
6,39,1,1,1,1486409649114,1486409649781
6,40,1,1,1,1486409650747,1486409651281
6,41,0,1,0,1486409652248,1486409652881
6,42,1,0,0,1486409653883,1486409654581
6,43,0,1,0,1486409655548,1486409656214
6,44,1,0,0,1486409657214,1486409657914
6,45,1,1,1,1486409658882,1486409659547
6,46,0,1,0,1486409660515,1486409661214
6,47,1,1,1,1486409662181,1486409662848
