%Recollect Version 2.3. Scene/Level: , Game Number: 007
%HeartsAndFlowers:Stage,TrailNum,Target,TargetPos,ChoicePos,TimeOfPresentation,TimeOfResponse
1,0,1,0,0,1486416331864,1486416332931
1,1,1,0,0,1486416333931,1486416335031
1,2,1,1,1,1486416336031,1486416337097
1,3,1,1,1,1486416338098,1486416338931
2,0,1,1,1,1486416345833,1486416346764
2,1,1,1,1,1486416347765,1486416348531
2,2,1,1,1,1486416349531,1486416350331
2,3,1,0,0,1486416351332,1486416352131
2,4,1,0,0,1486416353132,1486416353932
2,5,1,0,0,1486416354932,1486416355766
2,6,1,1,1,1486416356765,1486416357632
2,7,1,1,1,1486416358633,1486416359333
2,8,1,0,0,1486416360332,1486416361032
2,9,1,1,1,1486416362033,1486416362699
2,10,1,0,0,1486416363666,1486416364432
2,11,1,0,0,1486416365432,1486416366099
3,0,0,1,1,1486416372933,1486416373766
3,1,0,0,1,1486416374766,1486416375766
3,2,0,0,1,1486416376767,1486416377633
3,3,0,1,0,1486416378601,1486416379301
4,0,0,1,0,1486416381683,1486416382316
4,1,0,0,1,1486416383317,1486416384050
4,2,0,1,0,1486416385050,1486416385650
4,3,0,0,1,1486416386650,1486416387383
4,4,0,0,1,1486416388384,1486416389084
4,5,0,0,1,1486416390084,1486416390783
4,6,0,1,0,1486416391784,1486416392484
4,7,0,0,1,1486416393451,1486416394184
4,8,0,1,0,1486416395184,1486416395817
4,9,0,1,0,1486416396818,1486416397384
4,10,0,1,0,1486416398384,1486416399084
4,11,0,0,1,1486416400084,1486416400751
5,0,1,0,0,1486416406419,1486416407618
5,1,1,1,1,1486416408619,1486416409518
5,2,0,0,1,1486416410519,1486416411585
5,3,0,1,0,1486416412585,1486416413618
6,0,1,0,0,1486416416052,1486416417152
6,1,1,1,1,1486416418152,1486416418919
6,2,1,0,0,1486416419919,1486416420685
6,3,0,0,1,1486416421686,1486416422619
6,4,1,0,0,1486416423586,1486416424385
6,5,1,1,1,1486416425353,1486416426119
6,6,1,0,0,1486416427119,1486416427753
6,7,0,0,1,1486416428753,1486416429486
6,8,1,1,1,1486416430487,1486416431553
6,9,0,1,0,1486416432553,1486416433486
6,10,1,0,0,1486416434486,1486416435253
6,11,1,1,1,1486416436253,1486416437220
6,12,0,1,0,1486416438221,1486416439020
6,13,0,0,1,1486416440020,1486416440787
6,14,1,1,1,1486416441787,1486416442553
6,15,1,1,1,1486416443555,1486416444187
6,16,1,0,0,1486416445187,1486416445786
6,17,0,0,1,1486416446754,1486416447553
6,18,1,1,1,1486416448554,1486416449387
6,19,1,1,1,1486416450387,1486416451021
6,20,1,0,0,1486416452021,1486416452754
6,21,0,0,1,1486416453755,1486416454487
6,22,1,0,0,1486416455487,1486416456320
6,23,0,1,0,1486416457289,1486416458088
6,24,0,1,0,1486416459088,1486416459888
6,25,0,1,0,1486416460888,1486416461654
6,26,1,0,0,1486416462655,1486416463421
6,27,0,1,0,1486416464421,1486416465255
6,28,0,1,0,1486416466255,1486416467055
6,29,0,1,0,1486416468022,1486416468722
6,30,1,0,0,1486416469722,1486416470488
6,31,0,0,1,1486416471489,1486416472455
6,32,0,1,0,1486416473455,1486416474255
6,33,1,1,1,1486416475257,1486416476055
6,34,0,0,1,1486416477055,1486416477822
6,35,0,0,1,1486416478823,1486416479489
6,36,0,0,1,1486416480489,1486416481156
6,37,1,1,1,1486416482122,1486416482822
6,38,0,0,1,1486416483822,1486416484689
6,39,1,0,0,1486416485689,1486416486456
6,40,0,1,0,1486416487423,1486416488222
6,41,1,1,1,1486416489223,1486416489856
6,42,1,1,1,1486416490856,1486416491524
6,43,0,0,1,1486416492523,1486416493323
6,44,0,1,0,1486416494323,1486416495190
6,45,0,1,0,1486416496190,1486416496990
6,46,1,0,0,1486416497990,1486416498823
6,47,0,0,1,1486416499823,1486416500623
