%Recollect Version 2.3. Scene/Level: , Game Number: 003
%SymmetrySpan:Stage,TrailNum,SequenceLength,TargetSequence,ResponseSequence,SymmetrySequence,SymmetryResponses,ClearCount,TimeOfSequencePresentation,TimeOfSymmetryPresentation,TimeOfResponsePrompt,TimeOfResponseSubmission
3,0,2,C1,C1,,,0,1486144282265,,1486144284594,1486144288762
3,1,2,B3,B3,,,0,1486144290766,,1486144293095,1486144294961
3,2,3,961,961,,,0,1486144296932,,1486144300495,1486144302028
3,3,3,FB9,FB9,,,0,1486144303999,,1486144307562,1486144309495
10,0,0,,,0,0,0,1486144343133,1486144343131,1486144307562,1486144345297
10,1,0,,,1,1,0,1486144347298,1486144347298,1486144307562,1486144348931
10,2,0,,,1,1,0,1486144350932,1486144350932,1486144307562,1486144353364
10,3,0,,,0,0,0,1486144355332,1486144355332,1486144307562,1486144356932
10,4,0,,,1,1,0,1486144358933,1486144358932,1486144307562,1486144360931
10,5,0,,,1,1,0,1486144362932,1486144362932,1486144307562,1486144364965
10,6,0,,,1,1,0,1486144366966,1486144366965,1486144307562,1486144368432
10,7,0,,,0,0,0,1486144370400,1486144370400,1486144307562,1486144371632
10,8,0,,,1,1,0,1486144373599,1486144373599,1486144307562,1486144375066
10,9,0,,,0,0,0,1486144377066,1486144377066,1486144307562,1486144378266
10,10,0,,,0,0,0,1486144380267,1486144380267,1486144307562,1486144381733
10,11,0,,,0,0,0,1486144383733,1486144383733,1486144307562,1486144384899
10,12,0,,,1,1,0,1486144386868,1486144386867,1486144307562,1486144388434
10,13,0,,,1,1,0,1486144390434,1486144390434,1486144307562,1486144392167
10,14,0,,,1,1,0,1486144394167,1486144394167,1486144307562,1486144395867
10,15,0,,,0,0,0,1486144397867,1486144397867,1486144307562,1486144398967
13,0,2,6F,7F,01,01,0,1486144415506,1486144420939,1486144422339,1486144430235
13,1,2,E8,E8,01,01,0,1486144432240,1486144437106,1486144438309,1486144440869
13,2,2,49,49,10,10,0,1486144442842,1486144448374,1486144449442,1486144450770
14,0,4,53FC,53FC,0101,0101,0,1486144457975,1486144468376,1486144469942,1486144473087
14,1,2,4F,4F,10,10,0,1486144475093,1486144479826,1486144480894,1486144483855
14,2,3,34C,34D,001,000,0,1486144485826,1486144492760,1486144493828,1486144496724
14,3,5,3E7C5,3E7C5,11001,01001,0,1486144498694,1486144511528,1486144512830,1486144518324
14,4,5,D0EF5,D4EFA,00111,00111,0,1486144520328,1486144533130,1486144535529,1486144542225
14,5,2,42,42,01,01,0,1486144544196,1486144548663,1486144549798,1486144552092
14,6,4,892A,892A,1000,1100,0,1486144554064,1486144564431,1486144565364,1486144568093
14,7,4,C20E,C20E,0010,0010,0,1486144570065,1486144580298,1486144581232,1486144583794
14,8,3,F26,F26,001,001,0,1486144585766,1486144592666,1486144594133,1486144597095
14,9,5,C6E3D,C6E3D,11111,11111,0,1486144599100,1486144611700,1486144612667,1486144615996
14,10,3,E40,E40,011,011,0,1486144618001,1486144624734,1486144625702,1486144628330
14,11,2,CD,CD,00,00,0,1486144630301,1486144634735,1486144635770,1486144638197
