%Recollect Version 2.3. Scene/Level: , Game Number: 007
%HeartsAndFlowers:Stage,TrailNum,Target,TargetPos,ChoicePos,TimeOfPresentation,TimeOfResponse
1,0,1,1,1,1486152811671,1486152814205
1,1,1,1,1,1486152815172,1486152816904
1,2,1,0,0,1486152817906,1486152818904
1,3,1,0,0,1486152819872,1486152820671
2,0,1,1,1,1486152833923,1486152834655
2,1,1,1,1,1486152835657,1486152836289
2,2,1,0,0,1486152837256,1486152837956
2,3,1,1,1,1486152838923,1486152839522
2,4,1,1,1,1486152840490,1486152841055
2,5,1,0,0,1486152842057,1486152842722
2,6,1,0,0,1486152843690,1486152844422
2,7,1,1,1,1486152845390,1486152846056
2,8,1,0,0,1486152847023,1486152847690
2,9,1,0,0,1486152848690,1486152849423
2,10,1,1,1,1486152850390,1486152850956
2,11,1,0,0,1486152851924,1486152852589
3,0,0,1,0,1486152861791,1486152862557
3,1,0,1,0,1486152863524,1486152864189
3,2,0,0,1,1486152865158,1486152865924
3,3,0,0,1,1486152866891,1486152867490
4,0,0,1,0,1486152873025,1486152873758
4,1,0,0,1,1486152874725,1486152875258
4,2,0,0,1,1486152876258,1486152876824
4,3,0,1,0,1486152877826,1486152878558
4,4,0,1,0,1486152879525,1486152880191
4,5,0,0,1,1486152881158,1486152881824
4,6,0,0,1,1486152882825,1486152883391
4,7,0,1,0,1486152884359,1486152885025
4,8,0,1,0,1486152885992,1486152886691
4,9,0,0,1,1486152887659,1486152888158
4,10,0,0,1,1486152889126,1486152889658
4,11,0,1,0,1486152890659,1486152891392
5,0,1,1,1,1486152898076,1486152898775
5,1,0,1,0,1486152899743,1486152900842
5,2,1,0,0,1486152901843,1486152903076
5,3,0,0,1,1486152904077,1486152904942
6,0,1,0,0,1486152908044,1486152908943
6,1,1,1,1,1486152909944,1486152910910
6,2,0,0,1,1486152911878,1486152912943
6,3,1,1,1,1486152913944,1486152914876
6,4,0,1,0,1486152915877,1486152916810
6,5,0,0,0,1486152917811,1486152918511
6,6,0,1,0,1486152919478,1486152920410
6,7,1,1,1,1486152921378,1486152922277
6,8,1,0,0,1486152923278,1486152924310
6,9,1,0,0,1486152925311,1486152926077
6,10,0,0,1,1486152927078,1486152928010
6,11,1,1,1,1486152928978,1486152929877
6,12,0,0,1,1486152930845,1486152931644
6,13,0,0,1,1486152932645,1486152933544
6,14,0,1,0,1486152934512,1486152936344
6,15,1,1,1,1486152937345,1486152938078
6,16,0,0,1,1486152939079,1486152940044
6,17,1,0,0,1486152941045,1486152941878
6,18,0,1,0,1486152942845,1486152944778
6,19,1,1,1,1486152945746,1486152946611
6,20,1,0,0,1486152947579,1486152948512
6,21,1,1,1,1486152949512,1486152950245
6,22,0,1,0,1486152951246,1486152952612
6,23,1,0,0,1486152953580,1486152954378
6,24,1,1,1,1486152955346,1486152956113
6,25,0,1,0,1486152957113,1486152958013
6,26,1,0,0,1486152958980,1486152959779
6,27,0,1,0,1486152960746,1486152962346
6,28,1,1,1,1486152963346,1486152964146
6,29,1,0,0,1486152965147,1486152966246
6,30,0,0,1,1486152967247,1486152968079
6,31,0,1,0,1486152969080,1486152970646
6,32,1,0,0,1486152971647,1486152972579
6,33,0,0,1,1486152973547,1486152974580
6,34,0,1,0,1486152975580,1486152976647
6,35,0,1,0,1486152977647,1486152978480
6,36,1,1,1,1486152979447,1486152980413
6,37,1,0,0,1486152981381,1486152982581
6,38,0,0,1,1486152983581,1486152984347
6,39,0,0,1,1486152985347,1486152986747
6,40,1,1,1,1486152987714,1486152988814
6,41,1,1,1,1486152989781,1486152990881
6,42,1,0,0,1486152991881,1486152993014
6,43,0,1,0,1486152993982,1486152995414
6,44,0,1,0,1486152996382,1486152997248
6,45,0,0,1,1486152998215,1486152999648
6,46,1,0,0,1486153000615,1486153001681
6,47,0,0,1,1486153002682,1486153003982
