%Recollect Version 2.3. Scene/Level: , Game Number: 004
%D2:Action,Row,Character,TimeOfResponse
1,0,0,1486151373974
1,0,1,1486151374608
1,0,3,1486151377608
1,0,6,1486151379675
1,0,10,1486151382208
1,0,11,1486151383175
1,0,12,1486151384041
1,0,13,1486151384675
1,0,14,1486151385242
1,0,15,1486151385908
1,0,19,1486151388275
1,0,24,1486151391375
1,0,25,1486151392209
9,0,-1,1486151392476
-1,0,26,1486151392908
1,1,0,1486151395976
1,1,2,1486151396642
1,1,3,1486151398109
1,1,5,1486151399309
1,1,9,1486151401309
1,1,10,1486151401909
1,1,11,1486151402543
2,1,11,1486151403443
1,1,17,1486151406542
1,1,19,1486151407309
1,1,21,1486151408043
1,1,26,1486151411243
1,1,28,1486151412876
9,1,-1,1486151413477
-1,1,31,1486151413976
1,2,2,1486151416109
1,2,3,1486151416810
1,2,5,1486151419010
1,2,9,1486151420610
1,2,10,1486151421044
1,2,13,1486151422643
1,2,15,1486151423477
1,2,16,1486151424644
1,2,18,1486151425643
1,2,19,1486151426177
1,2,20,1486151426944
1,2,24,1486151428410
1,2,25,1486151429111
1,2,26,1486151430811
1,2,29,1486151431977
2,2,29,1486151432645
9,2,-1,1486151434478
-1,2,33,1486151434744
1,3,1,1486151436911
1,3,3,1486151437711
1,3,5,1486151438611
1,3,9,1486151440245
1,3,11,1486151441078
1,3,12,1486151441878
1,3,15,1486151442779
1,3,17,1486151443678
1,3,18,1486151444912
1,3,21,1486151446279
1,3,23,1486151447245
1,3,25,1486151448079
1,3,27,1486151449779
1,3,28,1486151451278
1,3,38,1486151453912
1,3,43,1486151455045
9,3,-1,1486151455479
1,4,2,1486151458245
1,4,3,1486151458712
1,4,4,1486151459145
1,4,7,1486151460713
1,4,8,1486151461680
1,4,11,1486151463111
1,4,12,1486151463613
1,4,15,1486151464813
-1,4,13,1486151465679
-1,4,13,1486151467680
1,4,18,1486151468913
1,4,20,1486151470246
1,4,21,1486151470680
1,4,27,1486151472380
1,4,34,1486151475247
1,4,37,1486151476013
9,4,-1,1486151476482
-1,4,37,1486151476614
1,5,0,1486151479447
1,5,3,1486151480414
1,5,5,1486151481980
1,5,9,1486151483314
1,5,11,1486151484548
