%Recollect Version 2.3. Scene/Level: , Game Number: 004
%D2:Row,lastInteractedCharacter,Ht,Ms,FA,CR,Sequence,Responses
0,41,13,7,2,20,cajcbadbchndblioaoboaceocpkaibbkpkpjachcbdabijmk,010011110000100010101000000101100000100011000000
1,47,12,10,0,26,gmcmohnbaaecjboabjacfbchncbcfmdpbaiacnncjkmoaogb,000000011100010110100100001000001001000000000001
2,36,13,4,0,20,ichbnpmeagbliagcaakcbmobcbajbfkjifcncdaabcjbkiki,000100001010010011001001011010000010100000000000
3,40,18,0,0,23,mlcapoahjbggficbcjbjoajbcpnnachaabicjhfhbifmcabc,001100100100001110100101100011011101000010000000
4,40,17,0,0,24,hafbcofcadbfbadbgddaemkmeecmdpcchbebfalkcacbadal,010110011010110100010000001000110101010010000000
5,33,14,2,0,18,ocloehgacbnlhjbhkacabiapmebckceacbjbldagibpapbic,010000010100001001111010001101010100000000000000
6,41,17,2,1,22,nhhaciaibmbccklbcabfaobkgpnbojchacpejabpkdcedcal,000100101011100101101010000100101100011001000000
7,39,19,0,0,21,lonbnccfajnmdjaobomiaakcpbcbgaebcbgnacdbcgapnnia,000101101000001010001101011101011100110100000000
8,43,20,1,0,23,baocchagbbmlclnidclagaibpejfclfablfakcbcloacnamf,110110101100100001010101000010011001011100010000
9,36,19,0,0,18,ifljbclabcacaocbbafijblmaapeoblcojmcabcknbkojnmp,000011011111101111000100110001010001100000000000
10,38,19,1,0,19,aepfgfbacocbachaobjkogfkbflmccbacngbaaacikmgimmc,100000111011110101000000100011111001011000000000
11,36,16,0,1,20,bejfcmbammapncnddcabapkbgjflcfeambboaccbaodcbgmj,100010110010010001111001000010110110100000000000
