%Recollect Version 2.3. Scene/Level: , Game Number: 001
%Note: All true/false values are represented as "1" and "0" respectively.
%Damage:1,Player X Position,Player Y Position,Hearts Left,Time (Relative),Time (Absolute)
%LameBackObject:Algorithm Condition,Trial Number,Current N Level,Lure Rate,Is Correct,Stimulus Type,Stimulus Color,Presentation Time (R),Presentation Time (A),Response Time (R),Response Time (A),Expire Time (R),Expire Time (A)
%Possible values for "Color":Red=0,Blue=1,Green=2,Yellow=3,Purple=4,LightBlue=5,Brown=6,White=7,
%Possible values for "Type":NonTarget=0,Target=1,Lure=2,lessThanN=3,
3,1,1,0.3,1,3,1,75.98207,1486404224404,-1,-1,75.48185,1486404223904
3,2,1,0.3,1,1,1,79.01557,1486404227437,79.68275,1486404228106,78.48219,1486404226908
3,3,1,0.3,1,1,1,82.04905,1486404230471,82.78247,1486404231205,81.51575,1486404229941
3,4,1,0.3,1,0,0,85.08269,1486404233504,-1,-1,84.54921,1486404232976
3,5,1,0.3,1,2,1,88.14938,1486404236571,-1,-1,87.58295,1486404236008
3,6,1,0.3,1,2,0,91.14969,1486404239571,-1,-1,90.64956,1486404239074
3,7,1,0.3,1,1,0,94.18308,1486404242605,94.94955,1486404243371,93.68286,1486404242106
3,8,1,0.3,1,0,3,97.24993,1486404245672,-1,-1,96.71664,1486404245141
3,9,1,0.3,1,1,3,100.2501,1486404248672,101.1502,1486404249572,99.75006,1486404248174
3,10,1,0.3,1,0,1,103.2837,1486404251706,-1,-1,102.7503,1486404251175
3,11,1,0.3,1,2,3,106.3505,1486404254772,-1,-1,105.817,1486404254242
3,12,1,0.3,1,0,0,109.3839,1486404257806,-1,-1,108.8506,1486404257275
3,13,1,0.3,1,2,3,112.3841,1486404260806,-1,-1,111.8839,1486404260309
3,14,1,0.3,1,1,3,115.4176,1486404263839,116.3177,1486404264740,114.8843,1486404263310
3,15,1,0.3,1,2,0,118.4846,1486404266906,-1,-1,117.9178,1486404266342
3,16,1,0.3,1,0,1,121.5513,1486404269973,-1,-1,120.9846,1486404269409
3,17,1,0.3,1,2,0,124.5848,1486404273007,-1,-1,124.0514,1486404272476
3,18,1,0.3,1,0,3,127.6184,1486404276040,-1,-1,127.0852,1486404275511
3,19,1,0.3,1,0,1,130.6186,1486404279040,-1,-1,130.1184,1486404278543
3,20,1,0.3,1,1,1,133.7186,1486404282140,134.8521,1486404283274,133.1519,1486404281577
3,21,1,0.3,1,0,0,136.7188,1486404285141,-1,-1,136.2188,1486404284644
