%Recollect Version 2.3. Scene/Level: , Session: 12, GameNumber: 12
%D2:Action,Row,Character,TimeOfResponse
1,0,1,1487807348862
1,0,2,1487807349295
1,0,6,1487807351329
1,0,10,1487807353662
1,0,12,1487807354562
1,0,14,1487807355329
1,0,16,1487807356162
1,0,17,1487807356762
1,0,20,1487807358329
1,0,21,1487807358597
1,0,22,1487807359662
1,0,25,1487807361529
1,0,27,1487807362462
1,0,28,1487807363163
1,0,31,1487807364396
1,0,32,1487807364896
1,0,33,1487807365463
1,0,36,1487807366429
1,0,37,1487807367629
9,0,-1,1487807367863
-1,0,39,1487807368563
1,1,0,1487807369729
1,1,1,1487807370129
1,1,2,1487807370663
1,1,3,1487807371630
1,1,6,1487807373464
1,1,9,1487807374863
1,1,10,1487807375396
1,1,13,1487807376763
1,1,14,1487807377497
1,1,16,1487807378498
1,1,19,1487807379830
1,1,21,1487807381330
1,1,22,1487807381830
1,1,30,1487807385731
1,1,33,1487807387164
-1,1,32,1487807387931
-1,1,32,1487807388464
9,1,-1,1487807388865
-1,1,34,1487807388964
1,2,1,1487807391098
1,2,4,1487807392465
1,2,5,1487807393065
1,2,8,1487807394531
1,2,9,1487807395398
1,2,11,1487807396598
1,2,14,1487807397798
1,2,15,1487807399664
1,2,18,1487807401198
1,2,20,1487807402032
1,2,22,1487807403232
1,2,24,1487807404231
1,2,26,1487807405099
1,2,32,1487807407632
1,2,33,1487807408032
1,2,36,1487807409532
9,2,-1,1487807409865
1,3,2,1487807411866
1,3,3,1487807413530
1,3,7,1487807416366
1,3,9,1487807417266
1,3,10,1487807418099
1,3,12,1487807419066
1,3,14,1487807420566
1,3,15,1487807421733
1,3,16,1487807422666
1,3,18,1487807423833
1,3,20,1487807424866
1,3,24,1487807426633
1,3,27,1487807428433
1,3,28,1487807428700
1,3,30,1487807430133
1,3,31,1487807430733
9,3,-1,1487807430867
1,4,0,1487807432301
1,4,1,1487807432701
1,4,4,1487807434334
1,4,6,1487807435301
1,4,7,1487807435834
1,4,9,1487807436934
1,4,10,1487807437434
1,4,12,1487807438468
1,4,16,1487807440567
1,4,17,1487807441101
1,4,18,1487807441834
1,4,27,1487807445334
1,4,32,1487807447268
-1,4,31,1487807447767
1,4,33,1487807448567
1,4,35,1487807449534
1,4,36,1487807449935
1,4,37,1487807450801
1,4,39,1487807451868
9,4,-1,1487807451871
1,5,1,1487807454168
1,5,3,1487807455168
1,5,5,1487807456268
1,5,10,1487807459335
1,5,11,1487807459968
1,5,12,1487807460302
1,5,13,1487807461002
1,5,14,1487807461368
1,5,18,1487807463735
1,5,22,1487807465535
1,5,24,1487807467335
1,5,29,1487807469435
1,5,30,1487807470402
1,5,33,1487807472102
9,5,-1,1487807472869
1,6,3,1487807475168
1,6,4,1487807475703
1,6,5,1487807476134
1,6,6,1487807476601
1,6,7,1487807477436
1,6,8,1487807477936
1,6,12,1487807480302
1,6,13,1487807481136
1,6,14,1487807481701
1,6,15,1487807482568
1,6,18,1487807483769
1,6,20,1487807484668
1,6,21,1487807485301
1,6,24,1487807486468
1,6,26,1487807487703
1,6,27,1487807488135
1,6,34,1487807491237
1,6,37,1487807492504
9,6,-1,1487807493870
-1,6,40,1487807494004
1,7,0,1487807495370
1,7,2,1487807495870
1,7,3,1487807496737
1,7,9,1487807500238
1,7,10,1487807500738
1,7,11,1487807501669
1,7,13,1487807502405
1,7,15,1487807503137
1,7,16,1487807503938
1,7,17,1487807504538
1,7,19,1487807505503
1,7,20,1487807506104
