%Recollect Version 2.3. Scene/Level: , Session: 0, GameNumber: 3
%SymmetrySpan:Stage,TrailNum,SequenceLength,TargetSequence,ResponseSequence,SymmetrySequence,SymmetryResponses,ClearCount,TimeOfSequencePresentation,TimeOfSymmetryPresentation,TimeOfResponsePrompt,TimeOfResponseSubmission
3,0,2,17,17,,,0,1486770762076,,1486770764437,1486770766771
3,1,2,83,83,,,0,1486770768743,,1486770771138,1486770772638
3,2,3,0DF,0DF,,,0,1486770774609,,1486770778104,1486770781121
3,3,3,FE4,FE4,,,0,1486770783094,,1486770786588,1486770788488
10,0,0,,,1,1,0,1486770823359,1486770823358,1486770786588,1486770826824
10,1,0,,,1,1,0,1486770829008,1486770829008,1486770786588,1486770833641
10,2,0,,,0,0,0,1486770835609,1486770835609,1486770786588,1486770837808
10,3,0,,,0,0,0,1486770839810,1486770839810,1486770786588,1486770840675
10,4,0,,,0,0,0,1486770842643,1486770842643,1486770786588,1486770844441
10,5,0,,,1,1,0,1486770846410,1486770846410,1486770786588,1486770849375
10,6,0,,,0,0,0,1486770851376,1486770851376,1486770786588,1486770852508
10,7,0,,,1,1,0,1486770854476,1486770854476,1486770786588,1486770855775
10,8,0,,,1,1,0,1486770857743,1486770857743,1486770786588,1486770859109
10,9,0,,,0,0,0,1486770861077,1486770861077,1486770786588,1486770862609
10,10,0,,,1,1,0,1486770864578,1486770864577,1486770786588,1486770866376
10,11,0,,,0,0,0,1486770868344,1486770868344,1486770786588,1486770870943
10,12,0,,,0,0,0,1486770872944,1486770872944,1486770786588,1486770877343
10,13,0,,,0,0,0,1486770879310,1486770879310,1486770786588,1486770881577
10,14,0,,,0,0,0,1486770883545,1486770883545,1486770786588,1486770885010
10,15,0,,,1,1,0,1486770886979,1486770886978,1486770786588,1486770888010
13,0,2,2A,2A,10,10,0,1486770897400,1486770901834,1486770903134,1486770906228
13,1,2,4B,4B,10,10,0,1486770908201,1486770912634,1486770913468,1486770914762
13,2,2,4A,4A,01,01,0,1486770916734,1486770921068,1486770922069,1486770923262
14,0,2,7B,7B,01,11,0,1486770928501,1486770933735,1486770934902,1486770935996
14,1,3,69A,69A,011,011,0,1486770938219,1486770947736,1486770948937,1486770952247
14,2,5,7A245,7A245,10010,10010,0,1486770954437,1486770967237,1486770968671,1486770973815
14,3,3,95D,95D,101,101,0,1486770976022,1486770984221,1486770985722,1486770988550
14,4,5,CF782,CF782,10100,10100,0,1486770990738,1486771003673,1486771004739,1486771008467
14,5,4,9EA2,9EA2,1100,1100,0,1486771010440,1486771020173,1486771021140,1486771023469
14,6,5,95760,59760,01011,01011,2,1486771025440,1486771037908,1486771039141,1486771048536
14,7,4,6AFD,6AFD,0100,0100,0,1486771050725,1486771060659,1486771061726,1486771063521
14,8,2,41,41,01,01,0,1486771065526,1486771069593,1486771070527,1486771072821
14,9,4,8EA7,9EA7,1010,1010,0,1486771074826,1486771087427,1486771088659,1486771090322
14,10,3,5B0,5B0,101,101,0,1486771092511,1486771099678,1486771100745,1486771102906
14,11,2,41,41,10,10,0,1486771104880,1486771109279,1486771110179,1486771111373
