%Recollect Version 2.3. Scene/Level: , Session: 1, GameNumber: 0
%Note: All true/false values are represented as "1" and "0" respectively.
%Damage:1,Player X Position,Player Y Position,Hearts Left,Time (Relative),Time (Absolute)
%LameBackObject:Algorithm Condition,Trial Number,Current N Level,Lure Rate,Is Correct,Stimulus Type,Stimulus Color,Presentation Time (R),Presentation Time (A),Response Time (R),Response Time (A),Expire Time (R),Expire Time (A)
%Possible values for "Color":Red=0,Blue=1,Green=2,Yellow=3,Purple=4,LightBlue=5,Brown=6,White=7,
%Possible values for "Type":NonTarget=0,Target=1,Lure=2,lessThanN=3,
3,1,2,0.3,1,3,2,15.5542,1487031255059,-1,-1,15.02075,1487031254526
3,2,2,0.3,1,3,3,18.62097,1487031258126,-1,-1,18.08752,1487031257595
3,3,2,0.3,1,2,3,21.68774,1487031261192,-1,-1,21.12109,1487031260630
3,4,2,0.3,0,1,3,24.75464,1487031264259,-1,-1,24.22131,1487031263729
3,5,2,0.3,0,1,3,27.82166,1487031267326,-1,-1,27.25488,1487031266762
3,6,2,0.3,1,0,2,30.92163,1487031270426,-1,-1,30.35486,1487031269863
3,7,2,0.3,1,0,1,33.98853,1487031273493,-1,-1,33.42175,1487031272929
3,8,2,0.3,1,2,1,37.0553,1487031276560,-1,-1,36.48865,1487031275996
3,9,2,0.3,1,0,3,40.12219,1487031279627,-1,-1,39.58875,1487031279096
3,10,2,0.3,0,1,1,43.18896,1487031282694,-1,-1,42.62256,1487031282130
3,11,2,0.3,1,2,1,46.22253,1487031285727,-1,-1,45.68909,1487031285196
3,12,2,0.3,1,2,3,49.28931,1487031288794,-1,-1,48.72266,1487031288231
3,13,2,0.3,0,1,1,52.38953,1487031291894,-1,-1,51.82263,1487031291329
3,14,2,0.3,1,2,1,55.4231,1487031294928,-1,-1,54.88965,1487031294397
3,15,2,0.3,1,0,0,58.48987,1487031297994,-1,-1,57.95654,1487031297464
3,16,2,0.3,1,0,3,61.52356,1487031301028,-1,-1,61.02332,1487031300531
3,17,2,0.3,1,0,2,64.59021,1487031304095,-1,-1,64.05688,1487031303564
3,18,2,0.3,0,1,3,67.69043,1487031307195,-1,-1,67.12366,1487031306633
3,19,2,0.3,1,2,3,70.72375,1487031310228,-1,-1,70.19055,1487031309698
3,20,2,0.3,1,0,0,73.75732,1487031313262,-1,-1,73.224,1487031312732
3,21,2,0.3,0,1,3,76.79089,1487031316301,-1,-1,76.25757,1487031315768
3,22,2,0.3,1,0,1,79.85779,1487031319369,-1,-1,79.29102,1487031318805
3,1,2,0.3,1,3,1,98.25879,1487031337770,-1,-1,97.69202,1487031337203
3,2,2,0.3,1,3,2,101.3256,1487031340836,-1,-1,100.7589,1487031340272
3,3,2,0.3,1,0,3,104.3925,1487031343903,-1,-1,103.8257,1487031343341
3,4,2,0.3,1,0,1,107.4592,1487031346970,-1,-1,106.8926,1487031346407
3,5,2,0.3,0,1,3,110.4928,1487031350004,-1,-1,109.9596,1487031349473
3,6,2,0.3,1,0,2,113.5262,1487031353037,-1,-1,112.9929,1487031352507
3,7,2,0.3,0,1,3,116.5931,1487031356104,-1,-1,116.0265,1487031355540
3,8,2,0.3,1,2,3,119.6599,1487031359171,-1,-1,119.0933,1487031358608
3,9,2,0.3,1,2,2,122.6935,1487031362204,-1,-1,122.16,1487031361675
3,10,2,0.3,1,0,1,125.7936,1487031365304,-1,-1,125.2269,1487031364741
3,11,2,0.3,1,2,3,128.8606,1487031368371,-1,-1,128.2937,1487031367807
3,12,2,0.3,1,0,0,131.9274,1487031371438,-1,-1,131.3938,1487031370908
3,13,2,0.3,1,2,0,134.9946,1487036831762,-1,-1,134.4276,1487036831196
3,14,2,0.3,0,1,0,138.0616,1487036834828,-1,-1,137.4948,1487036834265
3,15,2,0.3,1,2,3,141.108,1487036855095,-1,-1,140.5745,1487036854566
3,16,2,0.3,1,0,2,144.1914,1487036858178,-1,-1,143.6248,1487036857615
3,17,2,0.3,0,1,3,147.225,1487036861212,-1,-1,146.6915,1487036860681
3,18,2,0.3,1,0,0,150.292,1487036864279,-1,-1,149.7251,1487036863715
3,19,2,0.3,0,1,3,153.3586,1487036867345,-1,-1,152.8252,1487036866815
3,20,2,0.3,0,1,0,156.4254,1487036870412,-1,-1,155.8588,1487036869849
3,21,2,0.3,1,0,1,159.4922,1487036873479,-1,-1,158.9257,1487036872917
3,22,2,0.3,1,2,3,162.5258,1487036876512,-1,-1,161.9923,1487036875982
