%Recollect Version 2.3. Scene/Level: , Session: 0, GameNumber: 6
%NearTransferObject:GameNumber,BlockNumber,TrialNumber,CurrentNLevel,IsCorrect,StimulusType,Image,PresentationTime,ResponseTime,ExpireTime
%Possible values for "Image":Bear=0,Sheep=1,Duck=2,Elephant=3,Turtle=4,Owl=5,Goat=6,Seal=7,Blank=8,
%Possible values for "Type":NonTarget=0,Target=1,Lure=2,lessThanN=3,
6,0,1,1,0,3,7,1487110871412,-1,1487110870913
6,0,2,1,0,1,7,1487110874446,-1,1487110873916
6,0,3,1,1,0,1,1487110877513,-1,1487110876982
6,0,4,1,1,0,6,1487110880580,-1,1487110880050
6,0,5,1,1,0,7,1487110883613,-1,1487110883116
6,0,6,1,1,0,3,1487110886680,-1,1487110886149
6,0,7,1,1,0,1,1487110889747,-1,1487110889216
6,0,8,1,1,1,1,1487110892814,1487110893748,1487110892284
6,0,9,1,1,0,3,1487110895847,-1,1487110895317
6,0,10,1,1,0,0,1487110898914,-1,1487110898383
6,0,11,1,1,1,0,1487110901981,1487110903181,1487110901450
6,1,1,1,1,3,0,1487110920782,-1,1487110920249
6,1,2,1,1,0,7,1487110923849,-1,1487110923318
6,1,3,1,1,0,3,1487110926915,-1,1487110926385
6,1,4,1,1,1,3,1487110929949,1487110930916,1487110929419
6,1,5,1,0,1,3,1487110933016,-1,1487110932485
6,1,6,1,1,1,3,1487110936050,1487110937250,1487110935519
6,1,7,1,1,0,0,1487110939116,-1,1487110938586
6,1,8,1,1,0,1,1487110942150,-1,1487110941620
6,1,9,1,1,0,3,1487110945183,-1,1487110944653
6,1,10,1,1,1,3,1487110948250,1487110948950,1487110947720
6,1,11,1,1,0,4,1487110951317,-1,1487110950786
6,1,12,1,1,1,4,1487110954384,1487110954950,1487110953854
6,1,13,1,1,0,3,1487110957384,-1,1487110956887
6,1,14,1,1,0,0,1487110960451,-1,1487110959920
6,1,15,1,1,0,1,1487110963518,-1,1487110962987
6,1,16,1,1,0,3,1487110966551,-1,1487110966054
6,1,17,1,1,0,7,1487110969618,-1,1487110969087
6,1,18,1,1,1,7,1487110972685,1487110973385,1487110972155
6,1,19,1,1,0,5,1487110975718,-1,1487110975188
6,1,20,1,1,0,3,1487110978785,-1,1487110978255
6,1,21,1,1,0,7,1487110981819,-1,1487110981289
6,2,1,2,1,3,3,1487111007920,-1,1487111007387
6,2,2,2,1,3,5,1487111010953,-1,1487111010424
6,2,3,2,1,0,6,1487111013987,-1,1487111013457
6,2,4,2,1,1,5,1487111017021,1487111018188,1487111016523
6,2,5,2,1,0,1,1487111020088,-1,1487111019557
6,2,6,2,1,0,4,1487111023154,-1,1487111022624
6,2,7,2,1,1,1,1487111026187,1487111026921,1487111025657
6,2,8,2,1,0,2,1487111029221,-1,1487111028690
6,2,9,2,1,0,6,1487111032288,-1,1487111031758
6,2,10,2,1,1,2,1487111035322,1487111036121,1487111034825
6,2,11,2,1,0,4,1487111038355,-1,1487111037824
6,2,12,2,1,0,1,1487111041389,-1,1487111040858
6,3,1,2,1,3,3,1487111059923,-1,1487111059423
6,3,2,2,1,3,6,1487111062956,-1,1487111062426
6,3,3,2,1,0,1,1487111065991,-1,1487111065460
6,3,4,2,1,0,2,1487111069057,-1,1487111068526
6,3,5,2,1,1,1,1487111072090,1487111072890,1487111071560
6,3,6,2,1,0,7,1487111075157,-1,1487111074627
6,3,7,2,1,0,4,1487111078191,-1,1487111077661
6,3,8,2,1,0,5,1487111081224,-1,1487111080727
6,3,9,2,1,0,0,1487111084291,-1,1487111083760
6,3,10,2,1,1,5,1487111087358,1487111088059,1487111086828
6,3,11,2,1,1,0,1487111090391,1487111091325,1487111089861
6,3,12,2,1,0,7,1487111093458,-1,1487111092928
6,3,13,2,1,0,3,1487111096492,-1,1487111095961
6,3,14,2,1,0,5,1487111099558,-1,1487111099029
6,3,15,2,1,1,3,1487111102592,1487111103359,1487111102062
6,3,16,2,1,0,6,1487111105659,-1,1487111105129
6,3,17,2,1,0,0,1487111108692,-1,1487111108163
6,3,18,2,1,0,5,1487111111759,-1,1487111111229
6,3,19,2,1,0,4,1487111114793,-1,1487111114262
6,3,20,2,1,0,1,1487111117826,-1,1487111117296
6,3,21,2,1,1,4,1487111120893,1487111121660,1487111120363
6,3,22,2,1,1,1,1487111123960,1487111125094,1487111123429
6,4,1,3,1,3,1,1487111153428,-1,1487111152929
6,4,2,3,1,3,6,1487111156495,-1,1487111155965
6,4,3,3,1,3,4,1487111159529,-1,1487111158998
6,4,4,3,1,1,1,1487111162565,1487111163565,1487111162034
6,4,5,3,1,0,7,1487111165565,-1,1487111165068
6,4,6,3,1,0,7,1487111168632,-1,1487111168101
6,4,7,3,1,0,0,1487111171665,-1,1487111171135
6,4,8,3,1,0,0,1487111174732,-1,1487111174202
6,4,9,3,1,0,2,1487111177766,-1,1487111177235
6,4,10,3,1,0,5,1487111180799,-1,1487111180303
6,4,11,3,1,1,0,1487111183866,1487111184566,1487111183336
6,4,12,3,1,0,7,1487111186933,-1,1487111186403
6,4,13,3,0,1,5,1487111189967,-1,1487111189469
6,5,1,3,0,3,2,1487111208534,-1,1487111208001
6,5,2,3,0,3,0,1487111211568,-1,1487111211071
6,5,3,3,0,3,4,1487111214601,-1,1487111214104
6,5,4,3,1,0,4,1487111217668,-1,1487111217138
6,5,5,3,1,0,2,1487111220702,-1,1487111220172
6,5,6,3,1,0,5,1487111223735,-1,1487111223205
6,5,7,3,1,0,1,1487111226769,-1,1487111226238
6,5,8,3,1,0,3,1487111229802,-1,1487111229273
6,5,9,3,1,0,4,1487111232836,-1,1487111232305
6,5,10,3,1,0,6,1487111235869,-1,1487111235338
6,5,11,3,0,0,2,1487111238936,1487111240170,1487111238406
6,5,12,3,0,1,4,1487111241969,-1,1487111241439
6,5,13,3,1,0,7,1487111245003,-1,1487111244473
6,5,14,3,0,1,2,1487111248036,-1,1487111247506
6,5,15,3,1,0,1,1487111251070,-1,1487111250540
6,5,16,3,1,0,5,1487111254137,-1,1487111253606
6,5,17,3,1,0,5,1487111257170,-1,1487111256673
