%Recollect Version 2.3. Scene/Level: , Session: 11, GameNumber: 7
%HeartsAndFlowers:Stage,TrailNum,Target,TargetPos,ChoicePos,TimeOfPresentation,TimeOfResponse
1,0,1,1,1,1487793574648,1487793575814
1,1,1,0,0,1487793576815,1487793577647
1,2,1,0,0,1487793578615,1487793579447
1,3,1,1,1,1487793580448,1487793581280
2,0,1,1,1,1487793583565,1487793584531
2,1,1,1,1,1487793585498,1487793586164
2,2,1,0,0,1487793587132,1487793588031
2,3,1,1,1,1487793589032,1487793589698
2,4,1,0,0,1487793590699,1487793591298
2,5,1,1,1,1487793592265,1487793592831
2,6,1,1,1,1487793593799,1487793594464
2,7,1,0,0,1487793595432,1487793596098
2,8,1,1,1,1487793597066,1487793597698
2,9,1,0,0,1487793598666,1487793599265
2,10,1,0,0,1487793600233,1487793601332
2,11,1,0,0,1487793602299,1487793602866
3,0,0,0,1,1487793607700,1487793608332
3,1,0,0,1,1487793609333,1487793610065
3,2,0,1,0,1487793611067,1487793611732
3,3,0,1,0,1487793612700,1487793613400
4,0,0,1,0,1487793616900,1487793617800
4,1,0,0,1,1487793618800,1487793619666
4,2,0,0,1,1487793620634,1487793621366
4,3,0,0,1,1487793622334,1487793623066
4,4,0,1,0,1487793624067,1487793624833
4,5,0,1,0,1487793625834,1487793626767
4,6,0,1,0,1487793627767,1487793628533
4,7,0,0,1,1487793629534,1487793630467
4,8,0,0,1,1487793631466,1487793632233
4,9,0,0,1,1487793633203,1487793633934
4,10,0,1,0,1487793634934,1487793635567
4,11,0,1,0,1487793636534,1487793637166
5,0,1,1,1,1487793641218,1487793642250
5,1,1,0,0,1487793643218,1487793644151
5,2,0,1,0,1487793645119,1487793646117
5,3,0,0,1,1487793647119,1487793647918
6,0,1,1,1,1487793649885,1487793650784
6,1,1,0,0,1487793651752,1487793652585
6,2,1,1,1,1487793653552,1487793654418
6,3,0,0,1,1487793655386,1487793656418
6,4,0,0,1,1487793657419,1487793658118
6,5,0,0,1,1487793659119,1487793659719
6,6,1,1,1,1487793660720,1487793661719
6,7,1,1,1,1487793662719,1487793663519
6,8,1,0,0,1487793664519,1487793665352
6,9,0,0,1,1487793666320,1487793667252
6,10,1,0,0,1487793668220,1487793669119
6,11,0,1,0,1487793670086,1487793671019
6,12,0,0,1,1487793672020,1487793672852
6,13,0,0,1,1487793673853,1487793674652
6,14,1,1,1,1487793675653,1487793676620
6,15,1,0,0,1487793677587,1487793678419
6,16,0,0,1,1487793679387,1487793680253
6,17,1,0,0,1487793681254,1487793682153
6,18,1,1,1,1487793683154,1487793683920
6,19,1,0,0,1487793684887,1487793685653
6,20,0,1,0,1487793686620,1487793687286
6,21,0,1,0,1487793688287,1487793689086
6,22,1,1,1,1487793690055,1487793690954
6,23,1,0,0,1487793691921,1487793692653
6,24,0,0,1,1487793693621,1487793694353
6,25,0,0,1,1487793695321,1487793696254
6,26,0,1,0,1487793697221,1487793697920
6,27,1,0,0,1487793698888,1487793699721
6,28,0,1,0,1487793700688,1487793701487
6,29,1,1,1,1487793702488,1487793703321
6,30,0,0,1,1487793704288,1487793705121
6,31,0,1,0,1487793706088,1487793706987
6,32,1,1,1,1487793707955,1487793708788
6,33,0,1,0,1487793709755,1487793710588
6,34,0,0,1,1487793711555,1487793712421
6,35,0,1,0,1487793713389,1487793714088
6,36,1,0,0,1487793715056,1487793715955
6,37,0,1,0,1487793716923,1487793717655
6,38,0,1,0,1487793718622,1487793719321
6,39,0,1,0,1487793720289,1487793721022
6,40,1,0,0,1487793721989,1487793722822
6,41,1,1,1,1487793723790,1487793724488
6,42,1,1,1,1487793725456,1487793726155
6,43,0,1,0,1487793727157,1487793727922
6,44,0,0,1,1487793728923,1487793729755
6,45,1,0,0,1487793730757,1487793731556
6,46,1,0,0,1487793732523,1487793733289
6,47,1,1,1,1487793734257,1487793735056
