%Recollect Version 2.3. Scene/Level: , Game Number: 002
%LetterNumberSpan:TrailNum,Sequence,LetterInput,NumberInput,TimeOfPresentationStart,TimeOfPresentationEnd,TimeOfResponse
0,6F,F,6,1486150161006,1486150164227,1486150191181
1,G4,G,4,1486150192708,1486150195928,1486150203192
2,3W5,W,35,1486150204725,1486150209679,1486150215232
3,T7L,LT,7,1486150216759,1486150221479,1486150229925
4,1JA,AJ,1,1486150231457,1486150236178,1486150242475
0,L2,L,2,1486150248042,1486150251228,1486150258460
1,6P,P,6,1486150259992,1486150263212,1486150268392
2,B5,B,5,1486150269893,1486150272896,1486150278999
3,F7L,LF,7,1486150280527,1486150285030,1486150291100
4,R4D,DR,4,1486150292627,1486150297131,1486150303462
5,H18,H,18,1486150304995,1486150309931,1486150315546
6,T9A3,TA,39,1486150317112,1486150324099,1486150340831
7,V1J5,JV,15,1486150342330,1486150348550,1486150360003
8,7N4L,LN,47,1486150361531,1486150367968,1486150379084
9,8D6G1,D,16,1486150380616,1486150388552,1486150397301
10,K2C7S,CKS,27,1486150398833,1486150406554,1486150425202
11,5P3Y9,PY,359,1486150426735,1486150434455,1486150446922
12,M4E7Q2,EMQ,247,1486150448486,1486150457673,1486150486722
13,W8H5F3,FHW,358,1486150488255,1486150497475,1486150523540
14,6G9A2S,AGS,269,1486150525074,1486150534077,1486150547725
15,R3B4Z1C,BCRZ,134,1486150549258,1486150559979,1486150583361
16,5T9B4K3,TSR,359,1486150584894,1486150595397,1486150627330
17,E1H8R4D,EHRD,134,1486150628830,1486150639333,1486150650264
18,5H9S2N6A,CHNS,2569,1486150651797,1486150663768,1486150690900
19,D1R9B4K3,DKR,1349,1486150692433,1486150704404,1486150734320
20,7M2T6F1Z,DMP,1267,1486150735852,1486150747856,1486150766339
