%Recollect Version 2.3. Scene/Level: , Session: 9, GameNumber: 4
%D2:Row,lastInteractedCharacter,Ht,Ms,FA,CR,Sequence,Responses
0,23,12,1,2,9,kjmmclbgbacabalnadbcdcmaglpbkcabncimdbcjpcdeffea,001110101111110010100101000000000000000000000000
1,39,18,0,5,17,baokbcgfaclcabfagfiffpgbcfcdoafkbnfbglacoelcacbj,110111011101110101100001101001011001001100000000
2,37,17,0,4,17,boaplcmbogamcegibceafbaohimocacnjakmbcbbpkfcmaap,101001010010100111010110010011101110110000000000
3,42,18,0,8,17,enaoaboobjmplmcdchipacjcobhjjabjdaccbakngkbamacb,001011001100001010101111010111110111111001100000
4,35,15,0,4,17,ddalcbbhcjommlmmacbfchkieafoaobekabcacbfekgaabfc,001011101100000011101011010010101111000000000000
5,41,18,1,7,16,acliobaegkhcbagbagbpicckljcdbnienacodoobaaehbcia,110101100101110110101111011010100110100011000000
6,33,15,0,1,18,cadjbopobecaoambcbedcpacfdfdaahgmgbcddpnkbacieab,110110001011010111001011000011000000000000000000
7,37,17,1,6,14,hbdocnppfkaajknbcaaclipkbbcmbcohoakacbebgaajmfoc,010010000111110111110101111011000111010000000000
8,34,18,0,6,11,ahehdobcncbjahabflcbickacbabkcapnjgdkcbojelpeadb,100010110111101100111111111111100010000000000000
9,31,15,0,4,13,nlknoabcckhfafbpabjpccaibpflamcbebgickacjbdaanph,001001111100101011101111100010110000000000000000
10,33,13,1,9,11,lcaikcfdjajbklkbokabchiiamepecbbicpaibdclafbbcdc,011111001111101101111011100000110100000000000000
11,37,19,0,4,15,fbaelgbccmakicbcbaahoiceegicobeaagbipblfiacpkogb,011000111011011111100110001101011011010000000000
