%Recollect Version 2.3. Scene/Level: , Session: 0, GameNumber: 3
%SymmetrySpan:Stage,TrailNum,SequenceLength,TargetSequence,ResponseSequence,SymmetrySequence,SymmetryResponses,ClearCount,TimeOfSequencePresentation,TimeOfSymmetryPresentation,TimeOfResponsePrompt,TimeOfResponseSubmission
3,0,2,B3,B3,,,0,1487109212223,,1487109214550,1487109218417
3,1,2,4F,4F,,,0,1487109220423,,1487109222751,1487109224618
3,2,3,BA3,BA3,,,0,1487109226590,,1487109230084,1487109233102
3,3,3,95A,95A,,,0,1487109235074,,1487109238635,1487109240635
10,0,0,,,1,1,0,1487109277672,1487109277671,1487109238635,1487109283671
10,1,0,,,1,1,0,1487109285872,1487109285872,1487109238635,1487109291804
10,2,0,,,1,Z,0,1487109293772,1487109293772,1487109238635,1487109303771
10,3,0,,,0,0,0,1487109305990,1487109305990,1487109238635,1487109307522
10,4,0,,,0,0,0,1487109310257,1487109310257,1487109238635,1487109312606
10,5,0,,,1,Z,0,1487109314790,1487109314790,1487109238635,1487109324789
10,6,0,,,0,0,0,1487109327008,1487109327008,1487109238635,1487109331973
10,7,0,,,0,0,0,1487109333942,1487109333942,1487109238635,1487109336240
10,8,0,,,1,1,0,1487109338209,1487109338209,1487109238635,1487109340574
10,9,0,,,1,1,0,1487109342575,1487109342575,1487109238635,1487109350174
10,10,0,,,0,0,0,1487109352143,1487109352142,1487109238635,1487109355276
10,11,0,,,0,0,0,1487109357243,1487109357243,1487109238635,1487109358909
10,12,0,,,1,1,0,1487109361093,1487109361093,1487109238635,1487109365325
10,13,0,,,0,0,0,1487109367510,1487109367510,1487109238635,1487109370675
10,14,0,,,1,1,0,1487109372644,1487109372644,1487109238635,1487109376076
10,15,0,,,0,0,0,1487109378078,1487109378078,1487109238635,1487109381177
13,0,2,85,84,00,Z0,0,1487109441819,1487109453220,1487109458454,1487109466298
13,1,2,C7,C7,11,11,0,1487109468270,1487109474304,1487109477138,1487109479732
13,2,2,7B,7B,11,11,0,1487109481704,1487109487938,1487109490771,1487109492666
14,0,4,569D,569D,1100,1100,0,1487109524973,1487109539106,1487109540708,1487109544769
14,1,3,301,741,001,111,0,1487109546741,1487109558775,1487109560843,1487109563270
14,2,2,04,14,01,01,0,1487109565459,1487109570493,1487109574025,1487109577954
14,3,2,19,19,01,01,0,1487109579927,1487109584760,1487109586227,1487109587988
14,4,2,DE,DE,11,11,0,1487109589960,1487109594961,1487109597561,1487109599289
14,5,4,9F23,9F52,1011,1011,0,1487109601295,1487109614095,1487109615796,1487109618323
14,6,5,0D3EA,,10001,10001,0,1487109620295,1487109636563,1487109638397,1487109648357
14,7,4,30FB,30FB,0011,0011,0,1487109650581,1487109662848,1487109665346,1487109672110
14,8,3,BE4,BE4,010,010,0,1487109674299,1487109684932,1487109686766,1487109689027
14,9,3,C5E,B8E,110,110,0,1487109690999,1487109701033,1487109702801,1487109708261
14,10,5,645F1,146F0,00011,00011,0,1487109710234,1487109728168,1487109729635,1487109736713
14,11,5,1ECF5,1ECF4,10010,10010,0,1487109738685,1487109754253,1487109755718,1487109761581
