%Recollect Version 2.3. Scene/Level: , Game Number: 001
%MatrixReasoning:Stage,ProblemNumber,CurrentResponse,CorrectResponse,NavigationDirection,TimeOfResponse
2,0,7,7,0,1486167019125
2,1,1,1,0,1486167022025
2,2,2,2,0,1486167037893
2,0,2,2,0,1486167056427
2,0,2,2,1,1486167057310
2,1,4,4,0,1486167061977
2,1,4,4,1,1486167062744
2,2,6,6,0,1486167066977
2,2,6,6,1,1486167068377
2,3,7,7,0,1486167075345
2,3,7,7,1,1486167076078
2,4,4,4,0,1486167079745
2,4,4,4,1,1486167080278
2,5,6,6,0,1486167083878
2,5,6,6,1,1486167086978
2,6,6,1,0,1486167091611
2,6,1,1,0,1486167107747
2,6,1,1,1,1486167109146
2,7,7,7,0,1486167118181
2,7,7,7,1,1486167121013
2,8,4,4,0,1486167126781
2,8,4,4,1,1486167129214
2,9,3,3,0,1486167132014
2,9,3,3,1,1486167132748
2,10,7,7,0,1486167140348
2,10,7,7,1,1486167140682
2,11,1,1,0,1486167153116
2,11,1,1,1,1486167155215
2,12,6,6,0,1486167165683
2,12,6,6,1,1486167169282
2,13,4,4,0,1486167175284
2,13,4,4,1,1486167179217
2,14,2,4,0,1486167197518
2,14,1,4,0,1486167201585
2,14,1,4,1,1486167208952
2,15,-1,5,1,1486167231153
2,16,-1,6,-1,1486167233453
2,15,4,5,0,1486167279989
2,15,4,5,1,1486167282356
2,16,3,6,0,1486167306257
2,16,2,6,0,1486167351060
2,16,2,6,1,1486167352760
2,17,3,3,0,1486167364561
2,17,3,3,1,1486167365461
2,18,2,2,0,1486167373361
2,18,2,2,1,1486167374461
2,19,5,5,0,1486167408597
2,19,5,5,1,1486167413397
2,20,0,0,0,1486167422931
2,20,0,0,1,1486167448099
2,21,5,5,0,1486167477467
2,21,5,5,1,1486167481367
2,22,5,5,0,1486167496568
2,22,5,5,1,1486167498101
2,23,1,1,0,1486167522403
2,23,1,1,1,1486167528503
2,24,-1,0,-1,1486167530237
2,23,1,1,1,1486167532570
2,24,0,0,0,1486167558372
2,24,0,0,1,1486167577173
2,25,5,5,0,1486167588440
2,25,5,5,1,1486167591340
2,26,3,3,0,1486167623376
2,26,3,3,1,1486167639076
2,27,1,6,0,1486167645110
2,27,6,6,0,1486167650410
2,27,6,6,1,1486167650844
2,28,1,1,0,1486167658811
2,28,1,1,1,1486167664178
2,29,2,2,0,1486167681646
2,29,2,2,1,1486167689546
2,30,0,0,0,1486167702713
2,30,0,0,1,1486167703713
2,31,2,2,0,1486167713864
2,31,2,2,1,1486167724798
2,32,5,0,0,1486167734532
2,32,5,0,1,1486167734998
2,33,6,6,0,1486167752199
2,33,6,6,1,1486167769300
2,34,3,3,0,1486167783601
2,34,3,3,1,1486167784734
2,35,0,0,0,1486167799436
2,35,0,0,1,1486167820403
2,36,2,2,0,1486167834104
2,36,2,2,1,1486167844138
2,37,3,3,0,1486167874439
2,37,4,3,0,1486167878941
2,37,4,3,1,1486167894940
2,38,-1,4,-1,1486167896574
2,37,4,3,1,1486167897707
2,38,2,4,0,1486167942870
2,38,4,4,0,1486167951671
2,38,4,4,1,1486167954637
2,39,6,6,0,1486167973706
2,39,6,6,1,1486167978005
2,40,7,7,0,1486167988173
2,40,7,7,1,1486167992806
2,41,7,5,0,1486168024275
2,41,5,5,0,1486168064978
