%Recollect Version 2.3. Scene/Level: , Session: 0, GameNumber: 6
%NearTransferObject:GameNumber,BlockNumber,TrialNumber,CurrentNLevel,IsCorrect,StimulusType,Image,PresentationTime,ResponseTime,ExpireTime
%Possible values for "Image":RV=0,Truck=1,FireTruck=2,Ambulance=3,Cab=4,Schoolbus=5,Limo=6,Police=7,Blank=8,
%Possible values for "Type":NonTarget=0,Target=1,Lure=2,lessThanN=3,
6,0,1,1,0,3,3,1486772317413,-1,1486772316880
6,0,2,1,1,1,3,1486772320479,1486772321280,1486772319950
6,0,3,1,1,0,6,1486772323546,-1,1486772323016
6,0,4,1,1,0,7,1486772326580,-1,1486772326049
6,0,5,1,1,1,7,1486772329646,1486772332080,1486772329116
6,0,6,1,1,0,5,1486772332680,-1,1486772332149
6,0,7,1,1,0,4,1486772335713,-1,1486772335184
6,0,8,1,1,0,0,1486772338780,-1,1486772338250
6,0,9,1,1,0,3,1486772341847,-1,1486772341317
6,0,10,1,1,0,5,1486772344881,-1,1486772344350
6,0,11,1,1,1,5,1486772347914,1486772348781,1486772347384
6,1,1,1,1,3,1,1486772354381,-1,1486772353849
6,1,2,1,1,0,2,1486772357415,-1,1486772356885
6,1,3,1,1,0,4,1486772360448,-1,1486772359918
6,1,4,1,1,0,5,1486772363482,-1,1486772362951
6,1,5,1,1,0,3,1486772366515,-1,1486772365985
6,1,6,1,1,0,6,1486772369549,-1,1486772369051
6,1,7,1,1,1,6,1486772372616,1486772373249,1486772372085
6,1,8,1,1,0,5,1486772375616,-1,1486772375118
6,1,9,1,1,0,1,1486772378683,-1,1486772378153
6,1,10,1,1,0,3,1486772381749,-1,1486772381219
6,1,11,1,1,0,6,1486772384817,-1,1486772384286
6,1,12,1,1,1,6,1486772387850,1486772388650,1486772387319
6,1,13,1,1,0,0,1486772390917,-1,1486772390386
6,1,14,1,1,0,3,1486772393950,-1,1486772393420
6,1,15,1,1,1,3,1486772397017,1486772398484,1486772396486
6,1,16,1,1,0,6,1486772400051,-1,1486772399520
6,1,17,1,1,0,1,1486772403117,-1,1486772402587
6,1,18,1,1,1,1,1486772406151,1486772407185,1486772405620
6,1,19,1,1,1,1,1486772409184,1486772410551,1486772408687
6,1,20,1,1,1,1,1486772412218,1486772413052,1486772411687
6,1,21,1,1,0,4,1486772415251,-1,1486772414721
6,2,1,2,1,3,2,1486772422702,-1,1486772422169
6,2,2,2,1,3,3,1486772425769,-1,1486772425239
6,2,3,2,1,0,5,1486772428802,-1,1486772428271
6,2,4,2,1,0,2,1486772431869,-1,1486772431339
6,2,5,2,1,1,5,1486772434902,1486772436236,1486772434372
6,2,6,2,1,0,0,1486772437969,-1,1486772437439
6,2,7,2,1,1,5,1486772441003,1486772442037,1486772440473
6,2,8,2,1,0,2,1486772444036,-1,1486772443506
6,2,9,2,1,0,1,1486772447036,-1,1486772446539
6,2,10,2,1,0,4,1486772450103,-1,1486772449573
6,2,11,2,1,0,6,1486772453170,-1,1486772452639
6,2,12,2,1,1,4,1486772456204,1486772456870,1486772455673
6,3,1,2,1,3,2,1486772461237,-1,1486772460705
6,3,2,2,1,3,3,1486772464271,-1,1486772463740
6,3,3,2,1,0,4,1486772467304,-1,1486772466774
6,3,4,2,1,1,3,1486772470338,1486772471005,1486772469841
6,3,5,2,1,0,6,1486772473405,-1,1486772472874
6,3,6,2,1,1,3,1486772476471,1486772477172,1486772475941
6,3,7,2,1,0,5,1486772479505,-1,1486772478975
6,3,8,2,1,1,3,1486772482572,1486772483205,1486772482042
6,3,9,2,1,0,6,1486772485605,-1,1486772485075
6,3,10,2,1,1,3,1486772488639,1486772489472,1486772488108
6,3,11,2,1,0,1,1486772491706,-1,1486772491175
6,3,12,2,1,0,0,1486772494772,-1,1486772494242
6,3,13,2,1,1,1,1486772497806,1486772498573,1486772497276
6,3,14,2,1,0,6,1486772500839,-1,1486772500310
6,3,15,2,1,0,3,1486772503906,-1,1486772503377
6,3,16,2,1,1,6,1486772506940,1486772507774,1486772506442
6,3,17,2,1,0,7,1486772510007,-1,1486772509476
6,3,18,2,1,0,1,1486772513040,-1,1486772512510
6,3,19,2,1,0,2,1486772516107,-1,1486772515576
6,3,20,2,1,0,3,1486772519174,-1,1486772518643
6,3,21,2,1,0,4,1486772522207,-1,1486772521677
6,3,22,2,1,0,5,1486772525274,-1,1486772524744
6,4,1,3,1,3,1,1486772533341,-1,1486772532809
6,4,2,3,1,3,0,1486772536375,-1,1486772535845
6,4,3,3,1,3,4,1486772539408,-1,1486772538911
6,4,4,3,1,1,1,1486772542475,1486772543109,1486772541945
6,4,5,3,1,0,6,1486772545509,-1,1486772545011
6,4,6,3,1,0,2,1486772548575,-1,1486772548045
6,4,7,3,1,0,2,1486772551609,-1,1486772551078
6,4,8,3,1,0,5,1486772554676,-1,1486772554145
6,4,9,3,1,0,1,1486772557709,-1,1486772557179
6,4,10,3,1,0,3,1486772560776,-1,1486772560246
6,4,11,3,1,1,5,1486772563810,1486772565143,1486772563279
6,4,12,3,1,0,6,1486772566843,-1,1486772566313
6,4,13,3,1,1,3,1486772569877,1486772570477,1486772569347
6,5,1,3,1,3,0,1486772574810,-1,1486772574278
6,5,2,3,1,3,4,1486772577844,-1,1486772577314
6,5,3,3,1,3,1,1486772580911,-1,1486772580380
6,5,4,3,0,0,2,1486772583944,1486772584744,1486772583414
6,5,5,3,1,0,3,1486772587011,-1,1486772586480
6,5,6,3,0,0,5,1486772590044,1486772590712,1486772589516
6,5,7,3,1,0,7,1486772593111,-1,1486772592581
6,5,8,3,1,1,3,1486772596145,1486772597145,1486772595614
6,5,9,3,1,1,5,1486772599212,1486772600845,1486772598682
6,5,10,3,1,0,2,1486772602245,-1,1486772601715
6,5,11,3,0,0,2,1486772605279,1486772606279,1486772604749
6,5,12,3,0,0,4,1486772608346,1486772609313,1486772607815
6,5,13,3,1,0,0,1486772611412,-1,1486772610882
6,5,14,3,0,0,5,1486772614446,1486772615413,1486772613915
6,5,15,3,0,0,6,1486772617446,1486772618380,1486772616949
6,5,16,3,0,1,0,1486772620479,-1,1486772619950
6,5,17,3,1,1,5,1486772623480,1486772624380,1486772622983
6,5,18,3,1,0,7,1486772626546,-1,1486772626016
6,5,19,3,0,0,7,1486772629580,1486772630280,1486772629049
6,5,20,3,1,0,3,1486772632613,-1,1486772632084
6,5,21,3,1,0,2,1486772635680,-1,1486772635150
6,5,22,3,1,1,7,1486772638714,1486772639347,1486772638184
6,5,23,3,1,1,3,1486772641747,1486772642381,1486772641217
6,6,1,1,1,3,2,1486772648364,-1,1486772647832
6,6,2,1,1,0,0,1486772651398,-1,1486772650901
6,6,3,1,0,0,3,1486772654465,1486772656232,1486772653934
6,6,4,1,1,0,4,1486772657498,-1,1486772656968
6,6,5,1,1,1,4,1486772660532,1486772661065,1486772660002
6,6,6,1,1,0,2,1486772663565,-1,1486772663034
6,6,7,1,1,0,1,1486772666632,-1,1486772666101
6,6,8,1,1,0,0,1486772669666,-1,1486772669135
6,6,9,1,1,1,0,1486772672699,1486772674266,1486772672200
6,6,10,1,1,1,0,1486772675766,1486772676866,1486772675235
6,6,11,1,1,0,7,1486772678833,-1,1486772678303
6,6,12,1,1,0,5,1486772681866,-1,1486772681336
6,6,13,1,1,0,1,1486772684900,-1,1486772684402
6,6,14,1,1,1,1,1486772687967,1486772688667,1486772687436
6,6,15,1,1,0,0,1486772691034,-1,1486772690503
6,6,16,1,1,0,4,1486772694100,-1,1486772693570
6,6,17,1,1,0,6,1486772697167,-1,1486772696636
6,6,18,1,1,0,3,1486772700200,-1,1486772699670
6,6,19,1,1,1,3,1486772703234,1486772704101,1486772702703
6,6,20,1,1,0,4,1486772706268,-1,1486772705737
6,6,21,1,1,1,4,1486772709334,1486772709935,1486772708805
6,7,1,2,1,3,7,1486772713801,-1,1486772713269
6,7,2,2,1,3,3,1486772716835,-1,1486772716305
6,7,3,2,1,1,7,1486772719869,1486772720469,1486772719338
6,7,4,2,1,0,1,1486772722903,-1,1486772722405
6,7,5,2,1,0,0,1486772725969,-1,1486772725439
6,7,6,2,1,2,0,1486772729002,-1,1486772728472
6,7,7,2,1,2,1,1486772732069,-1,1486772731539
6,7,8,2,1,1,0,1486772735103,1486772735836,1486772734572
6,7,9,2,1,0,7,1486772738136,-1,1486772737639
6,7,10,2,1,0,5,1486772741203,-1,1486772740673
6,7,11,2,1,2,5,1486772744270,-1,1486772743740
6,7,12,2,1,0,4,1486772747303,-1,1486772746773
6,7,13,2,1,0,3,1486772750370,-1,1486772749839
6,7,14,2,1,1,4,1486772753404,1486772754070,1486772752874
6,7,15,2,1,1,3,1486772756470,1486772757404,1486772755941
6,7,16,2,1,0,5,1486772759504,-1,1486772758973
6,7,17,2,1,2,4,1486772762571,-1,1486772762040
6,7,18,2,1,2,4,1486772765604,-1,1486772765074
6,7,19,2,1,2,5,1486772768671,-1,1486772768140
6,7,20,2,1,1,4,1486772771705,1486772772338,1486772771174
6,7,21,2,1,0,2,1486772774738,-1,1486772774241
6,7,22,2,1,1,4,1486772777772,1486772778305,1486772777241
6,8,1,3,1,3,7,1486772782239,-1,1486772781740
6,8,2,3,1,3,4,1486772785305,-1,1486772784776
6,8,3,3,1,3,2,1486772788339,-1,1486772787809
6,8,4,3,1,0,5,1486772791373,-1,1486772790842
6,8,5,3,1,2,2,1486772794439,-1,1486772793908
6,8,6,3,1,2,4,1486772797473,-1,1486772796942
6,8,7,3,1,0,0,1486772800540,-1,1486772800010
6,8,8,3,1,2,5,1486772803606,-1,1486772803076
6,8,9,3,1,0,7,1486772806673,-1,1486772806143
6,8,10,3,1,0,3,1486772809707,-1,1486772809176
6,8,11,3,0,2,7,1486772812740,1486772813575,1486772812210
6,8,12,3,1,1,7,1486772815774,1486772816273,1486772815244
6,8,13,3,1,0,2,1486772818841,-1,1486772818311
6,8,14,3,0,2,3,1486772821907,1486772822708,1486772821377
6,8,15,3,0,0,0,1486772824941,1486772826708,1486772824410
6,8,16,3,1,0,4,1486772827974,-1,1486772827444
6,8,17,3,1,1,3,1486772831008,1486772831908,1486772830478
6,8,18,3,1,1,0,1486772834042,1486772835208,1486772833511
6,8,19,3,0,1,4,1486772837075,-1,1486772836544
6,8,20,3,1,1,3,1486772840108,1486772840875,1486772839578
6,8,21,3,1,0,2,1486772843175,-1,1486772842645
6,8,22,3,0,2,0,1486772846209,1486772847176,1486772845678
6,8,23,3,1,1,3,1486772849242,1486772850610,1486772848745
