%Recollect Version 2.3. Scene/Level: , Session: 9, GameNumber: 1
%MatrixReasoning:Stage,ProblemNumber,CurrentResponse,CorrectResponse,NavigationDirection,TimeOfResponse
2,0,7,7,0,1487720396177
2,1,1,1,0,1487720398776
2,2,2,2,0,1487720401442
2,0,2,2,0,1487720412944
2,0,2,2,1,1487720413610
2,1,4,4,0,1487720415886
2,1,4,4,1,1487720416861
2,2,6,6,0,1487720419428
2,2,6,6,1,1487720420861
2,3,7,7,0,1487720428128
2,3,7,7,1,1487720429527
2,4,4,4,0,1487720432161
2,4,4,4,1,1487720432995
2,5,6,6,0,1487720436028
2,5,6,6,1,1487720437328
2,6,1,1,0,1487720454062
2,6,1,1,1,1487720454796
2,7,7,7,0,1487720464464
2,7,7,7,1,1487720465230
2,8,4,4,0,1487720469664
2,8,4,4,1,1487720470463
2,9,3,3,0,1487720472963
2,9,3,3,1,1487720474363
2,10,7,7,0,1487720482164
2,10,7,7,1,1487720483464
2,11,1,1,0,1487720494132
2,11,1,1,1,1487720495298
2,12,6,6,0,1487720518033
2,12,6,6,1,1487720520299
2,13,4,4,0,1487720537134
2,13,4,4,1,1487720539901
2,14,4,4,0,1487720550702
2,14,4,4,1,1487720552302
2,15,7,5,0,1487720622039
2,15,6,5,0,1487720628106
2,15,6,5,1,1487720651407
2,16,6,6,0,1487720667575
2,16,6,6,1,1487720668108
2,17,3,3,0,1487720676543
2,17,3,3,1,1487720677242
2,18,2,2,0,1487720684143
2,18,2,2,1,1487720685275
2,19,5,5,0,1487720697576
2,19,5,5,1,1487720706310
2,20,-1,0,-1,1487720708044
2,19,5,5,1,1487720723411
2,20,-1,0,-1,1487720724712
2,19,5,5,1,1487720729678
2,20,0,0,0,1487720762481
2,20,0,0,1,1487720763113
2,21,5,5,0,1487720768580
2,21,5,5,1,1487720770080
2,22,5,5,0,1487720785448
2,22,5,5,1,1487720786015
2,23,2,1,0,1487720792315
2,23,0,1,0,1487720815717
2,23,1,1,0,1487720816983
2,23,1,1,1,1487720824283
2,24,0,0,0,1487720839451
2,24,0,0,1,1487720840551
2,25,5,5,0,1487720849085
2,25,5,5,1,1487720850385
2,26,3,3,0,1487720856452
2,26,3,3,1,1487720858019
2,27,6,6,0,1487720863652
2,27,6,6,1,1487720864286
2,28,1,1,0,1487720873353
2,28,1,1,1,1487720873953
2,29,2,2,0,1487720883387
2,29,2,2,1,1487720884787
2,30,0,0,0,1487720892288
2,30,0,0,1,1487720900387
2,31,2,2,0,1487720908714
2,31,2,2,1,1487720909480
2,32,0,0,0,1487720931682
2,32,0,0,1,1487720932348
2,33,6,6,0,1487720950783
2,33,6,6,1,1487720951316
2,34,3,3,0,1487720959084
2,34,3,3,1,1487720960450
2,35,0,0,0,1487720987018
2,35,0,0,1,1487720987985
2,36,2,2,0,1487720994186
2,36,2,2,1,1487720995252
2,37,4,3,0,1487721004286
2,37,3,3,0,1487721007986
2,37,3,3,1,1487721008653
2,38,4,4,0,1487721032987
2,38,4,4,1,1487721034688
2,39,6,6,0,1487721047189
2,39,6,6,1,1487721048822
2,40,0,7,0,1487721060022
2,40,0,7,1,1487721061022
2,41,5,5,0,1487721085324
