%Recollect Version 2.3. Scene/Level: , Session: 11, GameNumber: 2
%LetterNumberSpan:TrailNum,Sequence,LetterInput,NumberInput,TimeOfPresentationStart,TimeOfPresentationEnd,TimeOfResponse
0,6F,F,6,1487791012549,1487791015751,1487791026640
1,G4,G,4,1487791028166,1487791031369,1487791036289
2,3W5,W,35,1487791037816,1487791042719,1487791048752
3,T7L,LT,7,1487791050284,1487791054987,1487791060470
4,1JA,AJ,1,1487791062001,1487791066704,1487791072168
0,F4,F,4,1487791075902,1487791078872,1487791082825
1,1J,J,3,1487791084352,1487791087355,1487791095303
2,A7,A,7,1487791096803,1487791099806,1487791103923
3,L1H,HL,1,1487791105454,1487791110157,1487791116054
4,T2S,ST,2,1487791117555,1487791122257,1487791127472
5,K43,K,34,1487791129005,1487791133475,1487791140162
6,R5B2,BR,25,1487791141689,1487791147692,1487791154306
7,N3L9,LN,39,1487791155840,1487791162009,1487791167530
8,5V8P,PV,58,1487791169057,1487791175710,1487791182614
9,4M7S1,MS,147,1487791184141,1487791192044,1487791199002
10,L3E1D,EDL,13,1487791200526,1487791208428,1487791222233
11,9M6K2,KM,269,1487791223793,1487791231863,1487791246170
12,D1B5R9,BDR,159,1487791247695,1487791256898,1487791265284
13,G9T2A5,AGT,259,1487791266813,1487791275816,1487791283902
14,3W5A1G,AGW,135,1487791285464,1487791294434,1487791302748
15,B6H7A5K,ABHK,567,1487791304281,1487791314984,1487791325099
16,8H4R1C2,GHRT,124,1487791326633,1487791337136,1487791347872
17,C7B5N9Y,BCNY,579,1487791349401,1487791359903,1487791374431
18,3Q8D4R6F,DQRK,3468,1487791375952,1487791387956,1487791405620
19,P2H8F4Y6,HPFY,2468,1487791407154,1487791419124,1487791429155
20,7D9T3E4S,DECF,3479,1487791430655,1487791442659,1487791467107
