%Recollect Version 2.3. Scene/Level: , Session: 11, GameNumber: 5
%CorsiBlocks:Stage,TrailNum,TargetSequence,ResponseSequence,ClearCount,TimeOfPresentation,TimeOfResponse
1,0,20,20,0,1487792445317,1487792451947
1,1,34,34,0,1487792452917,1487792459680
2,0,52,52,0,1487792463384,1487792470114
2,1,36,36,0,1487792471084,1487792477881
2,2,368,368,0,1487792478851,1487792487115
2,3,208,208,0,1487792488086,1487792496882
2,4,2306,2306,0,1487792497886,1487792508583
2,5,5047,5047,0,1487792509553,1487792519384
2,6,41075,14075,0,1487792520354,1487792532201
2,7,31620,31620,0,1487792533204,1487792545436
2,8,281376,281376,0,1487792546438,1487792560336
2,9,816508,816508,0,1487792561339,1487792576037
2,10,4806317,4806317,0,1487792577007,1487792593305
2,11,0851680,0851680,0,1487792594275,1487792611939
2,12,47081536,47081536,0,1487792612909,1487792631007
2,13,25408016,25408016,0,1487792631977,1487792653708
2,14,315706824,315706824,0,1487792654711,1487792675676
2,15,427601358,427063158,0,1487792676646,1487792697646
3,0,60,06,0,1487792702763,1487792708761
3,1,24,42,0,1487792709732,1487792715562
4,0,51,15,0,1487792718564,1487792725029
4,1,37,73,0,1487792725999,1487792732830
4,2,630,036,0,1487792733799,1487792741796
4,3,580,085,0,1487792742766,1487792750963
4,4,5683,3865,1,1487792751933,1487792769498
4,5,2841,1482,0,1487792770501,1487792780765
4,6,47812,21874,0,1487792781735,1487792793999
4,7,03415,51340,0,1487792794969,1487792807133
4,8,507613,316750,0,1487792808103,1487792822033
4,9,073280,082370,0,1487792823038,1487792837168
4,10,4083671,1763248,1,1487792838139,1487792869437
4,11,8027308,8037208,0,1487792870440,1487792888238
4,12,52480873,37080425,0,1487792889208,1487792906806
4,13,41807263,36271408,0,1487792907775,1487792926540
