%Recollect Version 2.3. Scene/Level: , Game Number: 003
%SymmetrySpan:Stage,TrailNum,SequenceLength,TargetSequence,ResponseSequence,SymmetrySequence,SymmetryResponses,ClearCount,TimeOfSequencePresentation,TimeOfSymmetryPresentation,TimeOfResponsePrompt,TimeOfResponseSubmission
3,0,2,B8,B8,,,0,1486150584599,,1486150586960,1486150589560
3,1,2,DA,DA,,,0,1486150591566,,1486150593894,1486150595661
3,2,3,0F9,0F9,,,0,1486150597633,,1486150601160,1486150603678
3,3,3,356,356,,,0,1486150605650,,1486150609178,1486150610911
10,0,0,,,1,1,0,1486150651982,1486150651982,1486150609178,1486150655681
10,1,0,,,0,0,0,1486150657865,1486150657865,1486150609178,1486150661065
10,2,0,,,1,1,0,1486150663032,1486150663032,1486150609178,1486150666064
10,3,0,,,1,1,0,1486150668066,1486150668066,1486150609178,1486150670599
10,4,0,,,1,1,0,1486150672566,1486150672566,1486150609178,1486150674698
10,5,0,,,1,1,0,1486150676700,1486150676700,1486150609178,1486150678398
10,6,0,,,0,0,0,1486150680367,1486150680367,1486150609178,1486150681565
10,7,0,,,1,1,0,1486150683534,1486150683534,1486150609178,1486150685332
10,8,0,,,0,0,0,1486150687300,1486150687300,1486150609178,1486150688432
10,9,0,,,0,0,0,1486150690434,1486150690434,1486150609178,1486150691566
10,10,0,,,0,0,0,1486150693534,1486150693534,1486150609178,1486150695733
10,11,0,,,0,0,0,1486150697701,1486150697701,1486150609178,1486150699733
10,12,0,,,1,1,0,1486150701701,1486150701701,1486150609178,1486150703933
10,13,0,,,0,0,0,1486150705901,1486150705901,1486150609178,1486150707167
10,14,0,,,1,1,0,1486150709168,1486150709168,1486150609178,1486150711067
10,15,0,,,1,1,0,1486150713035,1486150713035,1486150609178,1486150716567
13,0,2,9F,9F,11,11,0,1486150735657,1486150741658,1486150745025,1486150747419
13,1,2,73,63,10,10,0,1486150749425,1486150754491,1486150756191,1486150759220
13,2,2,2C,2C,01,01,0,1486150761226,1486150767226,1486150768927,1486150770554
14,0,4,2F73,2F73,1010,1010,0,1486150786593,1486150798127,1486150800161,1486150804589
14,1,4,C52A,C52A,1000,1000,0,1486150806795,1486150819996,1486150821729,1486150824123
14,2,4,86F4,86F4,0111,0111,0,1486150826096,1486150838829,1486150841263,1486150843591
14,3,5,24310,24710,10100,10100,0,1486150845563,1486150859998,1486150863198,1486150867209
14,4,3,51C,51C,111,111,0,1486150869215,1486150878949,1486150881016,1486150884010
14,5,2,BC,BC,10,10,0,1486150885984,1486150891183,1486150892950,1486150895944
14,6,5,31462,32462,00100,0010Z,0,1486150897916,1486150913718,1486150917851,1486150924046
14,7,5,5013A,5013A,00111,00111,0,1486150926251,1486150941519,1486150943051,1486150946580
14,8,2,B4,B4,00,00,0,1486150948553,1486150953386,1486150954953,1486150957581
14,9,2,40,40,11,11,0,1486150959770,1486150964370,1486150966004,1486150968398
14,10,3,ED0,ED0,011,011,0,1486150970371,1486150978671,1486150980304,1486150982466
14,11,3,6D8,6D8,011,011,0,1486150984466,1486150992492,1486150993659,1486150995453
