%Recollect Version 2.3. Scene/Level: , Game Number: 006
%NearTransferObject:GameNumber,BlockNumber,TrialNumber,CurrentNLevel,IsCorrect,StimulusType,Image,PresentationTime,ResponseTime,ExpireTime
%Possible values for "Image":Bear=0,Sheep=1,Duck=2,Elephant=3,Turtle=4,Owl=5,Goat=6,Seal=7,Blank=8,
%Possible values for "Type":NonTarget=0,Target=1,Lure=2,lessThanN=3,
6,0,1,1,0,3,5,1486163189799,-1,1486163189266
6,0,2,1,1,0,2,1486163192865,-1,1486163192337
6,0,3,1,1,0,3,1486163195932,-1,1486163195402
6,0,4,1,1,0,0,1486163198966,-1,1486163198436
6,0,5,1,0,0,5,1486163202033,1486163202800,1486163201503
6,0,6,1,0,1,5,1486163205066,-1,1486163204535
6,0,7,1,0,0,3,1486163208133,1486163209533,1486163207603
6,0,8,1,1,1,3,1486163211166,1486163212100,1486163210636
6,0,9,1,1,0,4,1486163214200,-1,1486163213703
6,0,10,1,1,0,1,1486163217267,-1,1486163216736
6,0,11,1,1,1,1,1486163220334,1486163220934,1486163219803
6,1,1,1,1,3,4,1486163228017,-1,1486163227487
6,1,2,1,1,0,2,1486163231084,-1,1486163230554
6,1,3,1,1,0,1,1486163234118,-1,1486163233587
6,1,4,1,1,0,6,1486163237151,-1,1486163236621
6,1,5,1,1,0,7,1486163240218,-1,1486163239688
6,1,6,1,1,0,4,1486163243285,-1,1486163242754
6,1,7,1,1,1,4,1486163246352,1486163246985,1486163245822
6,1,8,1,0,1,4,1486163249385,-1,1486163248855
6,1,9,1,1,0,0,1486163252419,-1,1486163251890
6,1,10,1,1,0,6,1486163255486,-1,1486163254955
6,1,11,1,1,1,6,1486163258552,1486163259186,1486163258022
6,1,12,1,1,0,0,1486163261586,-1,1486163261056
6,1,13,1,1,1,0,1486163264653,1486163265386,1486163264122
6,1,14,1,1,0,6,1486163267686,-1,1486163267156
6,1,15,1,1,0,4,1486163270720,-1,1486163270189
6,1,16,1,1,0,2,1486163273787,-1,1486163273257
6,1,17,1,1,0,5,1486163276854,-1,1486163276323
6,1,18,1,1,1,5,1486163279887,1486163280554,1486163279357
6,1,19,1,1,0,6,1486163282921,-1,1486163282390
6,1,20,1,1,1,6,1486163285987,1486163286655,1486163285456
6,1,21,1,1,0,0,1486163289021,-1,1486163288490
6,2,1,2,1,3,2,1486163308122,-1,1486163307590
6,2,2,2,1,3,6,1486163311155,-1,1486163310626
6,2,3,2,1,0,3,1486163314222,-1,1486163313693
6,2,4,2,1,0,4,1486163317256,-1,1486163316725
6,2,5,2,1,0,2,1486163320323,-1,1486163319792
6,2,6,2,0,1,4,1486163323356,-1,1486163322826
6,2,7,2,1,0,0,1486163326390,-1,1486163325860
6,2,8,2,1,0,7,1486163329390,-1,1486163328893
6,2,9,2,1,0,6,1486163332457,-1,1486163331926
6,2,10,2,1,0,2,1486163335457,-1,1486163334960
