%Recollect Version 2.3. Scene/Level: , Session: 2, GameNumber: 1
%Note: All true/false values are represented as "1" and "0" respectively.
%Damage:1,Player X Position,Player Y Position,Hearts Left,Time (Relative),Time (Absolute)
%LameBackObject:Algorithm Condition,Trial Number,Current N Level,Lure Rate,Is Correct,Stimulus Type,Stimulus Color,Presentation Time (R),Presentation Time (A),Response Time (R),Response Time (A),Expire Time (R),Expire Time (A)
%Possible values for "Color":Red=0,Blue=1,Green=2,Yellow=3,Purple=4,LightBlue=5,Brown=6,White=7,
%Possible values for "Type":NonTarget=0,Target=1,Lure=2,lessThanN=3,
1,1,3,0.3,1,3,4,5.186913,1487288758569,-1,-1,4.653549,1487288758038
1,2,3,0.3,1,3,6,8.253746,1487288761636,-1,-1,7.720215,1487288761104
1,3,3,0.3,1,3,1,11.28747,1487288764670,-1,-1,10.75382,1487288764140
1,4,3,0.3,1,0,0,14.3541,1487288767737,-1,-1,13.82074,1487288767207
1,5,3,0.3,1,0,2,17.38747,1487288770770,-1,-1,16.85425,1487288770240
1,6,3,0.3,1,0,7,20.4211,1487288773804,-1,-1,19.88772,1487288773274
1,7,3,0.3,1,0,5,23.4546,1487288776837,-1,-1,22.92128,1487288776307
1,8,3,0.3,1,2,5,26.45478,1487288779837,-1,-1,25.95465,1487288779340
1,9,3,0.3,1,1,7,29.45496,1487288782838,30.22176,1487288783605,28.9549,1487288782340
1,10,3,0.3,1,0,6,32.48863,1487288785871,-1,-1,31.95526,1487288785341
1,11,3,0.3,1,0,4,35.52196,1487288788905,-1,-1,34.98866,1487288788375
1,12,3,0.3,1,2,6,38.52216,1487288791905,-1,-1,38.02209,1487288791407
1,13,3,0.3,1,1,6,41.55586,1487288794938,42.68903,1487288796072,41.02228,1487288794409
1,14,3,0.3,1,1,4,44.62247,1487288798005,45.42264,1487288798805,44.08913,1487288797475
1,15,3,0.3,1,2,4,47.68932,1487288801072,-1,-1,47.1226,1487288800508
1,16,3,0.3,1,2,4,50.75623,1487288804139,-1,-1,50.18945,1487288803576
1,17,3,0.3,1,0,7,53.78964,1487288807172,-1,-1,53.25624,1487288806642
1,18,3,0.3,1,1,4,56.85648,1487288810239,57.92311,1487288811306,56.28986,1487288809675
1,19,3,0.3,1,2,7,59.85678,1487288813239,-1,-1,59.35663,1487288812742
1,20,3,0.3,1,2,4,62.89017,1487288816273,-1,-1,62.39014,1487288815775
1,21,3,0.3,1,1,4,65.92387,1487288819306,66.89041,1487288820273,65.39029,1487288818777
1,22,3,0.3,1,1,7,68.99091,1487288822373,69.99055,1487288823374,68.45714,1487288821842
1,23,3,0.3,1,0,3,72.05733,1487288825440,-1,-1,71.52399,1487288824909
