%Recollect Version 2.3. Scene/Level: , Game Number: 005
%CorsiBlocks:Stage,TrailNum,TargetSequence,ResponseSequence,ClearCount,TimeOfPresentation,TimeOfResponse
1,0,20,20,0,1486151626991,1486151633756
1,1,34,34,0,1486151634759,1486151642122
2,0,15,15,0,1486151668327,1486151675024
2,1,73,73,0,1486151675994,1486151681625
2,2,164,164,0,1486151682628,1486151690358
2,3,705,705,0,1486151691326,1486151699126
2,4,2173,2173,0,1486151700095,1486151709526
2,5,1504,1504,0,1486151710496,1486151720827
2,6,42350,23540,0,1486151721797,1486151734178
2,7,24061,24061,0,1486151735181,1486151746445
2,8,061743,061743,0,1486151747415,1486151760679
2,9,625037,625403,0,1486151761649,1486151775513
2,10,7152305,7152835,0,1486151776483,1486151796914
2,11,3157264,3157264,0,1486151797884,1486151819049
2,12,64527631,62547341,0,1486151820019,1486151850885
2,13,05631742,05631784,0,1486151851854,1486151874751
3,0,60,06,1,1486151883422,1486151894553
3,1,24,42,0,1486151895557,1486151901420
4,0,25,52,0,1486151906357,1486151912688
4,1,63,36,0,1486151913657,1486151919622
4,2,574,475,0,1486151920591,1486151928755
4,3,207,702,0,1486151929759,1486151938022
4,4,7305,5037,0,1486151938993,1486151950706
4,5,4130,0314,0,1486151951677,1486151962173
4,6,35741,147533,0,1486151963177,1486151974974
4,7,70526,62507,0,1486151975978,1486151987342
4,8,607251,152076,0,1486151988312,1486152004843
4,9,270643,346072,0,1486152005845,1486152023610
4,10,0416327,7236104,1,1486152024580,1486152047379
4,11,5632041,1406532,0,1486152048349,1486152072979
